device id,provider,network type,iperf run number,bandwidth limit,direction,successful
RASPBERRY_670,Verizon,NSALow,17075,1,downlink,yes
RASPBERRY_670,Verizon,NSALow,17077,10,downlink,yes
RASPBERRY_670,Verizon,NSALow,17079,30,downlink,yes
RASPBERRY_670,Verizon,NSALow,17081,50,downlink,yes
RASPBERRY_670,Verizon,NSALow,17086,100,downlink,yes
RASPBERRY_670,Verizon,NSALow,17091,150,downlink,yes
RASPBERRY_670,Verizon,NSALow,17093,200,downlink,yes
RASPBERRY_670,Verizon,NSALow,17094,250,downlink,yes
RASPBERRY_670,Verizon,NSALow,17098,1,uplink,yes
RASPBERRY_670,Verizon,NSALow,17099,10,uplink,yes
RASPBERRY_670,Verizon,NSALow,17100,20,uplink,yes
RASPBERRY_670,Verizon,NSALow,17101,30,uplink,yes
RASPBERRY_670,Verizon,NSALow,17102,40,uplink,yes
RASPBERRY_670,Verizon,mmwave,17122,1,downlink,yes
RASPBERRY_670,Verizon,mmwave,17123,10,downlink,yes
RASPBERRY_670,Verizon,mmwave,17124,20,downlink,yes
RASPBERRY_670,Verizon,mmwave,17125,30,downlink,yes
RASPBERRY_670,Verizon,mmwave,17126,40,downlink,yes
RASPBERRY_670,Verizon,mmwave,17127,50,downlink,yes
RASPBERRY_670,Verizon,mmwave,17128,60,downlink,yes
RASPBERRY_670,Verizon,mmwave,17129,70,downlink,yes
RASPBERRY_670,Verizon,mmwave,17130,80,downlink,yes
RASPBERRY_670,Verizon,mmwave,17131,90,downlink,yes
RASPBERRY_670,Verizon,mmwave,17132,100,downlink,yes
RASPBERRY_670,Verizon,mmwave,17133,110,downlink,yes
RASPBERRY_670,Verizon,mmwave,17134,120,downlink,yes
RASPBERRY_670,Verizon,mmwave,17135,130,downlink,yes
RASPBERRY_670,Verizon,mmwave,17136,140,downlink,yes
RASPBERRY_670,Verizon,mmwave,17137,150,downlink,yes
RASPBERRY_670,Verizon,mmwave,17138,160,downlink,yes
RASPBERRY_670,Verizon,mmwave,17139,170,downlink,yes
RASPBERRY_670,Verizon,mmwave,17140,180,downlink,yes
RASPBERRY_670,Verizon,mmwave,17141,190,downlink,yes
RASPBERRY_670,Verizon,mmwave,17143,1,uplink,yes
RASPBERRY_670,Verizon,mmwave,17144,10,uplink,yes
RASPBERRY_670,Verizon,mmwave,17145,20,uplink,yes
RASPBERRY_670,Verizon,mmwave,17146,30,uplink,yes
RASPBERRY_670,Verizon,mmwave,17147,40,uplink,yes
RASPBERRY_670,Verizon,mmwave,17148,50,uplink,yes
RASPBERRY_670,Verizon,mmwave,17149,60,uplink,yes
RASPBERRY_670,Verizon,mmwave,17150,70,uplink,yes
RASPBERRY_670,Verizon,mmwave,17151,80,uplink,yes
RASPBERRY_670,Verizon,mmwave,17152,90,uplink,yes
RASPBERRY_670,Verizon,mmwave,17153,100,uplink,yes
RASPBERRY_670,Verizon,mmwave,17154,110,uplink,yes
RASPBERRY_670,Verizon,mmwave,17155,120,uplink,yes
RASPBERRY_670,Verizon,mmwave,17156,130,uplink,yes
RASPBERRY_670,Verizon,mmwave,17157,140,uplink,yes
RASPBERRY_670,Verizon,mmwave,17158,150,uplink,yes
RASPBERRY_670,Verizon,mmwave,17159,160,uplink,yes
RASPBERRY_670,Verizon,mmwave,17160,170,uplink,yes
RASPBERRY_670,Verizon,mmwave,17161,180,uplink,yes
RASPBERRY_670,Verizon,mmwave,17162,190,uplink,yes
