time,avg_power,active interface,handover type
0.0,1.3017118576284727,SA 5G,unknown
1.0,1.271327960000007,SA 5G,
2.0,1.2461599599999997,SA 5G,
3.0,1.2440527799999967,SA 5G,
4.0,1.2523906999999996,SA 5G,
5.0,1.30328664,SA 5G,
6.0,1.2595340400000028,SA 5G,
7.0,1.2612893178635722,SA 5G,
8.0,1.241991300000007,SA 5G,
9.0,1.2393493200000025,SA 5G,
10.0,1.3080355000000037,SA 5G,
11.0,1.2444207399999996,SA 5G,
12.0,1.2598604400000006,SA 5G,
13.0,1.2968877600000026,SA 5G,
14.0,1.2681943188637763,SA 5G,
15.0,1.3122329999999982,SA 5G,
16.0,1.261852599999999,SA 5G,
17.0,1.270712100000003,SA 5G,
18.0,1.2365651800000013,SA 5G,
19.0,1.2015249200000009,SA 5G,
20.0,1.3296847400000036,SA 5G,
21.0,1.2608568200000032,SA 5G,
22.0,1.251104040808154,SA 5G,
23.0,1.0664111599999941,SA 5G,
24.0,1.1661314599999926,SA 5G,
25.0,1.2135375599999936,SA 5G,
26.0,1.1760767999999966,SA 5G,
27.0,1.2533570599999946,SA 5G,
28.0,1.2105802199999942,SA 5G,5t5
29.0,1.2556719743948717,SA 5G,
30.0,1.2419832999999971,SA 5G,
31.0,1.2447913399999968,SA 5G,
32.0,1.2718431599999966,SA 5G,
33.0,1.255542159999995,SA 5G,
34.0,1.260141259999996,SA 5G,
35.0,1.2617624799999927,SA 5G,
36.0,1.2581169599999973,SA 5G,
37.0,1.3036497099419886,SA 5G,
38.0,1.2484221000000024,SA 5G,
39.0,1.2495497200000025,SA 5G,
40.0,1.268119840000003,SA 5G,
41.0,1.2536368000000009,SA 5G,
42.0,1.2554742199999998,SA 5G,
43.0,1.2836881200000014,SA 5G,
44.0,1.279079775955196,SA 5G,
45.0,1.2411667200000034,SA 5G,
46.0,1.2435008800000023,SA 5G,
47.0,1.25661324,SA 5G,
48.0,1.2545359200000017,SA 5G,
49.0,1.289789500000002,SA 5G,
50.0,1.2398723399999978,SA 5G,
51.0,1.2563199400000042,SA 5G,
52.0,1.2430089017803558,SA 5G,
53.0,1.251038779999998,SA 5G,
54.0,1.304350260000002,SA 5G,
55.0,1.2387581800000074,SA 5G,
56.0,1.2421129400000026,SA 5G,
57.0,1.255923580000005,SA 5G,
58.0,1.2556167200000024,SA 5G,
59.0,1.2979475695139082,SA 5G,
60.0,1.2650890600000035,SA 5G,
61.0,1.2338269000000015,SA 5G,
62.0,1.2475689600000084,SA 5G,
63.0,1.257988659999997,SA 5G,
64.0,1.2737672400000033,SA 5G,
65.0,1.2364931799999972,SA 5G,5t5
66.0,1.2684612200000014,SA 5G,
67.0,1.2334828365673114,SA 5G,
68.0,1.2923918199999986,SA 5G,
69.0,1.3672987400000018,SA 5G,
70.0,1.228458300000001,SA 5G,
71.0,1.2445963199999985,SA 5G,
72.0,1.2532624800000023,SA 5G,
73.0,1.272114199999999,SA 5G,
74.0,1.3871711542308407,SA 5G,
75.0,1.2635371000000013,SA 5G,
76.0,1.2475386800000021,SA 5G,
77.0,1.27765,SA 5G,
78.0,1.2599898799999982,SA 5G,
79.0,1.2848895799999975,SA 5G,
80.0,1.2509724200000023,SA 5G,
81.0,1.238637039999997,SA 5G,
82.0,1.2776103020604122,SA 5G,
83.0,1.2598405799999965,SA 5G,
84.0,1.2539918800000027,SA 5G,
85.0,1.2562227800000043,SA 5G,
86.0,1.2521399200000007,SA 5G,
87.0,1.2712209400000059,SA 5G,
88.0,1.2646441000000008,SA 5G,
89.0,1.248176115223048,SA 5G,
90.0,1.2365907800000029,SA 5G,
91.0,1.2755400000000017,SA 5G,
92.0,1.2585491199999994,SA 5G,
93.0,1.2518378199999989,SA 5G,
94.0,1.2923552600000021,SA 5G,
95.0,1.2560241600000028,SA 5G,
96.0,1.2406589799999987,SA 5G,
97.0,1.258124384876975,SA 5G,
98.0,1.2539342600000016,SA 5G,
99.0,1.2970932400000013,SA 5G,
100.0,1.2472996000000036,SA 5G,
101.0,1.2404308199999987,SA 5G,
102.0,1.250338959999998,SA 5G,
103.0,1.2664590399999998,SA 5G,
104.0,1.2510523904780981,SA 5G,
105.0,1.328902120000003,SA 5G,
106.0,1.251964879999997,SA 5G,
107.0,1.2626340799999969,SA 5G,
108.0,1.2460634000000028,SA 5G,
109.0,1.2604878400000015,SA 5G,
110.0,1.3022262800000024,SA 5G,
111.0,1.2387293800000017,SA 5G,
112.0,1.2399569713942815,SA 5G,
113.0,1.253314879999999,SA 5G,
114.0,1.234150460000004,SA 5G,
115.0,1.258664660000004,SA 5G,
116.0,1.1948729199999986,SA 5G,
117.0,1.2048167199999977,SA 5G,
118.0,1.2422761600000005,SA 5G,
119.0,1.2376129225845163,SA 5G,
120.0,1.2875179400000005,SA 5G,
121.0,1.2454944200000049,SA 5G,
122.0,1.2397644200000006,SA 5G,
123.0,1.2521898399999987,SA 5G,
124.0,1.257773519999998,SA 5G,
125.0,1.281349000000001,SA 5G,
126.0,1.2417277999999996,SA 5G,
127.0,1.23954230846169,SA 5G,
128.0,1.2536244799999983,SA 5G,
129.0,1.260916899999999,SA 5G,
130.0,1.2628420199999948,SA 5G,
131.0,1.2213406999999974,SA 5G,
132.0,1.213218699999997,SA 5G,
133.0,1.2425258800000019,SA 5G,
134.0,1.2675466693338628,SA 5G,
135.0,1.3314175199999987,SA 5G,
136.0,1.2224840400000017,SA 5G,
137.0,1.254691299999996,SA 5G,
138.0,1.23070356,SA 5G,
139.0,1.2348249999999974,SA 5G,
140.0,1.243806740000003,SA 5G,
141.0,1.2296985800000055,SA 5G,
142.0,1.1851916583316653,SA 5G,
143.0,1.1878096600000017,SA 5G,
144.0,1.200825340000003,SA 5G,
145.0,1.1934757400000064,SA 5G,
146.0,1.1845966399999988,SA 5G,
147.0,1.2334538199999985,SA 5G,
148.0,1.191457180000002,SA 5G,
149.0,1.184343328665732,SA 5G,
150.0,1.1946751599999992,SA 5G,
151.0,1.1798162200000017,SA 5G,
152.0,1.1997852599999983,SA 5G,
153.0,1.206475580000002,SA 5G,
154.0,1.1892404399999974,SA 5G,
155.0,1.2546423200000005,SA 5G,
156.0,1.2349364200000026,SA 5G,
157.0,1.167869233846771,SA 5G,
158.0,1.15840698,SA 5G,5t5
159.0,1.1671051400000028,SA 5G,
160.0,1.2014773200000064,SA 5G,
161.0,1.1649640400000008,SA 5G,
162.0,1.1586595799999966,SA 5G,
163.0,1.1760418399999994,SA 5G,
164.0,1.163082216443289,SA 5G,
165.0,1.2084027999999982,SA 5G,
166.0,1.167340200000003,SA 5G,
167.0,1.1746154199999976,SA 5G,
168.0,1.1737070799999971,SA 5G,
169.0,1.1737846200000015,SA 5G,
170.0,1.2053871800000018,SA 5G,
171.0,1.2023488800000002,SA 5G,
172.0,1.1782120824164861,SA 5G,
173.0,1.1781182199999969,SA 5G,
174.0,1.1894531000000033,SA 5G,
175.0,1.2100244799999984,SA 5G,
176.0,1.2684737799999977,SA 5G,
177.0,1.1931042999999972,SA 5G,
178.0,1.1860905799999981,SA 5G,
179.0,1.2018571514302832,SA 5G,
180.0,1.184138640000001,SA 5G,
181.0,1.2267704800000028,SA 5G,
182.0,1.1957827599999993,SA 5G,
183.0,1.2197404799999976,SA 5G,
184.0,1.2273158000000006,SA 5G,
185.0,1.2437828800000015,SA 5G,
186.0,1.2995765799999972,SA 5G,
