time,avg_power,active interface,handover type
0.0,2.6199050189962,NSA 5G,unknown
1.0,2.9345256400000026,NSA 5G,
2.0,3.249596159999991,NSA 5G,
3.0,2.7279810400000004,NSA 5G,
4.0,1.956049739999998,NSA 5G,
5.0,3.1329493000000106,NSA 5G,
6.0,3.1346238400000033,NSA 5G,
7.0,2.4177534906981446,NSA 5G,
8.0,2.5848650600000087,NSA 5G,
9.0,2.4180338399999943,NSA 5G,
10.0,1.9580464000000017,NSA 5G,
11.0,1.7071200199999992,NSA 5G,
12.0,1.8977678599999985,NSA 5G,
13.0,2.066182919999995,NSA 5G,
14.0,1.8981514102820591,NSA 5G,
15.0,1.7828643599999996,NSA 5G,
16.0,1.7932494999999993,NSA 5G,
17.0,1.8571838000000018,NSA 5G,
18.0,2.8862195799999966,NSA 5G,
19.0,2.652782120000002,NSA 5G,
20.0,2.144027920000002,NSA 5G,
21.0,2.1034038799999966,NSA 5G,
22.0,2.9150261052210404,NSA 5G,
23.0,2.4115229199999972,NSA 5G,
24.0,2.342621220000008,NSA 5G,
25.0,2.545103100000001,NSA 5G,
26.0,2.1056897200000027,NSA 5G,
27.0,1.7963317599999968,NSA 5G,
28.0,1.952550120000001,NSA 5G,
29.0,2.2076391278255683,NSA 5G,
30.0,1.6840476400000017,NSA 5G,
31.0,1.5769488600000023,NSA 5G,
32.0,1.5655181800000038,NSA 5G,
33.0,1.7114435600000009,NSA 5G,
34.0,1.839623040000008,NSA 5G,
35.0,1.5874147200000035,NSA 5G,
36.0,1.6003005400000017,NSA 5G,
37.0,1.559697479495902,NSA 5G,
38.0,1.8427425399999997,NSA 5G,
39.0,1.7247311999999961,NSA 5G,
40.0,3.1481279399999953,NSA 5G,
41.0,2.2987202000000018,NSA 5G,
42.0,1.7969503799999886,NSA 5G,
43.0,3.159151980000004,NSA 5G,
44.0,2.9182047209441824,NSA 5G,
45.0,3.4157234999999995,NSA 5G,
46.0,3.347101539999994,NSA 5G,
47.0,3.6364377399999888,NSA 5G,
48.0,4.894311980000012,NSA 5G,
49.0,4.830214640000003,NSA 5G,
50.0,3.660814500000016,NSA 5G,
51.0,3.4833015599999984,NSA 5G,
52.0,3.2631102820564117,NSA 5G,
53.0,3.51384367999999,NSA 5G,
54.0,3.4020508200000026,NSA 5G,
55.0,3.5316619400000033,NSA 5G,
56.0,3.28902037999999,NSA 5G,
57.0,3.1466895400000108,NSA 5G,
58.0,3.3158104200000076,NSA 5G,
59.0,3.9301904380876125,NSA 5G,
60.0,3.0659236200000155,NSA 5G,
61.0,2.579094300000012,NSA 5G,
62.0,2.137804259999998,NSA 5G,
63.0,2.744901480000001,NSA 5G,
64.0,3.0201984200000154,NSA 5G,
65.0,2.4933844999999972,NSA 5G,
66.0,2.7534694800000037,NSA 5G,
67.0,3.1297033606721656,NSA 5G,
68.0,3.937438219999966,NSA 5G,
69.0,3.323309220000015,NSA 5G,
70.0,3.725391159999976,NSA 5G,
71.0,3.5758498800000016,NSA 5G,
72.0,3.5480377200000075,NSA 5G,
73.0,4.352271899999881,NSA 5G,
74.0,3.704177775555068,NSA 5G,
75.0,3.3567812599999773,NSA 5G,
76.0,2.7038406999999984,NSA 5G,
77.0,3.728587359999972,NSA 5G,
78.0,4.037045839999998,NSA 5G,
79.0,4.069466919999934,NSA 5G,
80.0,3.266211220000016,NSA 5G,
81.0,4.263067319999953,NSA 5G,
82.0,4.771003300660077,NSA 5G,
83.0,3.7955046399999928,NSA 5G,
84.0,4.564210400000053,NSA 5G,
85.0,5.008550059999863,NSA 5G,
86.0,4.001290439999929,NSA 5G,
87.0,3.9675570999999508,NSA 5G,
88.0,4.64467571999992,NSA 5G,
89.0,3.100472454490913,NSA 5G,
90.0,2.5938172400000092,NSA 5G,
91.0,2.0375649799999986,NSA 5G,
92.0,1.8436366000000042,NSA 5G,
93.0,1.6301989200000013,NSA 5G,
94.0,1.6184227199999988,NSA 5G,
95.0,1.556813519999999,NSA 5G,
96.0,1.8002805400000013,NSA 5G,
97.0,1.9888466093218558,NSA 5G,
98.0,2.5594451799999987,NSA 5G,
99.0,2.495068480000001,NSA 5G,
100.0,2.3782885000000045,NSA 5G,
101.0,2.1650797799999935,NSA 5G,
102.0,2.1273018800000005,NSA 5G,
103.0,2.1297247800000063,NSA 5G,
104.0,1.9890449289857985,NSA 5G,
105.0,1.6638926199999937,NSA 5G,
106.0,1.4121512200000064,NSA 5G,
107.0,1.897758579999999,NSA 5G,
108.0,2.254228460000006,4G,5t4
109.0,2.2310628400000105,NSA 5G,4t5
110.0,2.7243308799999992,NSA 5G,
111.0,2.581358099999998,NSA 5G,
112.0,2.609505841168208,NSA 5G,
113.0,2.720072399999989,NSA 5G,
114.0,2.803174639999963,NSA 5G,
115.0,2.2979517800000013,NSA 5G,
116.0,2.5023450599999943,NSA 5G,
117.0,2.782358379999974,4G,5t4
118.0,3.160279739999963,NSA 5G,4t5
119.0,3.0547170434086564,4G,5t4
120.0,2.8521042399999637,4G,
121.0,2.9704067199999726,4G,
122.0,3.52577892,NSA 5G,4t5
123.0,3.702584839999988,NSA 5G,
124.0,3.861408139999995,NSA 5G,
125.0,2.9314445999999874,NSA 5G,
126.0,3.7195842199999927,NSA 5G,
127.0,3.462261592318452,NSA 5G,
128.0,3.148961239999994,4G,5t4
129.0,3.0773876000000095,4G,
