time,active interface,handover type
0,NSA 5G,unknown
108,4G,5t4
109,NSA 5G,4t5
117,4G,5t4
118,NSA 5G,4t5
119,4G,5t4
122,NSA 5G,4t5
128,4G,5t4
137,NSA 5G,4t5
150,4G,5t4
156,NSA 5G,4t5
158,4G,5t4
159,4G,4t4
161,NSA 5G,4t5
168,4G,5t4
177,NSA 5G,4t5
182,4G,5t4
184,NSA 5G,4t5
188,4G,5t4
199,4G,4t4
227,NSA 5G,4t5
231,4G,5t4
235,NSA 5G,4t5
236,4G,5t4
239,NSA 5G,4t5
242,4G,5t4
244,NSA 5G,4t5
246,4G,5t4
247,NSA 5G,4t5
252,4G,5t4
253,NSA 5G,4t5
259,4G,5t4
260,NSA 5G,4t5
267,4G,5t4
268,NSA 5G,4t5
279,4G,5t4
280,NSA 5G,4t5
282,4G,5t4
285,NSA 5G,4t5
289,4G,5t4
291,NSA 5G,4t5
292,4G,5t4
304,NSA 5G,4t5
313,4G,4t4
329,NSA 5G,4t5
332,4G,5t4
338,4G,4t4
345,4G,4t4
354,4G,4t4
359,NSA 5G,4t5
366,NSA 5G,5t5
380,4G,5t4
398,NSA 5G,4t5
429,4G,5t4
430,4G,4t4
436,4G,4t4
441,NSA 5G,4t5
445,NSA 5G,5t5
447,4G,5t4
448,NSA 5G,4t5
450,4G,5t4
453,NSA 5G,4t5
455,4G,5t4
456,NSA 5G,4t5
470,4G,5t4
471,4G,4t4
481,4G,4t4
485,4G,4t4
488,4G,4t4
492,4G,4t4
494,4G,4t4
498,4G,4t4
500,4G,4t4
512,4G,4t4
516,4G,4t4
535,NSA 5G,4t5
538,4G,5t4
541,NSA 5G,4t5
544,4G,5t4
546,NSA 5G,4t5
552,4G,5t4
449,NSA 5G,4t5
555,4G,5t4
558,NSA 5G,4t5
562,4G,5t4
568,NSA 5G,4t5
570,4G,5t4
574,NSA 5G,4t5
576,4G,5t4
577,NSA 5G,4t5
580,4G,5t4
583,NSA 5G,4t5
584,4G,5t4
586,NSA 5G,4t5
591,4G,5t4
592,NSA 5G,4t5
598,4G,5t4
601,NSA 5G,4t5
606,4G,5t4
609,NSA 5G,4t5
610,4G,5t4
612,NSA 5G,4t5
621,4G,5t4
624,NSA 5G,4t5
626,4G,5t4
637,NSA 5G,4t5
632,4G,5t4
633,NSA 5G,4t5
640,4G,5t4
648,NSA 5G,4t5
654,4G,5t4
659,NSA 5G,4t5
