Index,Timestamp,Provider,Network Type,Direction,Iperf start time (s),Started walking after (s),Iperf duration (s),Iperf run number,TCP/UDP?,Server,server iperf logs collected?,time elapsed,trajectory,Device,Successful?,Month,Comments,Notes
1,2021-01-13 18:30,Verizon,N/A,downlink,3,,1320,63,8 tcp,AZNorthCentral,no,1320,clockwise,S20UPM,yes,jan,,
2,2021-01-13 19:00,Verizon,N/A,downlink,19,,1320,64,8 tcp,UMN,no,1320,clockwise,S20UPM,yes,jan,,
3,2021-01-13 19:45,Verizon,N/A,downlink,45,,1320,67,8 tcp,UMN,yes,1320,clockwise,S20UPM,no,jan,,
4,2021-01-13 20:25,Verizon,N/A,downlink,15,,1320,68,8 tcp,UMN,yes,1145,clockwise,S20UPM,yes,jan,,
5,2021-01-13 22:48,Verizon,N/A,uplink,15,,1320,69,8 tcp,UMN,yes,1240,clockwise,S20UPM,yes,jan,,
6,2021-01-13 23:14,Verizon,N/A,uplink,17,,1320,70,8 tcp,UMN,yes,1135,clockwise,S20UPM,yes,jan,,
7,2021-01-13 23:42,Verizon,N/A,uplink,17,,1320,77,8 tcp,UMN,yes,1135,clockwise,S20UPM,yes,jan,,
8,2021-01-14 0:07,Verizon,N/A,downlink,15,,1320,80,8 tcp,UMN,yes,1080,clockwise,S20UPM,no,jan,phone shutdown due to low power bank battery,
9,2021-01-15 21:51:14.026 CST,Verizon,N/A,downlink,30,,1320,123,8 tcp,UMN,no,,clockwise,S20UPM,yes,jan,"In the baseline only 32 seconds are idle, the rest is noisy",
10,2021-01-15 22:30:10.196 CST,Verizon,N/A,downlink,45,,1320,131,8 tcp,UMN,no,,clockwise,S20UPM,yes,jan,"In the baseline only 48 second are idle, the rest is noisy",
11,2021-01-16 13:21:24.903 CST,Verizon,N/A,downlink,45,60,1320,133,8 tcp,UMN,,1165,clockwise,S20UPM,yes,jan,,
12,2021-01-16 14:18:57.881 CST,Verizon,N/A,downlink,45,60,1320,148,8 tcp,UMN,,1060,clockwise,S20UPM,yes,jan,,
13,2021-01-16 19:09:41.729 CST,Verizon,N/A,downlink,45,75,1320,151,8 tcp,UMN,,1200,clockwise,S20UPM,yes,jan,,
14,2021-01-16 19:43:05.647 CST,Verizon,N/A,downlink,45,75,1320,152,8 tcp,UMN,,1120,clockwise,S20UPM,no,jan,PM stopped at the end of the loop,
15,2021-01-16 20:46:46.898 CST,Verizon,N/A,downlink,45,75,1320,153,8 tcp,UMN,,1145,clockwise,S20UPM,no,jan,PM stopped at the end of the loop,
16,2021-01-16 21:19:30.376 CST,Verizon,N/A,downlink,45,75,1320,154,8 tcp,UMN,,1060,clockwise,S20UPM,yes,jan,,
17,2021-01-16 21:45:43.018 CST,Verizon,N/A,downlink,45,75,1320,155,8 tcp,UMN,,,clockwise,S20UPM,no,jan,PM stopped at the end of the loop,
18,2021-01-16 22:13:53.100 CST,Verizon,N/A,downlink,45,75,1320,156,8 tcp,UMN,,1000,clockwise,S20UPM,yes,jan,,
19,2021-01-16 22:38:52.392 CST,Verizon,N/A,downlink,45,75,1320,157,8 tcp,UMN,,1010,clockwise,S20UPM,yes,jan,,
20,2021-01-16 23:02:44.525 CST,Verizon,N/A,downlink,45,75,1320,158,8 tcp,UMN,,980,clockwise,S20UPM,no,jan, PM stopped at the end of the loop,
21,2021-01-17 13:51:34.161 CST,Verizon,N/A,downlink,45,75,1320,161,8 tcp,UMN,,1120,clockwise,S20UPM,yes,jan,,
