Date,downlink_Mbps,uplink_Mbps,latency_ms,Speedtest_URL,sponsor_name,connection_mode,UE_model,Server_city,Server_state,country,carrier,radio_type,UE_Server_distance_km,UE_location
"01/13/2021, 10:22 AM",2641.409024,107.405472,7,https://www.speedtest.net/my-result/a/6924925597,Verizon,single,Samsung S20 Ultra 5G,Minneapolis,MN,USA,Verizon,5G-NSA-mmWave,1.609,"Minneapolis, MN"
"01/13/2021, 10:22 AM",1153.3899279999996,107.936704,27,https://www.speedtest.net/my-result/a/6924928691,CenturyLink,single,Samsung S20 Ultra 5G,St. Paul,MN,USA,Verizon,5G-NSA-mmWave,,"Minneapolis, MN"
"01/13/2021, 10:23 AM",1040.346536,107.937472,25,https://www.speedtest.net/my-result/a/6924931166,Sprint,single,Samsung S20 Ultra 5G,St. Paul,MN,USA,Verizon,5G-NSA-mmWave,,"Minneapolis, MN"
"01/13/2021, 10:24 AM",955.996008,107.116456,26,https://www.speedtest.net/my-result/a/6924933436,US Internet,single,Samsung S20 Ultra 5G,Minneapolis,MN,USA,Verizon,5G-NSA-mmWave,,"Minneapolis, MN"
"01/13/2021, 10:25 AM",103.189544,101.08498399999999,29,https://www.speedtest.net/my-result/a/6924936101,fdcservers.net,single,Samsung S20 Ultra 5G,Minneapolis,MN,USA,Verizon,5G-NSA-mmWave,,"Minneapolis, MN"
"01/13/2021, 10:26 AM",942.169976,98.808328,27,https://www.speedtest.net/my-result/a/6924938499,NetINS powered by Aureon,single,Samsung S20 Ultra 5G,Minneapolis,MN,USA,Verizon,5G-NSA-mmWave,,"Minneapolis, MN"
"01/13/2021, 10:26 AM",287.935136,106.86481599999999,29,https://www.speedtest.net/my-result/a/6924941045,Hennepin Healthcare,single,Samsung S20 Ultra 5G,Minneapolis,MN,USA,Verizon,5G-NSA-mmWave,,"Minneapolis, MN"
"01/13/2021, 10:27 AM",513.564704,70.541608,45,https://www.speedtest.net/my-result/a/6924943514,Paul Bunyan Communications,single,Samsung S20 Ultra 5G,Minneapolis,MN,USA,Verizon,5G-NSA-mmWave,,"Minneapolis, MN"
"01/13/2021, 10:28 AM",70.318016,111.59100000000001,29,https://www.speedtest.net/my-result/a/6924945969,vRad,single,Samsung S20 Ultra 5G,Eden Prairie,MN,USA,Verizon,5G-NSA-mmWave,,"Minneapolis, MN"
"01/13/2021, 10:29 AM",864.60276,111.80112,28,https://www.speedtest.net/my-result/a/6924948395,Gigabit Minnesota,single,Samsung S20 Ultra 5G,Rosemount,MN,USA,Verizon,5G-NSA-mmWave,,"Minneapolis, MN"
"01/13/2021, 10:29 AM",594.193808,106.38596799999999,27,https://www.speedtest.net/my-result/a/6924950723,Carleton College,single,Samsung S20 Ultra 5G,Northfield,MN,USA,Verizon,5G-NSA-mmWave,,"Minneapolis, MN"
"01/13/2021, 10:30 AM",886.625368,109.20090400000001,28,https://www.speedtest.net/my-result/a/6924953220,Fibernet Monticello,single,Samsung S20 Ultra 5G,Monticello,MN,USA,Verizon,5G-NSA-mmWave,,"Minneapolis, MN"
"01/13/2021, 10:31 AM",1934.4325039999999,104.18145600000001,35,https://www.speedtest.net/my-result/a/6924955721,Midco,single,Samsung S20 Ultra 5G,Cambridge,MN,USA,Verizon,5G-NSA-mmWave,,"Minneapolis, MN"
"01/13/2021, 10:32 AM",167.455608,102.21978399999999,36,https://www.speedtest.net/my-result/a/6924958556,Gustavus Adolphus College,single,Samsung S20 Ultra 5G,Saint Peter,MN,USA,Verizon,5G-NSA-mmWave,,"Minneapolis, MN"
"01/13/2021, 10:33 AM",619.779904,104.740728,38,https://www.speedtest.net/my-result/a/6924961136,Spectrum,single,Samsung S20 Ultra 5G,St Cloud,MN,USA,Verizon,5G-NSA-mmWave,,"Minneapolis, MN"
