run_number,base_power
63,
64,
67,
68,
69,
70,
77,
80,
123,
131,
133,2344.316289
148,2427.19612
151,2334.889609
152,2210.545519
153,2216.971493
154,2317.011009
155,2373.276175
156,
157,2399.293395
158,2278.107346
161,2326.632496
163,2270.234125
168,2267.985665
169,2333.769116
170,2351.360587
171,2270.176508
172,2364.132663
173,2372.29833
195,2331.7313
196,2244.561284
197,2494.842453
199,2430.603456
331,2484.041887
20036,
20046,
20048,
20060,
20061,2416.868099
20062,2442.006945
20065,2383.969712
20066,
20067,
20068,
20069,2349.252841
20070,
20073,2323.109125
20074,2397.641366
20075,
20076,2443.138806
20077,2341.397594
20078,
20079,
20085,2456.058639
20086,2435.301347
20090,
20091,
20092,
15652,
15656,
15657,
78402,
78408,
