parent_file,exp_label,protocol,length,timestamp,Fixedtimestamp,time,_start,_end,_seconds,bits_per_second,rtt,iperf_type,Throughput,run_number,iperf_did,seq_no
S20UPM-run77-iPerf.txt,S20UPM-run77-iPerf,TCP,0,2021-01-13 23:44:10 CST,2021-01-13 23:44:11-06:00,23:44:11,0.0,1.0,1.0,424000000.0,-1,parallel-merged,424.0,77,S20UPM,0
S20UPM-run77-iPerf.txt,S20UPM-run77-iPerf,TCP,0,2021-01-13 23:44:10 CST,2021-01-13 23:44:12-06:00,23:44:12,1.0,2.0,1.0,88100000.0,-1,parallel-merged,88.1,77,S20UPM,1
S20UPM-run77-iPerf.txt,S20UPM-run77-iPerf,TCP,0,2021-01-13 23:44:10 CST,2021-01-13 23:44:13-06:00,23:44:13,2.0,3.0,1.0,56600000.0,-1,parallel-merged,56.6,77,S20UPM,2
S20UPM-run77-iPerf.txt,S20UPM-run77-iPerf,TCP,0,2021-01-13 23:44:10 CST,2021-01-13 23:44:14-06:00,23:44:14,3.0,4.0,1.0,78600000.0,-1,parallel-merged,78.6,77,S20UPM,3
S20UPM-run77-iPerf.txt,S20UPM-run77-iPerf,TCP,0,2021-01-13 23:44:10 CST,2021-01-13 23:44:15-06:00,23:44:15,4.0,5.0,1.0,78600000.0,-1,parallel-merged,78.6,77,S20UPM,4
S20UPM-run77-iPerf.txt,S20UPM-run77-iPerf,TCP,0,2021-01-13 23:44:10 CST,2021-01-13 23:44:16-06:00,23:44:16,5.0,6.0,1.0,96500000.0,-1,parallel-merged,96.5,77,S20UPM,5
S20UPM-run77-iPerf.txt,S20UPM-run77-iPerf,TCP,0,2021-01-13 23:44:10 CST,2021-01-13 23:44:17-06:00,23:44:17,6.0,7.0,1.0,109000000.0,-1,parallel-merged,109.0,77,S20UPM,6
S20UPM-run77-iPerf.txt,S20UPM-run77-iPerf,TCP,0,2021-01-13 23:44:10 CST,2021-01-13 23:44:18-06:00,23:44:18,7.0,8.0,1.0,99600000.0,-1,parallel-merged,99.6,77,S20UPM,7
S20UPM-run77-iPerf.txt,S20UPM-run77-iPerf,TCP,0,2021-01-13 23:44:10 CST,2021-01-13 23:44:19-06:00,23:44:19,8.0,9.0,1.0,106000000.0,-1,parallel-merged,106.0,77,S20UPM,8
S20UPM-run77-iPerf.txt,S20UPM-run77-iPerf,TCP,0,2021-01-13 23:44:10 CST,2021-01-13 23:44:20-06:00,23:44:20,9.0,10.0,1.0,64000000.0,-1,parallel-merged,64.0,77,S20UPM,9
S20UPM-run77-iPerf.txt,S20UPM-run77-iPerf,TCP,0,2021-01-13 23:44:10 CST,2021-01-13 23:44:21-06:00,23:44:21,10.0,11.0,1.0,82800000.0,-1,parallel-merged,82.8,77,S20UPM,10
S20UPM-run77-iPerf.txt,S20UPM-run77-iPerf,TCP,0,2021-01-13 23:44:10 CST,2021-01-13 23:44:22-06:00,23:44:22,11.0,12.0,1.0,74400000.0,-1,parallel-merged,74.4,77,S20UPM,11
S20UPM-run77-iPerf.txt,S20UPM-run77-iPerf,TCP,0,2021-01-13 23:44:10 CST,2021-01-13 23:44:23-06:00,23:44:23,12.0,13.0,1.0,70300000.0,-1,parallel-merged,70.3,77,S20UPM,12
S20UPM-run77-iPerf.txt,S20UPM-run77-iPerf,TCP,0,2021-01-13 23:44:10 CST,2021-01-13 23:44:24-06:00,23:44:24,13.0,14.0,1.0,64000000.0,-1,parallel-merged,64.0,77,S20UPM,13
S20UPM-run77-iPerf.txt,S20UPM-run77-iPerf,TCP,0,2021-01-13 23:44:10 CST,2021-01-13 23:44:25-06:00,23:44:25,14.0,15.0,1.0,77600000.0,-1,parallel-merged,77.6,77,S20UPM,14
S20UPM-run77-iPerf.txt,S20UPM-run77-iPerf,TCP,0,2021-01-13 23:44:10 CST,2021-01-13 23:44:26-06:00,23:44:26,15.0,16.0,1.0,70300000.0,-1,parallel-merged,70.3,77,S20UPM,15
S20UPM-run77-iPerf.txt,S20UPM-run77-iPerf,TCP,0,2021-01-13 23:44:10 CST,2021-01-13 23:44:27-06:00,23:44:27,16.0,17.0,1.0,55600000.0,-1,parallel-merged,55.6,77,S20UPM,16
S20UPM-run77-iPerf.txt,S20UPM-run77-iPerf,TCP,0,2021-01-13 23:44:10 CST,2021-01-13 23:44:28-06:00,23:44:28,17.0,18.0,1.0,54500000.0,-1,parallel-merged,54.5,77,S20UPM,17
S20UPM-run77-iPerf.txt,S20UPM-run77-iPerf,TCP,0,2021-01-13 23:44:10 CST,2021-01-13 23:44:29-06:00,23:44:29,18.0,19.0,1.0,55600000.0,-1,parallel-merged,55.6,77,S20UPM,18
S20UPM-run77-iPerf.txt,S20UPM-run77-iPerf,TCP,0,2021-01-13 23:44:10 CST,2021-01-13 23:44:30-06:00,23:44:30,19.0,20.0,1.0,80700000.0,-1,parallel-merged,80.7,77,S20UPM,19
S20UPM-run77-iPerf.txt,S20UPM-run77-iPerf,TCP,0,2021-01-13 23:44:10 CST,2021-01-13 23:44:31-06:00,23:44:31,20.0,21.0,1.0,64000000.0,-1,parallel-merged,64.0,77,S20UPM,20
S20UPM-run77-iPerf.txt,S20UPM-run77-iPerf,TCP,0,2021-01-13 23:44:10 CST,2021-01-13 23:44:32-06:00,23:44:32,21.0,22.0,1.0,69200000.0,-1,parallel-merged,69.2,77,S20UPM,21
S20UPM-run77-iPerf.txt,S20UPM-run77-iPerf,TCP,0,2021-01-13 23:44:10 CST,2021-01-13 23:44:33-06:00,23:44:33,22.0,23.0,1.0,65000000.0,-1,parallel-merged,65.0,77,S20UPM,22
S20UPM-run77-iPerf.txt,S20UPM-run77-iPerf,TCP,0,2021-01-13 23:44:10 CST,2021-01-13 23:44:34-06:00,23:44:34,23.0,24.0,1.0,73400000.0,-1,parallel-merged,73.4,77,S20UPM,23
S20UPM-run77-iPerf.txt,S20UPM-run77-iPerf,TCP,0,2021-01-13 23:44:10 CST,2021-01-13 23:44:35-06:00,23:44:35,24.0,25.0,1.0,44000000.0,-1,parallel-merged,44.0,77,S20UPM,24
S20UPM-run77-iPerf.txt,S20UPM-run77-iPerf,TCP,0,2021-01-13 23:44:10 CST,2021-01-13 23:44:36-06:00,23:44:36,25.0,26.0,1.0,64000000.0,-1,parallel-merged,64.0,77,S20UPM,25
S20UPM-run77-iPerf.txt,S20UPM-run77-iPerf,TCP,0,2021-01-13 23:44:10 CST,2021-01-13 23:44:37-06:00,23:44:37,26.0,27.0,1.0,60800000.0,-1,parallel-merged,60.8,77,S20UPM,26
S20UPM-run77-iPerf.txt,S20UPM-run77-iPerf,TCP,0,2021-01-13 23:44:10 CST,2021-01-13 23:44:38-06:00,23:44:38,27.0,28.0,1.0,64000000.0,-1,parallel-merged,64.0,77,S20UPM,27
S20UPM-run77-iPerf.txt,S20UPM-run77-iPerf,TCP,0,2021-01-13 23:44:10 CST,2021-01-13 23:44:39-06:00,23:44:39,28.0,29.0,1.0,53500000.0,-1,parallel-merged,53.5,77,S20UPM,28
S20UPM-run77-iPerf.txt,S20UPM-run77-iPerf,TCP,0,2021-01-13 23:44:10 CST,2021-01-13 23:44:40-06:00,23:44:40,29.0,30.0,1.0,101000000.0,-1,parallel-merged,101.0,77,S20UPM,29
S20UPM-run77-iPerf.txt,S20UPM-run77-iPerf,TCP,0,2021-01-13 23:44:10 CST,2021-01-13 23:44:41-06:00,23:44:41,30.0,31.0,1.0,73400000.0,-1,parallel-merged,73.4,77,S20UPM,30
S20UPM-run77-iPerf.txt,S20UPM-run77-iPerf,TCP,0,2021-01-13 23:44:10 CST,2021-01-13 23:44:42-06:00,23:44:42,31.0,32.0,1.0,60800000.0,-1,parallel-merged,60.8,77,S20UPM,31
S20UPM-run77-iPerf.txt,S20UPM-run77-iPerf,TCP,0,2021-01-13 23:44:10 CST,2021-01-13 23:44:43-06:00,23:44:43,32.0,33.0,1.0,60800000.0,-1,parallel-merged,60.8,77,S20UPM,32
S20UPM-run77-iPerf.txt,S20UPM-run77-iPerf,TCP,0,2021-01-13 23:44:10 CST,2021-01-13 23:44:44-06:00,23:44:44,33.0,34.0,1.0,76500000.0,-1,parallel-merged,76.5,77,S20UPM,33
S20UPM-run77-iPerf.txt,S20UPM-run77-iPerf,TCP,0,2021-01-13 23:44:10 CST,2021-01-13 23:44:45-06:00,23:44:45,34.0,35.0,1.0,68200000.0,-1,parallel-merged,68.2,77,S20UPM,34
S20UPM-run77-iPerf.txt,S20UPM-run77-iPerf,TCP,0,2021-01-13 23:44:10 CST,2021-01-13 23:44:46-06:00,23:44:46,35.0,36.0,1.0,55600000.0,-1,parallel-merged,55.6,77,S20UPM,35
S20UPM-run77-iPerf.txt,S20UPM-run77-iPerf,TCP,0,2021-01-13 23:44:10 CST,2021-01-13 23:44:47-06:00,23:44:47,36.0,37.0,1.0,75500000.0,-1,parallel-merged,75.5,77,S20UPM,36
S20UPM-run77-iPerf.txt,S20UPM-run77-iPerf,TCP,0,2021-01-13 23:44:10 CST,2021-01-13 23:44:48-06:00,23:44:48,37.0,38.0,1.0,53500000.0,-1,parallel-merged,53.5,77,S20UPM,37
S20UPM-run77-iPerf.txt,S20UPM-run77-iPerf,TCP,0,2021-01-13 23:44:10 CST,2021-01-13 23:44:49-06:00,23:44:49,38.0,39.0,1.0,44000000.0,-1,parallel-merged,44.0,77,S20UPM,38
S20UPM-run77-iPerf.txt,S20UPM-run77-iPerf,TCP,0,2021-01-13 23:44:10 CST,2021-01-13 23:44:50-06:00,23:44:50,39.0,40.0,1.0,71300000.0,-1,parallel-merged,71.3,77,S20UPM,39
S20UPM-run77-iPerf.txt,S20UPM-run77-iPerf,TCP,0,2021-01-13 23:44:10 CST,2021-01-13 23:44:51-06:00,23:44:51,40.0,41.0,1.0,60800000.0,-1,parallel-merged,60.8,77,S20UPM,40
S20UPM-run77-iPerf.txt,S20UPM-run77-iPerf,TCP,0,2021-01-13 23:44:10 CST,2021-01-13 23:44:52-06:00,23:44:52,41.0,42.0,1.0,64000000.0,-1,parallel-merged,64.0,77,S20UPM,41
S20UPM-run77-iPerf.txt,S20UPM-run77-iPerf,TCP,0,2021-01-13 23:44:10 CST,2021-01-13 23:44:53-06:00,23:44:53,42.0,43.0,1.0,71300000.0,-1,parallel-merged,71.3,77,S20UPM,42
S20UPM-run77-iPerf.txt,S20UPM-run77-iPerf,TCP,0,2021-01-13 23:44:10 CST,2021-01-13 23:44:54-06:00,23:44:54,43.0,44.0,1.0,69200000.0,-1,parallel-merged,69.2,77,S20UPM,43
S20UPM-run77-iPerf.txt,S20UPM-run77-iPerf,TCP,0,2021-01-13 23:44:10 CST,2021-01-13 23:44:55-06:00,23:44:55,44.0,45.0,1.0,60800000.0,-1,parallel-merged,60.8,77,S20UPM,44
S20UPM-run77-iPerf.txt,S20UPM-run77-iPerf,TCP,0,2021-01-13 23:44:10 CST,2021-01-13 23:44:56-06:00,23:44:56,45.0,46.0,1.0,49300000.0,-1,parallel-merged,49.3,77,S20UPM,45
S20UPM-run77-iPerf.txt,S20UPM-run77-iPerf,TCP,0,2021-01-13 23:44:10 CST,2021-01-13 23:44:57-06:00,23:44:57,46.0,47.0,1.0,86000000.0,-1,parallel-merged,86.0,77,S20UPM,46
S20UPM-run77-iPerf.txt,S20UPM-run77-iPerf,TCP,0,2021-01-13 23:44:10 CST,2021-01-13 23:44:58-06:00,23:44:58,47.0,48.0,1.0,45100000.0,-1,parallel-merged,45.1,77,S20UPM,47
S20UPM-run77-iPerf.txt,S20UPM-run77-iPerf,TCP,0,2021-01-13 23:44:10 CST,2021-01-13 23:44:59-06:00,23:44:59,48.0,49.0,1.0,91200000.0,-1,parallel-merged,91.2,77,S20UPM,48
