nr_ssRsrp,hardware_power_full,nrStatus,downlink_Mbps,LTE_RSRP,nr_ssSinr,hardware_power,software_power,Timestamp,uplink_Mbps
-78,7494.914220000001,CONNECTED,1.414552,-65,20,5250.352936,7355.321999999999,189.40099999999998,193.570874
-76,9988.404859999999,CONNECTED,3097.225239,-65,21,7649.40486,9411.8635,162.311,1.789722
-74,6402.78156,CONNECTED,0.83588,-83,13,4063.7815600000004,6401.74,407.527,62.56698000000001
-76,8024.39102,CONNECTED,1.279299,-63,21,5593.787564,7257.6018,190.399,143.54202800000002
-78,9672.226540000001,CONNECTED,2052.7732530000003,-71,19,7333.226540000001,8433.5004,930.4810000000001,1.200029
-77,7560.40134,CONNECTED,0.8564280000000001,-73,21,5315.840056,7509.1192,793.216,78.106999
-78,8071.9443,CONNECTED,1510.695872,-65,23,5750.9443,6859.8932,185.39700000000002,1.087424
-78,10068.82668,CONNECTED,3115.580848,-61,19,7729.82668,9470.0701,165.315,1.8657130000000002
-75,6539.02984,CONNECTED,0.9500200000000001,-82,7,4200.02984,6565.8548,408.574,65.562607
-77,10117.59438,CONNECTED,3210.5127399999997,-64,18,7778.59438,10070.4604,160.303,1.842989
-78,8649.56264,CONNECTED,2412.2780629999997,-74,20,6310.56264,9406.6245,931.482,1.43984
-78,9427.67158,CONNECTED,2324.0062980000002,-63,19,7106.671579999999,7756.7141,187.40200000000002,1.4714129999999999
-78,7487.379059999999,CONNECTED,1.181024,-64,22,5148.37906,7114.484,168.263,140.898461
-77,8169.944640000001,CONNECTED,0.960621,-71,20,5739.341184000001,7173.6288,788.2189999999999,85.572469
-77,7897.37458,CONNECTED,1.418144,-58,17,5466.771124,7281.2088,180.386,150.968164
-78,9663.53852,CONNECTED,3104.63057,-61,21,7342.53852,9032.6074,190.40599999999998,1.7275200000000002
-77,6448.025320000001,CONNECTED,0.699238,-87,8,4109.025320000001,6042.8046,409.53,54.803576
-77,9148.89492,CONNECTED,2664.7439280000003,-57,15,6809.894920000001,8904.1726,177.33900000000003,2.788801
-78,9686.877859999999,CONNECTED,2796.312367,-63,12,7365.87786,8863.734,181.387,1.6870150000000002
-78,8594.492740000002,CONNECTED,1919.893937,-58,19,6273.49274,7818.6328,50.165,1.187382
-74,7890.35298,CONNECTED,0.94409,-57,23,5395.510527,6878.8132,188.357,108.878859
