radio_type,carrier,interval,timestamp,RTT1,RTT2,Network,KeepOrDrop
4G-LTE,TMobile,8,1609095400757,350,350,4,YEP
4G-LTE,TMobile,8.01,1609095409118,304,303,4,YEP
4G-LTE,TMobile,8.02,1609095417441,96,96,4,YEP
4G-LTE,TMobile,8.03,1609095425568,180,179,4,YEP
4G-LTE,TMobile,8.04,1609095433788,270,269,4,YEP
4G-LTE,TMobile,8.05,1609095442107,280,281,4,YEP
4G-LTE,TMobile,8.06,1609095450448,265,265,4,YEP
4G-LTE,TMobile,8.07,1609095458783,240,240,4,YEP
4G-LTE,TMobile,8.08,1609095467103,244,244,4,YEP
4G-LTE,TMobile,8.09,1609095475437,220,221,4,YEP
4G-LTE,TMobile,8.1,1609095483758,230,229,4,YEP
4G-LTE,TMobile,8.11,1609095512098,490,489,4,OUT
4G-LTE,TMobile,8.12,1609095520708,1484,1484,4,YEP
4G-LTE,TMobile,8.13,1609095530322,347,346,4,YEP
4G-LTE,TMobile,8.14,1609095538809,279,278,4,YEP
4G-LTE,TMobile,8.15,1609095547237,170,170,4,YEP
4G-LTE,TMobile,8.16,1609095555568,123,123,4,YEP
4G-LTE,TMobile,8.17,1609095563861,187,186,4,YEP
4G-LTE,TMobile,8.18,1609095572228,120,119,4,YEP
4G-LTE,TMobile,8.19,1609095580538,130,129,4,YEP
4G-LTE,TMobile,8.2,1609095588868,141,140,4,YEP
4G-LTE,TMobile,8.21,1609095597219,109,109,4,YEP
4G-LTE,TMobile,8.22,1609095605548,100,99,4,YEP
4G-LTE,TMobile,8.23,1609095613877,430,430,4,YEP
4G-LTE,TMobile,8.24,1609095622548,381,380,4,YEP
4G-LTE,TMobile,8.25,1609095631178,379,379,4,YEP
4G-LTE,TMobile,8.26,1609095639818,390,390,4,YEP
4G-LTE,TMobile,8.27,1609095648478,372,373,4,YEP
4G-LTE,TMobile,8.28,1609095657131,357,356,4,YEP
4G-LTE,TMobile,8.29,1609095665778,350,349,4,YEP
4G-LTE,TMobile,8.3,1609095674427,340,340,4,YEP
4G-LTE,TMobile,8.31,1609095683078,334,334,4,YEP
4G-LTE,TMobile,8.32,1609095691732,295,296,4,YEP
4G-LTE,TMobile,8.33,1609095700358,330,329,4,YEP
4G-LTE,TMobile,8.34,1609095709028,281,280,4,YEP
4G-LTE,TMobile,8.35,1609095717659,289,288,4,YEP
4G-LTE,TMobile,8.36,1609095726308,312,311,4,YEP
4G-LTE,TMobile,8.37,1609095734990,238,237,4,YEP
4G-LTE,TMobile,8.38,1609095743608,260,259,4,YEP
4G-LTE,TMobile,8.39,1609095752257,280,280,4,YEP
4G-LTE,TMobile,8.4,1609095760938,110,109,4,YEP
4G-LTE,TMobile,8.41,1609095769458,350,349,4,BAD
4G-LTE,TMobile,8.42,1609095778227,220,220,4,YEP
4G-LTE,TMobile,8.43,1609095786878,200,200,4,YEP
4G-LTE,TMobile,8.44,1609095795518,214,214,4,YEP
4G-LTE,TMobile,8.45,1609095804182,190,189,4,YEP
4G-LTE,TMobile,8.46,1609095812831,178,178,4,YEP
4G-LTE,TMobile,8.47,1609095821479,168,168,4,YEP
4G-LTE,TMobile,8.48,1609095830128,140,140,4,YEP
4G-LTE,TMobile,8.49,1609095838758,170,169,4,YEP
4G-LTE,TMobile,8.5,1609095847427,140,140,4,YEP
4G-LTE,TMobile,8.51,1609095856078,130,129,4,YEP
4G-LTE,TMobile,8.52,1609095864727,140,141,4,YEP
4G-LTE,TMobile,8.53,1609095873398,110,111,4,YEP
4G-LTE,TMobile,8.54,1609095882049,408,408,4,YEP
4G-LTE,TMobile,8.55,1609095891007,400,400,4,YEP
4G-LTE,TMobile,8.56,1609095899968,400,399,4,YEP
4G-LTE,TMobile,8.57,1609095908938,390,389,4,YEP
4G-LTE,TMobile,8.58,1609095917907,380,380,4,YEP
4G-LTE,TMobile,8.59,1609095926877,370,370,4,YEP
4G-LTE,TMobile,8.6,1609095935848,360,359,4,YEP
4G-LTE,TMobile,8.61,1609095944818,330,329,4,YEP
4G-LTE,TMobile,8.62,1609095953768,360,360,4,YEP
4G-LTE,TMobile,8.63,1609095962758,330,330,4,YEP
4G-LTE,TMobile,8.64,1609095971728,302,302,4,YEP
4G-LTE,TMobile,8.65,1609095980680,327,327,4,YEP
4G-LTE,TMobile,8.66,1609095989668,310,309,4,YEP
4G-LTE,TMobile,8.67,1609095998648,280,280,4,YEP
4G-LTE,TMobile,8.68,1609096007608,279,279,4,YEP
4G-LTE,TMobile,8.69,1609096016577,245,246,4,YEP
4G-LTE,TMobile,8.7,1609096025523,265,264,4,YEP
4G-LTE,TMobile,8.71,1609096034497,270,270,4,YEP
4G-LTE,TMobile,8.72,1609096043488,240,239,4,YEP
4G-LTE,TMobile,8.73,1609096052457,230,231,4,YEP
4G-LTE,TMobile,8.74,1609096061428,240,239,4,YEP
4G-LTE,TMobile,8.75,1609096070417,200,200,4,YEP
4G-LTE,TMobile,8.76,1609096079377,190,191,4,YEP
4G-LTE,TMobile,8.77,1609096088338,175,175,4,YEP
4G-LTE,TMobile,8.78,1609096097293,184,184,4,YEP
4G-LTE,TMobile,8.79,1609096106267,180,180,4,YEP
4G-LTE,TMobile,8.8,1609096115247,161,162,4,YEP
4G-LTE,TMobile,8.81,1609096124219,128,129,4,YEP
