radio_type,carrier,interval,timestamp,RTT1,RTT2,Network,KeepOrDrop
5G-NSA-Low-Band,TMobile,8,1609120427326,320,319,4,YEP
5G-NSA-Low-Band,TMobile,8.01,1609120435655,303,303,4,YEP
5G-NSA-Low-Band,TMobile,8.02,1609120443978,300,301,4,YEP
5G-NSA-Low-Band,TMobile,8.03,1609120452309,290,289,4,YEP
5G-NSA-Low-Band,TMobile,8.04,1609120460638,280,280,4,YEP
5G-NSA-Low-Band,TMobile,8.05,1609120468968,270,271,4,YEP
5G-NSA-Low-Band,TMobile,8.06,1609120477299,259,259,4,YEP
5G-NSA-Low-Band,TMobile,8.07,1609120485629,250,250,4,YEP
5G-NSA-Low-Band,TMobile,8.08,1609120493959,240,240,4,YEP
5G-NSA-Low-Band,TMobile,8.09,1609120502289,230,230,4,YEP
5G-NSA-Low-Band,TMobile,8.1,1609120510619,227,226,4,YEP
5G-NSA-Low-Band,TMobile,8.11,1609120518956,203,203,4,YEP
5G-NSA-Low-Band,TMobile,8.12,1609120527279,200,199,4,YEP
5G-NSA-Low-Band,TMobile,8.13,1609120535608,197,197,4,YEP
5G-NSA-Low-Band,TMobile,8.14,1609120543945,173,173,4,YEP
5G-NSA-Low-Band,TMobile,8.15,1609120552269,170,169,4,YEP
5G-NSA-Low-Band,TMobile,8.16,1609120560599,160,160,4,YEP
5G-NSA-Low-Band,TMobile,8.17,1609120568929,150,149,4,YEP
5G-NSA-Low-Band,TMobile,8.18,1609120577259,140,139,4,YEP
5G-NSA-Low-Band,TMobile,8.19,1609120585589,130,129,4,YEP
5G-NSA-Low-Band,TMobile,8.2,1609120593919,120,119,4,YEP
5G-NSA-Low-Band,TMobile,8.21,1609120602249,117,116,4,YEP
5G-NSA-Low-Band,TMobile,8.22,1609120610585,93,93,4,YEP
5G-NSA-Low-Band,TMobile,8.23,1609120618908,90,90,4,YEP
5G-NSA-Low-Band,TMobile,8.24,1609120627238,400,400,4,YEP
5G-NSA-Low-Band,TMobile,8.25,1609120635889,394,393,4,YEP
5G-NSA-Low-Band,TMobile,8.26,1609120644542,376,376,4,YEP
5G-NSA-Low-Band,TMobile,8.27,1609120653188,370,371,4,YEP
5G-NSA-Low-Band,TMobile,8.28,1609120661839,360,359,4,YEP
5G-NSA-Low-Band,TMobile,8.29,1609120670488,350,350,4,YEP
5G-NSA-Low-Band,TMobile,8.3,1609120679139,340,339,4,YEP
5G-NSA-Low-Band,TMobile,8.31,1609120687788,330,330,4,YEP
5G-NSA-Low-Band,TMobile,8.32,1609120696438,320,320,4,YEP
5G-NSA-Low-Band,TMobile,8.33,1609120705088,310,310,4,YEP
