loop,interval,timestamp,RTT1,RTT2,Seq,Network,KeepOrDrop
1,8.000,1609120427326,320,319,805,4,YEP
1,8.010,1609120435655,303,303,806,4,YEP
1,8.020,1609120443978,300,301,807,4,YEP
1,8.030,1609120452309,290,289,808,4,YEP
1,8.040,1609120460638,280,280,809,4,YEP
1,8.050,1609120468968,270,271,810,4,YEP
1,8.060,1609120477299,259,259,811,4,YEP
1,8.070,1609120485629,250,250,812,4,YEP
1,8.080,1609120493959,240,240,813,4,YEP
1,8.090,1609120502289,230,230,814,4,YEP
1,8.100,1609120510619,227,226,815,4,YEP
1,8.110,1609120518956,203,203,816,4,YEP
1,8.120,1609120527279,200,199,817,4,YEP
1,8.130,1609120535608,197,197,818,4,YEP
1,8.140,1609120543945,173,173,819,4,YEP
1,8.150,1609120552269,170,169,820,4,YEP
1,8.160,1609120560599,160,160,821,4,YEP
1,8.170,1609120568929,150,149,822,4,YEP
1,8.180,1609120577259,140,139,823,4,YEP
1,8.190,1609120585589,130,129,824,4,YEP
1,8.200,1609120593919,120,119,825,4,YEP
1,8.210,1609120602249,117,116,826,4,YEP
1,8.220,1609120610585,93,93,827,4,YEP
1,8.230,1609120618908,90,90,828,4,YEP
1,8.240,1609120627238,400,400,829,4,YEP
1,8.250,1609120635889,394,393,830,4,YEP
1,8.260,1609120644542,376,376,831,4,YEP
1,8.270,1609120653188,370,371,832,4,YEP
1,8.280,1609120661839,360,359,833,4,YEP
1,8.290,1609120670488,350,350,834,4,YEP
1,8.300,1609120679139,340,339,835,4,YEP
1,8.310,1609120687788,330,330,836,4,YEP
1,8.320,1609120696438,320,320,837,4,YEP
1,8.330,1609120705088,310,310,838,4,YEP
1,8.340,1609120713739,300,300,839,4,YEP
1,8.350,1609120722389,293,293,840,4,YEP
1,8.360,1609120731042,276,277,841,4,YEP
1,8.370,1609120739689,270,269,842,4,YEP
1,8.380,1609120748339,286,285,843,4,YEP
1,8.390,1609120757014,224,224,844,4,YEP
1,8.400,1609120765639,240,239,845,4,YEP
1,8.410,1609120774289,230,229,846,4,YEP
1,8.420,1609120782938,220,220,847,4,YEP
1,8.430,1609120791589,210,210,848,4,YEP
1,8.440,1609120800239,200,199,849,4,YEP
1,8.450,1609120808888,190,190,850,4,YEP
1,8.460,1609120817539,180,179,851,4,YEP
1,8.470,1609120826189,170,169,852,4,YEP
1,8.480,1609120834839,160,160,853,4,YEP
1,8.490,1609120843489,169,170,854,4,YEP
1,8.500,1609120852159,139,139,855,4,YEP
1,8.510,1609120860809,110,110,856,4,YEP
1,8.520,1609120869439,127,128,857,4,YEP
1,8.530,1609120878097,110,110,858,4,YEP
1,8.540,1609120886747,92,91,859,4,YEP
1,8.550,1609120895389,90,89,860,4,YEP
1,8.560,1609120904039,400,399,861,4,YEP
1,8.570,1609120913009,400,400,862,4,YEP
1,8.580,1609120921989,369,369,863,4,YEP
1,8.590,1609120930949,370,370,864,4,YEP
1,8.600,1609120939919,360,360,865,4,YEP
1,8.610,1609120948889,350,349,866,4,YEP
1,8.620,1609120957859,340,339,867,4,YEP
1,8.630,1609120966829,330,330,868,4,YEP
1,8.640,1609120975799,321,321,869,4,YEP
1,8.650,1609120984770,309,309,870,4,YEP
1,8.660,1609120993739,300,300,871,4,YEP
1,8.670,1609121002709,289,290,872,4,YEP
1,8.680,1609121011679,280,279,873,4,YEP
1,8.690,1609121020649,270,269,874,4,YEP
1,8.700,1609121029619,269,268,875,4,YEP
1,8.710,1609121038598,241,241,876,4,YEP
1,8.720,1609121047559,240,240,877,4,YEP
1,8.730,1609121056529,238,238,878,4,YEP
1,8.740,1609121065507,233,232,879,4,YEP
1,8.750,1609121074489,189,190,880,4,YEP
1,8.760,1609121083439,206,206,881,4,YEP
1,8.770,1609121092415,184,184,882,4,YEP
1,8.780,1609121101379,179,179,883,4,YEP
1,8.790,1609121110349,170,169,884,4,YEP
1,8.800,1609121119319,180,180,885,4,YEP
1,8.810,1609121128309,137,136,886,4,YEP
1,8.820,1609121137266,133,133,887,4,YEP
1,8.830,1609121146229,130,130,888,4,YEP
1,8.840,1609121155199,140,140,889,4,YEP
1,8.850,1609121164189,90,90,890,4,YEP
1,8.860,1609121173139,99,100,891,4,YEP
1,8.870,1609121182109,90,89,892,4,YEP
1,8.880,1609121191079,400,399,893,4,YEP
1,8.890,1609121200369,390,390,894,4,YEP
1,8.900,1609121209659,379,379,895,4,YEP
1,8.910,1609121218949,390,390,896,4,YEP
1,8.920,1609121228259,339,339,897,4,YEP
1,8.930,1609121237529,351,351,898,4,YEP
1,8.940,1609121246820,339,339,899,4,YEP
1,8.950,1609121256109,335,334,900,4,YEP
1,8.960,1609121265404,315,314,901,4,YEP
1,8.970,1609121274689,310,309,902,4,YEP
1,8.980,1609121283979,300,299,903,4,YEP
1,8.990,1609121293269,290,289,904,4,YEP
1,9.000,1609121302559,280,279,905,4,YEP
1,9.010,1609121311849,276,276,906,4,YEP
1,9.020,1609121321145,254,254,907,4,YEP
1,9.030,1609121330429,250,250,908,4,YEP
1,9.040,1609121339719,240,239,909,4,YEP
1,9.050,1609121349009,230,230,910,4,YEP
1,9.060,1609121358299,219,219,911,4,YEP
1,9.070,1609121367589,190,190,912,4,YEP
1,9.080,1609121376859,220,219,913,4,YEP
1,9.090,1609121386169,190,190,914,4,YEP
1,9.100,1609121395459,180,179,915,4,YEP
1,9.110,1609121404749,170,169,916,4,YEP
1,9.120,1609121414039,160,160,917,4,YEP
1,9.130,1609121423329,157,157,918,4,YEP
1,9.140,1609121432626,133,132,919,4,YEP
1,9.150,1609121441909,130,130,920,4,YEP
1,9.160,1609121451199,120,120,921,4,YEP
1,9.170,1609121460489,110,110,922,4,YEP
1,9.180,1609121469779,100,99,923,4,YEP
1,9.190,1609121479069,90,89,924,4,YEP
1,9.200,1609121488359,80,80,925,4,YEP
1,9.210,1609121497649,390,390,926,4,YEP
1,9.220,1609121507259,407,407,927,4,YEP
1,9.230,1609121516897,343,343,928,4,YEP
1,9.240,1609121526480,361,361,929,4,YEP
1,9.250,1609121536092,347,346,930,4,YEP
1,9.260,1609121545699,340,339,931,4,YEP
1,9.270,1609121555309,330,329,932,4,YEP
1,9.280,1609121564919,320,320,933,4,YEP
1,9.290,1609121574529,314,314,934,4,YEP
1,9.300,1609121584143,296,296,935,4,YEP
1,9.310,1609121593749,290,290,936,4,YEP
1,9.320,1609121603359,280,279,937,4,YEP
1,9.330,1609121612969,270,270,938,4,YEP
1,9.340,1609121622579,261,262,939,4,YEP
1,9.350,1609121632191,247,247,940,4,BAD
1,9.360,1609121641799,240,240,941,4,YEP
1,9.370,1609121651409,230,229,942,4,YEP
1,9.380,1609121661019,220,220,943,4,YEP
1,9.390,1609121670629,230,229,944,4,YEP
1,9.400,1609121680259,180,180,945,4,YEP
1,9.410,1609121689849,196,197,946,4,YEP
1,9.420,1609121699466,173,172,947,4,YEP
1,9.430,1609121709069,190,190,948,4,YEP
1,9.440,1609121718699,143,142,949,4,YEP
1,9.450,1609121728292,147,147,950,4,YEP
1,9.460,1609121737899,140,140,951,4,YEP
1,9.470,1609121747509,130,130,952,4,YEP
1,9.480,1609121757119,120,119,953,4,YEP
1,9.490,1609121766729,110,109,954,4,YEP
1,9.500,1609121776339,128,128,955,4,YEP
1,9.510,1609121785977,381,382,956,4,YEP
1,9.520,1609121795879,400,400,957,4,YEP
1,9.530,1609121805809,391,390,958,4,YEP
1,9.540,1609121815739,379,379,959,4,YEP
1,9.550,1609121825669,370,369,960,4,YEP
1,9.560,1609121835599,360,360,961,4,YEP
1,9.570,1609121845529,350,350,962,4,YEP
1,9.580,1609121855459,329,329,963,4,YEP
1,9.590,1609121865378,341,341,964,4,YEP
1,9.600,1609121875319,319,320,965,4,YEP
1,9.610,1609121885249,309,310,966,4,YEP
1,9.620,1609121895179,299,300,967,4,YEP
1,9.630,1609121905109,290,290,968,4,YEP
1,9.640,1609121915039,280,279,969,4,YEP
1,9.650,1609121924969,270,269,970,4,YEP
1,9.660,1609121934899,260,260,971,4,YEP
1,9.670,1609121944829,250,249,972,4,YEP
1,9.680,1609121954759,240,239,973,4,YEP
1,9.690,1609121964689,230,230,974,4,YEP
1,9.700,1609121974619,220,220,975,4,YEP
1,9.710,1609121984549,209,210,976,4,YEP
1,9.720,1609121994479,199,199,977,4,YEP
1,9.730,1609122004409,190,189,978,4,YEP
1,9.740,1609122014339,180,180,979,4,YEP
1,9.750,1609122024269,169,170,980,4,YEP
1,9.760,1609122034199,160,159,981,4,YEP
1,9.770,1609122044129,158,158,982,4,YEP
1,9.780,1609122054067,132,132,983,4,YEP
1,9.790,1609122063989,130,130,984,4,YEP
1,9.800,1609122073919,119,119,985,4,YEP
1,9.810,1609122083849,110,110,986,4,YEP
1,9.820,1609122093779,100,100,987,4,YEP
1,9.830,1609122103709,90,90,988,4,YEP
1,9.840,1609122113639,387,388,989,4,YEP
1,9.850,1609122123877,102,101,990,4,BAD
1,9.860,1609122133839,360,360,991,4,YEP
1,9.870,1609122144069,350,350,992,4,YEP
1,9.880,1609122154299,404,403,993,4,YEP
1,9.890,1609122164593,330,330,994,4,YEP
1,9.900,1609122174823,360,360,995,4,YEP
1,9.910,1609122185093,306,305,996,4,YEP
1,9.920,1609122195319,334,334,997,4,YEP
1,9.930,1609122205583,300,299,998,4,YEP
1,9.940,1609122215823,320,320,999,4,YEP
1,9.950,1609122226093,266,266,1000,4,YEP
1,9.960,1609122236319,300,300,1001,4,YEP
1,9.970,1609122246589,253,254,1002,4,YEP
1,9.980,1609122256823,279,280,1003,4,YEP
1,9.990,1609122267093,226,226,1004,4,YEP
1,10.000,1609122287319,1009,1009,1006,4,OUT
1,10.010,1609122298338,294,294,1007,4,YEP
1,10.020,1609122318653,1651,1651,1009,4,OUT
1,10.030,1609122330334,310,309,1010,4,YEP
1,10.040,1609122350683,1611,1612,1012,4,OUT
1,10.050,1609122362345,174,174,1013,4,YEP
1,10.060,1609122372579,1478,1478,1014,4,YEP
1,10.070,1609122384127,334,334,1015,4,YEP
1,10.080,1609122394541,1268,1269,1016,4,YEP
1,10.090,1609122405900,412,412,1017,4,YEP
1,10.100,1609122416412,1161,1161,1018,4,YEP
1,10.110,1609122427684,437,437,1019,4,YEP
1,10.120,1609122438241,1098,1098,1020,4,YEP
1,10.130,1609122449469,125,126,1021,4,YEP
1,10.140,1609122459735,1348,1348,1022,4,YEP
1,10.150,1609122471233,144,145,1023,4,YEP
1,10.160,1609122481538,1331,1332,1024,4,YEP
1,10.170,1609122493040,150,150,1025,4,YEP
1,10.180,1609122503370,1260,1259,1026,4,YEP
1,10.190,1609122514820,124,124,1027,4,YEP
1,10.200,1609122525144,1228,1228,1028,4,YEP
1,10.210,1609122536582,269,268,1029,4,YEP
1,10.220,1609122547071,1070,1070,1030,4,YEP
1,10.230,1609122558371,319,319,1031,4,YEP
1,10.240,1609122568930,961,960,1032,4,YEP
1,10.250,1609122580141,270,270,1033,4,YEP
1,10.260,1609122590671,983,983,1034,4,YEP
1,10.270,1609122601924,337,337,1035,4,YEP
1,10.280,1609122612541,858,858,1036,4,YEP
1,10.290,1609122633689,1505,1505,1038,4,OUT
