radio_type,carrier,interval,timestamp,RTT1,RTT2,Network,KeepOrDrop
5G-NSA-Low-Band,Verizon,8,1602546368250,230,230,5,YEP
5G-NSA-Low-Band,Verizon,8.1,1602546376580,220,220,5,YEP
5G-NSA-Low-Band,Verizon,8.2,1602546385000,200,200,5,YEP
5G-NSA-Low-Band,Verizon,8.3,1602546393501,182,182,5,YEP
5G-NSA-Low-Band,Verizon,8.4,1602546402083,237,237,5,YEP
5G-NSA-Low-Band,Verizon,8.5,1602546410821,142,142,5,YEP
5G-NSA-Low-Band,Verizon,8.6,1602546419563,197,197,5,YEP
5G-NSA-Low-Band,Verizon,8.7,1602546428461,179,179,5,YEP
5G-NSA-Low-Band,Verizon,8.8,1602546437441,239,239,5,YEP
5G-NSA-Low-Band,Verizon,8.9,1602546446580,223,223,5,YEP
5G-NSA-Low-Band,Verizon,9,1602546455803,200,200,5,YEP
5G-NSA-Low-Band,Verizon,9.1,1602546465103,188,188,5,BAD
5G-NSA-Low-Band,Verizon,9.2,1602546474491,229,229,5,YEP
5G-NSA-Low-Band,Verizon,9.3,1602546484021,222,222,5,YEP
5G-NSA-Low-Band,Verizon,9.4,1602546493643,200,200,5,YEP
5G-NSA-Low-Band,Verizon,9.5,1602546503343,180,180,5,YEP
5G-NSA-Low-Band,Verizon,9.6,1602546513123,238,238,5,YEP
5G-NSA-Low-Band,Verizon,9.7,1602546523061,222,222,5,YEP
5G-NSA-Low-Band,Verizon,9.8,1602546533083,198,198,5,YEP
5G-NSA-Low-Band,Verizon,9.9,1602546543181,102,102,5,YEP
5G-NSA-Low-Band,Verizon,10,1602546553283,238,238,5,BAD
5G-NSA-Low-Band,Verizon,10.1,1602546563621,220,220,5,YEP
5G-NSA-Low-Band,Verizon,10.2,1602546574041,1395,1395,4,YEP
5G-NSA-Low-Band,Verizon,10.4,1602546596351,870,870,4,YEP
5G-NSA-Low-Band,Verizon,10.6,1602546618571,399,399,4,YEP
5G-NSA-Low-Band,Verizon,10.8,1602546640711,1303,1303,4,YEP
5G-NSA-Low-Band,Verizon,11,1602546664131,930,930,4,YEP
5G-NSA-Low-Band,Verizon,11.2,1602546687538,544,544,4,YEP
5G-NSA-Low-Band,Verizon,11.4,1602546711038,1372,1372,4,YEP
5G-NSA-Low-Band,Verizon,11.6,1602546735741,978,978,4,YEP
5G-NSA-Low-Band,Verizon,11.7,1602546748419,1111,1111,4,YEP
5G-NSA-Low-Band,Verizon,11.8,1602546761330,995,995,4,YEP
5G-NSA-Low-Band,Verizon,11.9,1602546774225,901,901,4,YEP
5G-NSA-Low-Band,Verizon,12,1602546787126,781,781,4,YEP
5G-NSA-Low-Band,Verizon,12.1,1602546800007,720,720,4,YEP
5G-NSA-Low-Band,Verizon,12.2,1602546812927,588,588,4,YEP
5G-NSA-Low-Band,Verizon,12.3,1602546825815,502,502,4,YEP
5G-NSA-Low-Band,Verizon,12.4,1602546838718,404,404,4,YEP
5G-NSA-Low-Band,Verizon,12.5,1602546851622,1601,1601,4,YEP
5G-NSA-Low-Band,Verizon,12.6,1602546865823,1460,1460,4,YEP
5G-NSA-Low-Band,Verizon,12.7,1602546879984,1383,1383,4,YEP
5G-NSA-Low-Band,Verizon,12.8,1602546894167,1271,1271,4,YEP
5G-NSA-Low-Band,Verizon,12.9,1602546908338,1184,1184,4,YEP
5G-NSA-Low-Band,Verizon,13,1602546922522,1088,1088,4,YEP
5G-NSA-Low-Band,Verizon,13.1,1602546936710,969,969,4,YEP
5G-NSA-Low-Band,Verizon,13.2,1602546950879,890,890,4,YEP
5G-NSA-Low-Band,Verizon,13.3,1602546965069,790,790,4,YEP
5G-NSA-Low-Band,Verizon,13.4,1602546979259,683,683,4,YEP
5G-NSA-Low-Band,Verizon,13.5,1602546993442,560,560,4,YEP
5G-NSA-Low-Band,Verizon,13.6,1602547007602,500,500,4,YEP
5G-NSA-Low-Band,Verizon,13.7,1602547021802,366,366,4,YEP
5G-NSA-Low-Band,Verizon,13.8,1602547035968,1598,1598,4,YEP
5G-NSA-Low-Band,Verizon,13.9,1602547051466,1425,1425,4,YEP
5G-NSA-Low-Band,Verizon,14,1602547066891,1369,1369,4,YEP
5G-NSA-Low-Band,Verizon,14.1,1602547082360,1266,1266,4,YEP
5G-NSA-Low-Band,Verizon,14.2,1602547097826,1141,1141,4,YEP
5G-NSA-Low-Band,Verizon,14.3,1602547113267,1095,1095,4,YEP
5G-NSA-Low-Band,Verizon,14.4,1602547128762,929,929,4,YEP
5G-NSA-Low-Band,Verizon,14.5,1602547144191,872,872,4,YEP
5G-NSA-Low-Band,Verizon,14.6,1602547159663,743,743,4,YEP
5G-NSA-Low-Band,Verizon,14.7,1602547175107,662,662,4,YEP
5G-NSA-Low-Band,Verizon,14.8,1602547190569,571,571,4,YEP
5G-NSA-Low-Band,Verizon,14.9,1602547206040,445,445,4,YEP
5G-NSA-Low-Band,Verizon,8,1602547214485,185,185,5,YEP
5G-NSA-Low-Band,Verizon,8.1,1602547222770,140,140,5,YEP
5G-NSA-Low-Band,Verizon,8.2,1602547231110,199,199,5,YEP
5G-NSA-Low-Band,Verizon,8.3,1602547239610,180,180,5,YEP
5G-NSA-Low-Band,Verizon,8.4,1602547248190,242,242,5,YEP
5G-NSA-Low-Band,Verizon,8.5,1602547256932,220,220,5,YEP
5G-NSA-Low-Band,Verizon,8.6,1602547265753,197,197,5,YEP
5G-NSA-Low-Band,Verizon,8.7,1602547274650,180,180,5,YEP
5G-NSA-Low-Band,Verizon,8.8,1602547283630,240,240,5,YEP
5G-NSA-Low-Band,Verizon,8.9,1602547292770,220,220,5,YEP
5G-NSA-Low-Band,Verizon,9,1602547301990,208,208,5,YEP
5G-NSA-Low-Band,Verizon,9.1,1602547311298,252,252,5,YEP
5G-NSA-Low-Band,Verizon,9.2,1602547320750,246,246,5,YEP
5G-NSA-Low-Band,Verizon,9.3,1602547330296,214,214,5,YEP
5G-NSA-Low-Band,Verizon,9.4,1602547339910,200,200,5,YEP
5G-NSA-Low-Band,Verizon,9.5,1602547349610,180,180,5,YEP
5G-NSA-Low-Band,Verizon,9.6,1602547359390,160,160,5,YEP
5G-NSA-Low-Band,Verizon,9.7,1602547369250,224,224,5,YEP
5G-NSA-Low-Band,Verizon,9.8,1602547379274,198,198,5,YEP
5G-NSA-Low-Band,Verizon,9.9,1602547389373,183,183,5,YEP
5G-NSA-Low-Band,Verizon,10,1602547399556,234,234,5,YEP
5G-NSA-Low-Band,Verizon,10.1,1602547409890,220,220,5,YEP
5G-NSA-Low-Band,Verizon,10.3,1602547430815,967,967,4,YEP
5G-NSA-Low-Band,Verizon,8.7,1602547442182,191,191,5,YEP
5G-NSA-Low-Band,Verizon,10.5,1602547452873,649,649,4,YEP
