enabled_radio_type,carrier,interval,RTT1,RTT2,active_radio_type,KeepOrDrop
5G-NSA-Low-Band,T-Mobile,0,69,70,5,YEP
5G-NSA-Low-Band,T-Mobile,0.1,101,101,5,YEP
5G-NSA-Low-Band,T-Mobile,0.2,173,174,5,YEP
5G-NSA-Low-Band,T-Mobile,0.3,56,56,5,YEP
5G-NSA-Low-Band,T-Mobile,0.4,268,269,5,YEP
5G-NSA-Low-Band,T-Mobile,0.5,128,128,5,YEP
5G-NSA-Low-Band,T-Mobile,0.6,371,372,5,YEP
5G-NSA-Low-Band,T-Mobile,0.7,269,270,5,YEP
5G-NSA-Low-Band,T-Mobile,0.8,150,149,5,BAD
5G-NSA-Low-Band,T-Mobile,0.9,382,381,5,BAD
5G-NSA-Low-Band,T-Mobile,1,278,277,5,YEP
5G-NSA-Low-Band,T-Mobile,1.1,181,181,5,YEP
5G-NSA-Low-Band,T-Mobile,1.2,79,79,5,YEP
5G-NSA-Low-Band,T-Mobile,1.3,90,90,5,BAD
5G-NSA-Low-Band,T-Mobile,1.4,99,98,5,YEP
5G-NSA-Low-Band,T-Mobile,1.5,100,101,5,YEP
5G-NSA-Low-Band,T-Mobile,1.6,320,319,5,YEP
5G-NSA-Low-Band,T-Mobile,1.7,210,210,5,YEP
5G-NSA-Low-Band,T-Mobile,1.8,119,120,5,YEP
5G-NSA-Low-Band,T-Mobile,1.9,341,340,5,YEP
5G-NSA-Low-Band,T-Mobile,2,240,240,5,YEP
5G-NSA-Low-Band,T-Mobile,2.1,150,151,5,YEP
5G-NSA-Low-Band,T-Mobile,2.2,364,363,5,BAD
5G-NSA-Low-Band,T-Mobile,2.3,255,256,5,YEP
5G-NSA-Low-Band,T-Mobile,2.4,167,166,5,YEP
5G-NSA-Low-Band,T-Mobile,2.5,374,374,5,YEP
5G-NSA-Low-Band,T-Mobile,2.6,279,279,5,YEP
5G-NSA-Low-Band,T-Mobile,2.7,180,179,5,BAD
5G-NSA-Low-Band,T-Mobile,2.8,80,79,5,YEP
5G-NSA-Low-Band,T-Mobile,2.9,300,301,5,YEP
5G-NSA-Low-Band,T-Mobile,3,201,201,5,YEP
5G-NSA-Low-Band,T-Mobile,3.1,89,89,5,YEP
5G-NSA-Low-Band,T-Mobile,3.2,329,330,5,YEP
5G-NSA-Low-Band,T-Mobile,3.3,210,209,5,YEP
5G-NSA-Low-Band,T-Mobile,3.4,130,129,5,YEP
5G-NSA-Low-Band,T-Mobile,3.5,340,340,5,YEP
5G-NSA-Low-Band,T-Mobile,3.6,241,240,5,YEP
