enabled_radio_type,carrier,interval,timestamp,RTT1,RTT2,active_radio_type,KeepOrDrop
5G-NSA-Low-Band,T-Mobile,0,1621907945176,69,70,5,YEP
5G-NSA-Low-Band,T-Mobile,0.1,1621907945346,101,101,5,YEP
5G-NSA-Low-Band,T-Mobile,0.2,1621907945647,173,174,5,YEP
5G-NSA-Low-Band,T-Mobile,0.3,1621907946121,56,56,5,YEP
5G-NSA-Low-Band,T-Mobile,0.4,1621907946577,268,269,5,YEP
5G-NSA-Low-Band,T-Mobile,0.5,1621907947346,128,128,5,YEP
5G-NSA-Low-Band,T-Mobile,0.6,1621907948074,371,372,5,YEP
5G-NSA-Low-Band,T-Mobile,0.7,1621907949146,269,270,5,YEP
5G-NSA-Low-Band,T-Mobile,0.8,1621907950216,150,149,5,BAD
5G-NSA-Low-Band,T-Mobile,0.9,1621907951266,382,381,5,BAD
5G-NSA-Low-Band,T-Mobile,1,1621907952648,278,277,5,YEP
5G-NSA-Low-Band,T-Mobile,1.1,1621907954025,181,181,5,YEP
5G-NSA-Low-Band,T-Mobile,1.2,1621907955407,79,79,5,YEP
5G-NSA-Low-Band,T-Mobile,1.3,1621907956786,90,90,5,BAD
5G-NSA-Low-Band,T-Mobile,1.4,1621907958277,99,98,5,YEP
5G-NSA-Low-Band,T-Mobile,1.5,1621907959875,100,101,5,YEP
5G-NSA-Low-Band,T-Mobile,1.6,1621907961576,320,319,5,YEP
5G-NSA-Low-Band,T-Mobile,1.7,1621907963596,210,210,5,YEP
5G-NSA-Low-Band,T-Mobile,1.8,1621907965606,119,120,5,YEP
5G-NSA-Low-Band,T-Mobile,1.9,1621907967626,341,340,5,YEP
5G-NSA-Low-Band,T-Mobile,2,1621907969966,240,240,5,YEP
5G-NSA-Low-Band,T-Mobile,2.1,1621907972306,150,151,5,YEP
5G-NSA-Low-Band,T-Mobile,2.2,1621907974657,364,363,5,BAD
5G-NSA-Low-Band,T-Mobile,2.3,1621907977320,255,256,5,YEP
5G-NSA-Low-Band,T-Mobile,2.4,1621907979976,167,166,5,YEP
5G-NSA-Low-Band,T-Mobile,2.5,1621907982642,374,374,5,YEP
5G-NSA-Low-Band,T-Mobile,2.6,1621907985617,279,279,5,YEP
5G-NSA-Low-Band,T-Mobile,2.7,1621907988596,180,179,5,BAD
5G-NSA-Low-Band,T-Mobile,2.8,1621907991576,80,79,5,YEP
5G-NSA-Low-Band,T-Mobile,2.9,1621907994555,300,301,5,YEP
5G-NSA-Low-Band,T-Mobile,3,1621907997856,201,201,5,YEP
5G-NSA-Low-Band,T-Mobile,3.1,1621908001157,89,89,5,YEP
5G-NSA-Low-Band,T-Mobile,3.2,1621908004446,329,330,5,YEP
5G-NSA-Low-Band,T-Mobile,3.3,1621908008076,210,209,5,YEP
5G-NSA-Low-Band,T-Mobile,3.4,1621908011686,130,129,5,YEP
5G-NSA-Low-Band,T-Mobile,3.5,1621908015316,340,340,5,YEP
5G-NSA-Low-Band,T-Mobile,3.6,1621908019256,241,240,5,YEP
5G-NSA-Low-Band,T-Mobile,3.7,1621908023196,139,140,5,YEP
5G-NSA-Low-Band,T-Mobile,3.8,1621908027136,360,360,5,YEP
5G-NSA-Low-Band,T-Mobile,3.9,1621908031397,262,261,5,YEP
5G-NSA-Low-Band,T-Mobile,4,1621908035659,157,157,5,BAD
5G-NSA-Low-Band,T-Mobile,4.1,1621908039916,370,370,5,YEP
5G-NSA-Low-Band,T-Mobile,4.2,1621908044487,290,290,5,YEP
5G-NSA-Low-Band,T-Mobile,4.3,1621908049077,168,169,5,YEP
5G-NSA-Low-Band,T-Mobile,4.4,1621908053646,79,80,5,YEP
5G-NSA-Low-Band,T-Mobile,4.5,1621908058226,327,327,5,YEP
5G-NSA-Low-Band,T-Mobile,4.6,1621908063153,182,183,5,YEP
5G-NSA-Low-Band,T-Mobile,4.7,1621908068036,99,99,5,YEP
