enabled_radio_type,carrier,interval,timestamp,RTT1,RTT2,active_radio_type,KeepOrDrop
5G-NSA-Low-Band,Verizon,0,1621928012826,54,53,5,YEP
5G-NSA-Low-Band,Verizon,0.1,1621928012979,76,77,5,BAD
5G-NSA-Low-Band,Verizon,0.2,1621928013256,77,77,5,BAD
5G-NSA-Low-Band,Verizon,0.3,1621928013634,180,179,5,YEP
5G-NSA-Low-Band,Verizon,0.4,1621928014214,239,239,5,YEP
5G-NSA-Low-Band,Verizon,0.5,1621928014953,116,115,5,YEP
5G-NSA-Low-Band,Verizon,0.6,1621928015668,384,384,5,YEP
5G-NSA-Low-Band,Verizon,0.7,1621928016753,264,263,5,YEP
5G-NSA-Low-Band,Verizon,0.8,1621928017817,156,155,5,YEP
5G-NSA-Low-Band,Verizon,0.9,1621928018873,379,379,5,YEP
5G-NSA-Low-Band,Verizon,1,1621928020252,276,276,5,YEP
5G-NSA-Low-Band,Verizon,1.1,1621928021629,156,155,5,BAD
5G-NSA-Low-Band,Verizon,1.2,1621928022985,84,83,5,BAD
5G-NSA-Low-Band,Verizon,1.3,1621928024369,330,329,5,BAD
5G-NSA-Low-Band,Verizon,1.4,1621928026099,186,185,5,YEP
5G-NSA-Low-Band,Verizon,1.5,1621928027785,76,75,5,BAD
5G-NSA-Low-Band,Verizon,1.6,1621928029461,340,339,5,YEP
5G-NSA-Low-Band,Verizon,1.7,1621928031501,235,235,5,YEP
5G-NSA-Low-Band,Verizon,1.8,1621928033536,124,124,5,YEP
5G-NSA-Low-Band,Verizon,1.9,1621928035561,323,323,5,YEP
5G-NSA-Low-Band,Verizon,2,1621928037884,240,240,5,YEP
5G-NSA-Low-Band,Verizon,2.1,1621928040225,152,152,5,YEP
5G-NSA-Low-Band,Verizon,2.2,1621928042577,364,363,5,YEP
5G-NSA-Low-Band,Verizon,2.3,1621928045241,256,256,5,YEP
5G-NSA-Low-Band,Verizon,2.4,1621928047897,143,143,5,YEP
5G-NSA-Low-Band,Verizon,2.5,1621928050540,390,390,5,BAD
5G-NSA-Low-Band,Verizon,2.6,1621928053530,286,286,5,BAD
5G-NSA-Low-Band,Verizon,2.7,1621928056516,75,76,5,YEP
5G-NSA-Low-Band,Verizon,2.8,1621928059392,181,181,5,YEP
5G-NSA-Low-Band,Verizon,2.9,1621928062473,303,303,5,YEP
5G-NSA-Low-Band,Verizon,3,1621928065776,200,200,5,YEP
5G-NSA-Low-Band,Verizon,3.1,1621928069076,100,100,5,BAD
5G-NSA-Low-Band,Verizon,3.2,1621928072376,320,320,5,YEP
5G-NSA-Low-Band,Verizon,3.3,1621928075996,230,230,5,YEP
5G-NSA-Low-Band,Verizon,3.4,1621928079626,110,110,5,YEP
5G-NSA-Low-Band,Verizon,3.5,1621928083236,346,346,5,YEP
5G-NSA-Low-Band,Verizon,3.6,1621928087182,247,247,5,YEP
5G-NSA-Low-Band,Verizon,3.7,1621928091129,123,123,5,YEP
5G-NSA-Low-Band,Verizon,3.8,1621928095052,96,96,5,YEP
