enabled_radio_type,carrier,interval,timestamp,RTT1,RTT2,active_radio_type,KeepOrDrop
4G-LTE,Verizon,0,1621804375752,70,70,4,YEP
4G-LTE,Verizon,0.1,1621804375922,79,79,4,YEP
4G-LTE,Verizon,0.2,1621804376201,94,94,4,YEP
4G-LTE,Verizon,0.3,1621804376596,76,75,4,YEP
4G-LTE,Verizon,0.4,1621804377071,370,371,4,YEP
4G-LTE,Verizon,0.5,1621804377942,159,160,4,YEP
4G-LTE,Verizon,0.6,1621804378702,320,320,4,YEP
4G-LTE,Verizon,0.7,1621804379722,285,284,4,YEP
4G-LTE,Verizon,0.8,1621804380806,145,145,4,YEP
4G-LTE,Verizon,0.9,1621804381851,392,392,4,YEP
4G-LTE,Verizon,1,1621804383243,268,268,4,YEP
4G-LTE,Verizon,1.1,1621804384612,180,179,4,YEP
4G-LTE,Verizon,1.2,1621804385991,90,91,4,YEP
4G-LTE,Verizon,1.3,1621804387382,290,289,4,YEP
4G-LTE,Verizon,1.4,1621804389072,200,199,4,BAD
4G-LTE,Verizon,1.5,1621804390771,100,101,4,YEP
4G-LTE,Verizon,1.6,1621804392472,341,340,4,YEP
4G-LTE,Verizon,1.7,1621804394513,209,209,4,BAD
4G-LTE,Verizon,1.8,1621804396522,120,120,4,YEP
4G-LTE,Verizon,1.9,1621804398542,340,339,4,YEP
4G-LTE,Verizon,2,1621804400881,60,61,4,YEP
4G-LTE,Verizon,2.1,1621804403042,320,320,4,YEP
4G-LTE,Verizon,2.2,1621804405562,100,99,4,YEP
4G-LTE,Verizon,2.3,1621804407962,200,199,4,YEP
4G-LTE,Verizon,2.4,1621804410561,149,150,4,YEP
4G-LTE,Verizon,2.5,1621804413211,380,380,4,YEP
4G-LTE,Verizon,2.6,1621804416191,80,80,4,YEP
4G-LTE,Verizon,2.7,1621804418971,380,380,4,YEP
4G-LTE,Verizon,2.8,1621804422151,90,90,4,YEP
4G-LTE,Verizon,2.9,1621804425141,290,290,4,YEP
4G-LTE,Verizon,3,1621804428431,210,210,4,YEP
4G-LTE,Verizon,3.1,1621804431741,100,100,4,YEP
4G-LTE,Verizon,3.2,1621804435041,80,80,4,YEP
4G-LTE,Verizon,3.3,1621804438421,140,140,4,YEP
4G-LTE,Verizon,3.4,1621804441961,99,100,4,YEP
4G-LTE,Verizon,3.5,1621804445561,360,360,4,YEP
4G-LTE,Verizon,3.6,1621804449521,240,240,4,YEP
4G-LTE,Verizon,3.7,1621804453461,130,130,4,YEP
4G-LTE,Verizon,3.8,1621804457391,370,370,4,YEP
4G-LTE,Verizon,3.9,1621804461661,80,80,4,YEP
4G-LTE,Verizon,4,1621804465741,340,340,4,YEP
4G-LTE,Verizon,4.1,1621804470181,380,380,4,YEP
4G-LTE,Verizon,4.2,1621804474761,280,280,4,YEP
4G-LTE,Verizon,4.3,1621804479341,180,180,4,YEP
4G-LTE,Verizon,4.4,1621804483921,80,80,4,YEP
4G-LTE,Verizon,4.5,1621804488501,290,290,4,YEP
4G-LTE,Verizon,4.6,1621804493391,80,80,4,YEP
4G-LTE,Verizon,4.7,1621804498171,90,90,4,YEP
4G-LTE,Verizon,4.8,1621804503061,130,130,4,YEP
4G-LTE,Verizon,4.9,1621804508091,230,230,4,YEP
4G-LTE,Verizon,5,1621804513321,120,120,4,YEP
4G-LTE,Verizon,5.1,1621804518541,71,71,4,YEP
4G-LTE,Verizon,5.2,1621804523812,89,89,4,YEP
4G-LTE,Verizon,5.3,1621804529201,80,80,4,YEP
4G-LTE,Verizon,5.4,1621804534681,200,200,4,YEP
4G-LTE,Verizon,5.5,1621804540381,251,251,4,YEP
4G-LTE,Verizon,5.6,1621804546232,169,169,4,YEP
4G-LTE,Verizon,5.7,1621804552101,360,360,4,BAD
4G-LTE,Verizon,5.8,1621804558261,300,300,4,YEP
4G-LTE,Verizon,5.9,1621804564461,180,180,4,YEP
4G-LTE,Verizon,6,1621804570641,100,100,4,YEP
4G-LTE,Verizon,6.1,1621804576841,280,280,4,YEP
4G-LTE,Verizon,6.2,1621804583321,199,200,4,YEP
4G-LTE,Verizon,6.3,1621804589821,90,90,4,YEP
4G-LTE,Verizon,6.4,1621804596311,330,330,4,YEP
4G-LTE,Verizon,6.5,1621804603141,220,220,4,YEP
4G-LTE,Verizon,6.6,1621804609961,110,110,4,YEP
4G-LTE,Verizon,6.7,1621804616771,350,350,4,YEP
4G-LTE,Verizon,6.8,1621804623921,240,240,4,YEP
4G-LTE,Verizon,6.9,1621804631061,120,120,4,YEP
4G-LTE,Verizon,7,1621804638181,380,380,4,YEP
4G-LTE,Verizon,7.1,1621804645661,260,260,4,YEP
4G-LTE,Verizon,7.2,1621804653121,150,150,4,YEP
4G-LTE,Verizon,7.3,1621804660571,380,380,4,YEP
4G-LTE,Verizon,7.4,1621804668351,280,280,4,YEP
4G-LTE,Verizon,7.5,1621804676131,110,110,4,YEP
4G-LTE,Verizon,7.6,1621804683841,150,150,4,YEP
4G-LTE,Verizon,7.7,1621804691691,310,310,4,YEP
4G-LTE,Verizon,7.8,1621804699801,200,200,4,YEP
4G-LTE,Verizon,7.9,1621804707901,90,90,4,YEP
4G-LTE,Verizon,8,1621804715991,319,320,4,YEP
4G-LTE,Verizon,8.1,1621804724411,230,230,4,YEP
4G-LTE,Verizon,8.2,1621804732841,120,120,4,YEP
4G-LTE,Verizon,8.3,1621804741261,80,80,4,YEP
4G-LTE,Verizon,8.4,1621804749741,180,180,4,YEP
4G-LTE,Verizon,8.5,1621804758421,140,140,4,YEP
4G-LTE,Verizon,8.6,1621804767161,350,350,4,YEP
4G-LTE,Verizon,8.7,1621804776211,264,263,4,YEP
4G-LTE,Verizon,8.8,1621804785275,76,76,4,YEP
4G-LTE,Verizon,8.9,1621804794251,110,110,4,YEP
4G-LTE,Verizon,9,1621804803361,313,313,4,YEP
4G-LTE,Verizon,9.1,1621804812774,187,187,4,YEP
4G-LTE,Verizon,9.2,1621804822161,80,80,4,YEP
4G-LTE,Verizon,9.3,1621804831541,80,80,4,YEP
4G-LTE,Verizon,9.4,1621804841021,98,98,4,YEP
4G-LTE,Verizon,9.5,1621804850619,92,92,4,YEP
4G-LTE,Verizon,9.6,1621804860311,330,329,4,YEP
4G-LTE,Verizon,9.7,1621804870341,220,220,4,YEP
4G-LTE,Verizon,9.8,1621804880361,110,110,4,YEP
4G-LTE,Verizon,9.9,1621804890371,511,510,4,YEP
4G-LTE,Verizon,10,1621804900882,596,595,4,YEP
4G-LTE,Verizon,10.1,1621804911578,92,92,4,YEP
4G-LTE,Verizon,10.2,1621804921870,1122,1121,4,YEP
4G-LTE,Verizon,10.3,1621804933291,1207,1207,4,YEP
4G-LTE,Verizon,10.4,1621804944898,1106,1106,4,YEP
4G-LTE,Verizon,10.5,1621804956505,1027,1026,4,YEP
4G-LTE,Verizon,10.6,1621804968132,926,925,4,YEP
4G-LTE,Verizon,10.7,1621804979757,823,823,4,YEP
