enabled_radio_type,carrier,interval,RTT1,RTT2,active_radio_type,KeepOrDrop
4G-LTE,Verizon,0,52,51,4,YEP
4G-LTE,Verizon,0.1,88,89,4,YEP
4G-LTE,Verizon,0.2,90,90,4,YEP
4G-LTE,Verizon,0.3,101,100,4,YEP
4G-LTE,Verizon,0.4,312,312,4,YEP
4G-LTE,Verizon,0.5,132,132,4,YEP
4G-LTE,Verizon,0.6,352,351,4,YEP
4G-LTE,Verizon,0.7,281,281,4,YEP
4G-LTE,Verizon,0.8,122,122,4,YEP
4G-LTE,Verizon,0.9,370,370,4,YEP
4G-LTE,Verizon,1,290,290,4,YEP
4G-LTE,Verizon,1.1,210,210,4,YEP
4G-LTE,Verizon,1.2,389,388,4,YEP
4G-LTE,Verizon,1.3,281,281,4,YEP
4G-LTE,Verizon,1.4,200,200,4,YEP
4G-LTE,Verizon,1.5,100,99,4,YEP
4G-LTE,Verizon,1.6,339,339,4,YEP
4G-LTE,Verizon,1.7,200,201,4,YEP
4G-LTE,Verizon,1.8,146,145,4,YEP
4G-LTE,Verizon,1.9,331,331,4,YEP
4G-LTE,Verizon,2,240,241,4,YEP
4G-LTE,Verizon,2.1,123,123,4,YEP
4G-LTE,Verizon,2.2,337,337,4,YEP
4G-LTE,Verizon,2.3,322,321,4,YEP
4G-LTE,Verizon,2.4,137,137,4,BAD
4G-LTE,Verizon,2.5,362,363,4,YEP
4G-LTE,Verizon,2.6,279,280,4,YEP
4G-LTE,Verizon,2.7,179,180,4,YEP
4G-LTE,Verizon,2.8,69,70,4,YEP
4G-LTE,Verizon,2.9,326,327,4,YEP
4G-LTE,Verizon,3,199,200,4,YEP
4G-LTE,Verizon,3.1,99,100,4,YEP
4G-LTE,Verizon,3.2,319,320,4,YEP
4G-LTE,Verizon,3.3,220,220,4,YEP
4G-LTE,Verizon,3.4,119,120,4,YEP
4G-LTE,Verizon,3.5,323,323,4,YEP
4G-LTE,Verizon,3.6,257,257,4,BAD
4G-LTE,Verizon,3.7,113,113,4,YEP
4G-LTE,Verizon,3.8,90,90,4,YEP
4G-LTE,Verizon,3.9,90,90,4,YEP
4G-LTE,Verizon,4,75,75,4,BAD
4G-LTE,Verizon,4.1,274,275,4,YEP
4G-LTE,Verizon,4.2,280,280,4,YEP
4G-LTE,Verizon,4.3,197,197,4,YEP
4G-LTE,Verizon,4.4,383,383,4,YEP
4G-LTE,Verizon,4.5,290,290,4,YEP
4G-LTE,Verizon,4.6,234,233,4,YEP
4G-LTE,Verizon,4.7,66,66,4,YEP
4G-LTE,Verizon,4.8,347,347,4,YEP
4G-LTE,Verizon,4.9,220,220,4,YEP
4G-LTE,Verizon,5,103,103,4,YEP
4G-LTE,Verizon,5.1,340,339,4,YEP
4G-LTE,Verizon,5.2,240,240,4,YEP
4G-LTE,Verizon,5.3,90,90,4,BAD
4G-LTE,Verizon,5.4,90,91,4,BAD
4G-LTE,Verizon,5.5,260,259,4,YEP
4G-LTE,Verizon,5.6,160,160,4,YEP
4G-LTE,Verizon,5.7,380,380,4,YEP
4G-LTE,Verizon,5.8,280,280,4,YEP
4G-LTE,Verizon,5.9,170,169,4,YEP
4G-LTE,Verizon,6,90,89,4,YEP
4G-LTE,Verizon,6.1,300,299,4,YEP
4G-LTE,Verizon,6.2,200,199,4,YEP
4G-LTE,Verizon,6.3,100,99,4,YEP
4G-LTE,Verizon,6.4,320,319,4,YEP
4G-LTE,Verizon,6.5,220,219,4,YEP
4G-LTE,Verizon,6.6,120,119,4,YEP
4G-LTE,Verizon,6.7,330,329,4,YEP
4G-LTE,Verizon,6.8,274,274,4,YEP
4G-LTE,Verizon,6.9,116,116,4,YEP
4G-LTE,Verizon,7,350,349,4,YEP
4G-LTE,Verizon,7.1,270,269,4,YEP
4G-LTE,Verizon,7.2,160,160,4,YEP
4G-LTE,Verizon,7.3,380,380,4,YEP
4G-LTE,Verizon,7.4,280,279,4,YEP
4G-LTE,Verizon,7.5,170,169,4,YEP
4G-LTE,Verizon,7.6,90,90,4,YEP
4G-LTE,Verizon,7.7,77,77,4,YEP
4G-LTE,Verizon,7.8,103,103,4,YEP
4G-LTE,Verizon,7.9,117,117,4,YEP
4G-LTE,Verizon,8,327,327,4,YEP
4G-LTE,Verizon,8.1,212,213,4,YEP
4G-LTE,Verizon,8.2,103,103,4,YEP
4G-LTE,Verizon,8.3,340,340,4,YEP
4G-LTE,Verizon,8.4,257,257,4,YEP
4G-LTE,Verizon,8.5,124,124,4,YEP
4G-LTE,Verizon,8.6,358,358,4,YEP
4G-LTE,Verizon,8.7,259,260,4,YEP
4G-LTE,Verizon,8.8,159,160,4,YEP
4G-LTE,Verizon,8.9,379,380,4,YEP
4G-LTE,Verizon,9,269,270,4,YEP
4G-LTE,Verizon,9.1,189,190,4,YEP
4G-LTE,Verizon,9.2,80,80,4,YEP
4G-LTE,Verizon,9.3,317,317,4,YEP
4G-LTE,Verizon,9.4,183,183,4,YEP
