enabled_radio_type,carrier,interval,timestamp,RTT1,RTT2,active_radio_type,KeepOrDrop
5G-SA-Low-Band,T-Mobile,1,1606649320876,113,113,6,YEP
5G-SA-Low-Band,T-Mobile,1.1,1606649322089,103,103,6,YEP
5G-SA-Low-Band,T-Mobile,1.2,1606649323392,80,80,6,YEP
5G-SA-Low-Band,T-Mobile,1.3,1606649324772,100,100,6,YEP
5G-SA-Low-Band,T-Mobile,1.4,1606649326272,120,120,6,YEP
5G-SA-Low-Band,T-Mobile,1.5,1606649327892,100,100,6,YEP
5G-SA-Low-Band,T-Mobile,1.6,1606649329592,80,80,6,YEP
5G-SA-Low-Band,T-Mobile,1.7,1606649331372,100,100,6,YEP
5G-SA-Low-Band,T-Mobile,1.8,1606649333272,80,80,6,BAD
5G-SA-Low-Band,T-Mobile,1.9,1606649335252,100,100,6,BAD
5G-SA-Low-Band,T-Mobile,2,1606649337352,80,80,6,BAD
5G-SA-Low-Band,T-Mobile,2.1,1606649339532,100,100,6,YEP
5G-SA-Low-Band,T-Mobile,2.2,1606649341832,80,80,6,YEP
5G-SA-Low-Band,T-Mobile,2.3,1606649344212,100,100,6,YEP
5G-SA-Low-Band,T-Mobile,2.4,1606649346712,80,80,6,YEP
5G-SA-Low-Band,T-Mobile,2.5,1606649349292,100,100,6,YEP
5G-SA-Low-Band,T-Mobile,2.6,1606649351992,120,120,6,YEP
5G-SA-Low-Band,T-Mobile,2.7,1606649354812,140,140,6,YEP
5G-SA-Low-Band,T-Mobile,2.8,1606649357752,120,120,6,YEP
5G-SA-Low-Band,T-Mobile,2.9,1606649360772,100,100,6,YEP
5G-SA-Low-Band,T-Mobile,3,1606649363872,80,80,6,YEP
5G-SA-Low-Band,T-Mobile,3.1,1606649367052,100,100,6,YEP
5G-SA-Low-Band,T-Mobile,3.2,1606649370352,60,60,6,BAD
5G-SA-Low-Band,T-Mobile,3.3,1606649373712,64,64,6,BAD
5G-SA-Low-Band,T-Mobile,3.4,1606649377176,96,96,6,BAD
5G-SA-Low-Band,T-Mobile,3.5,1606649380772,100,100,6,YEP
5G-SA-Low-Band,T-Mobile,3.6,1606649384472,80,80,6,YEP
5G-SA-Low-Band,T-Mobile,3.7,1606649388252,100,100,6,YEP
5G-SA-Low-Band,T-Mobile,3.8,1606649392152,120,120,6,YEP
5G-SA-Low-Band,T-Mobile,3.9,1606649396172,100,100,6,YEP
5G-SA-Low-Band,T-Mobile,4,1606649400272,80,80,6,YEP
5G-SA-Low-Band,T-Mobile,4.1,1606649404452,100,100,6,YEP
5G-SA-Low-Band,T-Mobile,4.2,1606649408752,80,80,6,YEP
5G-SA-Low-Band,T-Mobile,4.3,1606649413132,100,100,6,YEP
5G-SA-Low-Band,T-Mobile,4.4,1606649417632,80,80,6,YEP
5G-SA-Low-Band,T-Mobile,4.5,1606649422212,100,100,6,YEP
5G-SA-Low-Band,T-Mobile,4.6,1606649426912,80,80,6,YEP
5G-SA-Low-Band,T-Mobile,4.7,1606649431692,99,100,6,YEP
5G-SA-Low-Band,T-Mobile,4.8,1606649436592,80,80,6,YEP
5G-SA-Low-Band,T-Mobile,4.9,1606649441572,140,140,6,YEP
5G-SA-Low-Band,T-Mobile,5,1606649446712,80,80,6,YEP
5G-SA-Low-Band,T-Mobile,5.1,1606649451892,100,100,6,YEP
5G-SA-Low-Band,T-Mobile,5.2,1606649457192,79,80,6,YEP
5G-SA-Low-Band,T-Mobile,5.3,1606649462572,97,97,6,YEP
5G-SA-Low-Band,T-Mobile,5.4,1606649468069,83,83,6,YEP
5G-SA-Low-Band,T-Mobile,5.5,1606649473652,100,100,6,YEP
5G-SA-Low-Band,T-Mobile,5.6,1606649479352,120,120,6,YEP
5G-SA-Low-Band,T-Mobile,5.7,1606649485172,100,100,6,YEP
5G-SA-Low-Band,T-Mobile,5.8,1606649491072,120,120,6,YEP
5G-SA-Low-Band,T-Mobile,5.9,1606649497092,100,100,6,YEP
5G-SA-Low-Band,T-Mobile,6,1606649503192,80,80,6,YEP
5G-SA-Low-Band,T-Mobile,6.1,1606649509372,100,100,6,YEP
5G-SA-Low-Band,T-Mobile,6.2,1606649515672,80,80,6,YEP
5G-SA-Low-Band,T-Mobile,6.3,1606649522052,100,100,6,YEP
5G-SA-Low-Band,T-Mobile,6.4,1606649528552,121,122,6,YEP
5G-SA-Low-Band,T-Mobile,6.5,1606649535174,100,100,6,YEP
5G-SA-Low-Band,T-Mobile,6.6,1606649541874,119,120,6,YEP
5G-SA-Low-Band,T-Mobile,6.7,1606649548694,99,100,6,YEP
5G-SA-Low-Band,T-Mobile,6.8,1606649555594,80,80,6,YEP
5G-SA-Low-Band,T-Mobile,6.9,1606649562574,100,100,6,YEP
5G-SA-Low-Band,T-Mobile,7,1606649569674,79,80,6,YEP
5G-SA-Low-Band,T-Mobile,7.1,1606649576854,99,100,6,YEP
5G-SA-Low-Band,T-Mobile,7.2,1606649584154,120,120,6,YEP
5G-SA-Low-Band,T-Mobile,7.3,1606649591574,139,140,6,YEP
5G-SA-Low-Band,T-Mobile,7.4,1606649599114,79,80,6,YEP
5G-SA-Low-Band,T-Mobile,7.5,1606649606694,99,100,6,YEP
5G-SA-Low-Band,T-Mobile,7.6,1606649614394,120,120,6,YEP
5G-SA-Low-Band,T-Mobile,7.7,1606649622214,140,140,6,YEP
5G-SA-Low-Band,T-Mobile,7.8,1606649630154,119,120,6,YEP
5G-SA-Low-Band,T-Mobile,7.9,1606649638174,99,100,6,YEP
5G-SA-Low-Band,T-Mobile,8,1606649646274,81,82,6,YEP
5G-SA-Low-Band,T-Mobile,8.1,1606649654456,98,98,6,YEP
5G-SA-Low-Band,T-Mobile,8.2,1606649662754,120,120,6,YEP
5G-SA-Low-Band,T-Mobile,8.3,1606649671174,99,100,6,YEP
5G-SA-Low-Band,T-Mobile,8.4,1606649679674,119,120,6,YEP
5G-SA-Low-Band,T-Mobile,8.5,1606649688294,100,100,6,YEP
5G-SA-Low-Band,T-Mobile,8.6,1606649696994,80,80,6,YEP
5G-SA-Low-Band,T-Mobile,8.7,1606649705774,99,100,6,YEP
5G-SA-Low-Band,T-Mobile,8.8,1606649714674,80,80,6,YEP
5G-SA-Low-Band,T-Mobile,8.9,1606649723654,100,100,6,YEP
5G-SA-Low-Band,T-Mobile,9,1606649732754,119,120,6,YEP
5G-SA-Low-Band,T-Mobile,9.1,1606649741974,100,100,6,YEP
5G-SA-Low-Band,T-Mobile,9.2,1606649751274,79,80,6,YEP
5G-SA-Low-Band,T-Mobile,9.3,1606649760654,99,100,6,YEP
5G-SA-Low-Band,T-Mobile,9.4,1606649770154,78,78,6,YEP
5G-SA-Low-Band,T-Mobile,9.5,1606649779732,145,145,6,YEP
5G-SA-Low-Band,T-Mobile,9.6,1606649789477,117,117,6,YEP
5G-SA-Low-Band,T-Mobile,9.7,1606649799294,140,140,6,YEP
5G-SA-Low-Band,T-Mobile,9.8,1606649809234,120,120,6,YEP
5G-SA-Low-Band,T-Mobile,9.9,1606649819254,108,109,6,YEP
