enabled_radio_type,carrier,interval,RTT1,RTT2,active_radio_type,KeepOrDrop
5G-NSA-Low-Band,Verizon,0,49,49,5,YEP
5G-NSA-Low-Band,Verizon,0.1,80,80,5,YEP
5G-NSA-Low-Band,Verizon,0.2,50,50,5,YEP
5G-NSA-Low-Band,Verizon,0.3,79,80,5,YEP
5G-NSA-Low-Band,Verizon,0.4,201,201,5,YEP
5G-NSA-Low-Band,Verizon,0.5,140,139,5,YEP
5G-NSA-Low-Band,Verizon,0.6,360,360,5,YEP
5G-NSA-Low-Band,Verizon,0.7,250,250,5,YEP
5G-NSA-Low-Band,Verizon,0.8,70,69,5,BAD
5G-NSA-Low-Band,Verizon,0.9,80,80,5,BAD
5G-NSA-Low-Band,Verizon,1,360,360,5,YEP
5G-NSA-Low-Band,Verizon,1.1,187,186,5,YEP
5G-NSA-Low-Band,Verizon,1.2,71,72,5,YEP
5G-NSA-Low-Band,Verizon,1.3,300,300,5,BAD
5G-NSA-Low-Band,Verizon,1.4,180,181,5,YEP
5G-NSA-Low-Band,Verizon,1.5,120,119,5,YEP
5G-NSA-Low-Band,Verizon,1.6,320,320,5,BAD
5G-NSA-Low-Band,Verizon,1.7,220,219,5,BAD
5G-NSA-Low-Band,Verizon,1.8,51,51,5,BAD
5G-NSA-Low-Band,Verizon,1.9,59,59,5,BAD
5G-NSA-Low-Band,Verizon,2,49,50,5,BAD
5G-NSA-Low-Band,Verizon,2.1,330,330,5,BAD
5G-NSA-Low-Band,Verizon,2.2,70,69,5,BAD
5G-NSA-Low-Band,Verizon,2.3,260,261,5,YEP
5G-NSA-Low-Band,Verizon,2.4,159,158,5,BAD
5G-NSA-Low-Band,Verizon,2.5,90,89,5,YEP
5G-NSA-Low-Band,Verizon,2.6,275,275,5,BAD
5G-NSA-Low-Band,Verizon,2.7,164,164,5,YEP
5G-NSA-Low-Band,Verizon,2.8,88,88,5,BAD
5G-NSA-Low-Band,Verizon,2.9,291,291,5,YEP
5G-NSA-Low-Band,Verizon,3,51,51,5,BAD
5G-NSA-Low-Band,Verizon,3.1,230,231,5,BAD
5G-NSA-Low-Band,Verizon,3.2,338,338,5,YEP
5G-NSA-Low-Band,Verizon,3.3,222,222,5,YEP
5G-NSA-Low-Band,Verizon,3.4,117,118,5,YEP
5G-NSA-Low-Band,Verizon,3.5,339,339,5,YEP
5G-NSA-Low-Band,Verizon,3.6,243,243,5,YEP
5G-NSA-Low-Band,Verizon,3.7,130,131,5,YEP
5G-NSA-Low-Band,Verizon,3.8,369,369,5,YEP
5G-NSA-Low-Band,Verizon,3.9,257,258,5,YEP
5G-NSA-Low-Band,Verizon,4,158,159,5,YEP
5G-NSA-Low-Band,Verizon,4.1,360,360,5,YEP
5G-NSA-Low-Band,Verizon,4.2,301,301,5,YEP
5G-NSA-Low-Band,Verizon,4.3,178,179,5,YEP
5G-NSA-Low-Band,Verizon,4.4,80,80,5,YEP
5G-NSA-Low-Band,Verizon,4.5,305,306,5,YEP
5G-NSA-Low-Band,Verizon,4.6,181,182,5,YEP
5G-NSA-Low-Band,Verizon,4.7,112,113,5,YEP
5G-NSA-Low-Band,Verizon,4.8,318,319,5,YEP
5G-NSA-Low-Band,Verizon,4.9,203,204,5,YEP
5G-NSA-Low-Band,Verizon,5,135,136,5,BAD
5G-NSA-Low-Band,Verizon,5.1,340,341,5,YEP
5G-NSA-Low-Band,Verizon,5.2,221,222,5,YEP
5G-NSA-Low-Band,Verizon,5.3,147,148,5,YEP
5G-NSA-Low-Band,Verizon,5.4,408,409,5,YEP
5G-NSA-Low-Band,Verizon,5.5,219,220,5,YEP
5G-NSA-Low-Band,Verizon,5.6,159,160,5,YEP
5G-NSA-Low-Band,Verizon,5.7,380,380,5,YEP
5G-NSA-Low-Band,Verizon,5.8,260,260,5,BAD
5G-NSA-Low-Band,Verizon,5.9,181,181,5,YEP
5G-NSA-Low-Band,Verizon,6,100,100,5,YEP
5G-NSA-Low-Band,Verizon,6.1,307,307,5,BAD
5G-NSA-Low-Band,Verizon,6.2,193,193,5,YEP
5G-NSA-Low-Band,Verizon,6.3,99,99,5,YEP
5G-NSA-Low-Band,Verizon,6.4,300,301,5,YEP
5G-NSA-Low-Band,Verizon,6.5,242,242,5,YEP
5G-NSA-Low-Band,Verizon,6.6,125,125,5,YEP
5G-NSA-Low-Band,Verizon,6.7,338,338,5,YEP
5G-NSA-Low-Band,Verizon,6.8,234,234,5,YEP
5G-NSA-Low-Band,Verizon,6.9,140,140,5,YEP
5G-NSA-Low-Band,Verizon,7,360,360,5,YEP
5G-NSA-Low-Band,Verizon,7.1,261,261,5,YEP
5G-NSA-Low-Band,Verizon,7.2,158,159,5,YEP
5G-NSA-Low-Band,Verizon,7.3,381,381,5,YEP
5G-NSA-Low-Band,Verizon,7.4,267,267,5,YEP
5G-NSA-Low-Band,Verizon,7.5,192,192,5,YEP
5G-NSA-Low-Band,Verizon,7.6,92,92,5,YEP
5G-NSA-Low-Band,Verizon,7.7,99,99,5,YEP
5G-NSA-Low-Band,Verizon,7.8,95,95,5,YEP
5G-NSA-Low-Band,Verizon,7.9,83,82,5,YEP
5G-NSA-Low-Band,Verizon,8,312,312,5,YEP
5G-NSA-Low-Band,Verizon,8.1,236,236,5,YEP
5G-NSA-Low-Band,Verizon,8.2,96,96,5,YEP
5G-NSA-Low-Band,Verizon,8.3,359,359,5,YEP
5G-NSA-Low-Band,Verizon,8.4,237,237,5,YEP
5G-NSA-Low-Band,Verizon,8.5,132,132,5,YEP
5G-NSA-Low-Band,Verizon,8.6,368,368,5,YEP
5G-NSA-Low-Band,Verizon,8.7,259,260,5,YEP
5G-NSA-Low-Band,Verizon,8.8,153,153,5,YEP
5G-NSA-Low-Band,Verizon,8.9,387,387,5,YEP
5G-NSA-Low-Band,Verizon,9,278,278,5,YEP
5G-NSA-Low-Band,Verizon,9.1,175,175,5,YEP
5G-NSA-Low-Band,Verizon,9.2,75,75,5,YEP
5G-NSA-Low-Band,Verizon,9.3,304,304,5,YEP
5G-NSA-Low-Band,Verizon,9.4,200,200,5,YEP
5G-NSA-Low-Band,Verizon,9.5,101,101,5,YEP
5G-NSA-Low-Band,Verizon,9.6,326,326,5,YEP
5G-NSA-Low-Band,Verizon,9.7,213,213,5,YEP
5G-NSA-Low-Band,Verizon,9.8,128,128,5,YEP
5G-NSA-Low-Band,Verizon,9.9,338,338,5,YEP
5G-NSA-Low-Band,Verizon,10,242,242,5,YEP
5G-NSA-Low-Band,Verizon,10.1,789,789,4,YEP
5G-NSA-Low-Band,Verizon,10.2,358,359,5,YEP
5G-NSA-Low-Band,Verizon,10.3,913,913,4,YEP
5G-NSA-Low-Band,Verizon,10.4,86,86,5,YEP
5G-NSA-Low-Band,Verizon,10.5,751,751,4,YEP
5G-NSA-Low-Band,Verizon,10.6,139,139,5,YEP
5G-NSA-Low-Band,Verizon,10.7,325,325,4,YEP
5G-NSA-Low-Band,Verizon,10.8,134,134,5,YEP
5G-NSA-Low-Band,Verizon,10.9,1212,1213,4,YEP
5G-NSA-Low-Band,Verizon,11,280,280,5,YEP
5G-NSA-Low-Band,Verizon,11.1,649,649,4,YEP
5G-NSA-Low-Band,Verizon,11.2,350,351,4,YEP
5G-NSA-Low-Band,Verizon,11.3,322,322,5,YEP
5G-NSA-Low-Band,Verizon,11.4,150,150,5,YEP
5G-NSA-Low-Band,Verizon,11.5,343,343,5,YEP
5G-NSA-Low-Band,Verizon,11.6,722,721,4,YEP
5G-NSA-Low-Band,Verizon,11.7,1110,1110,4,YEP
5G-NSA-Low-Band,Verizon,11.8,1013,1013,4,YEP
5G-NSA-Low-Band,Verizon,11.9,900,900,4,YEP
5G-NSA-Low-Band,Verizon,12,55,55,5,YEP
5G-NSA-Low-Band,Verizon,12.1,1464,1465,4,YEP
5G-NSA-Low-Band,Verizon,12.2,543,543,4,YEP
5G-NSA-Low-Band,Verizon,12.3,502,502,4,YEP
5G-NSA-Low-Band,Verizon,12.4,223,222,5,YEP
5G-NSA-Low-Band,Verizon,12.5,492,492,4,YEP
5G-NSA-Low-Band,Verizon,12.6,1485,1484,4,YEP
5G-NSA-Low-Band,Verizon,12.7,1395,1395,4,YEP
5G-NSA-Low-Band,Verizon,12.8,1272,1272,4,YEP
5G-NSA-Low-Band,Verizon,12.9,1187,1188,4,YEP
5G-NSA-Low-Band,Verizon,13,1105,1105,4,YEP
5G-NSA-Low-Band,Verizon,13.1,939,940,4,YEP
5G-NSA-Low-Band,Verizon,13.2,887,887,4,YEP
5G-NSA-Low-Band,Verizon,13.3,745,745,4,YEP
5G-NSA-Low-Band,Verizon,13.4,698,698,4,YEP
5G-NSA-Low-Band,Verizon,13.5,596,596,4,YEP
5G-NSA-Low-Band,Verizon,13.6,301,301,5,YEP
5G-NSA-Low-Band,Verizon,13.7,568,568,4,YEP
5G-NSA-Low-Band,Verizon,13.8,1580,1580,4,YEP
5G-NSA-Low-Band,Verizon,13.9,1447,1447,4,YEP
5G-NSA-Low-Band,Verizon,14,1342,1342,4,YEP
5G-NSA-Low-Band,Verizon,14.1,1291,1291,4,YEP
5G-NSA-Low-Band,Verizon,14.2,1180,1180,4,YEP
5G-NSA-Low-Band,Verizon,14.3,1025,1026,4,YEP
5G-NSA-Low-Band,Verizon,14.4,938,938,4,YEP
5G-NSA-Low-Band,Verizon,14.5,896,896,4,YEP
5G-NSA-Low-Band,Verizon,14.6,740,740,4,YEP
5G-NSA-Low-Band,Verizon,14.7,647,646,4,YEP
5G-NSA-Low-Band,Verizon,14.8,571,571,4,YEP
5G-NSA-Low-Band,Verizon,14.9,276,276,5,YEP
5G-NSA-Low-Band,Verizon,15,526,525,4,YEP
5G-NSA-Low-Band,Verizon,15.1,1540,1539,4,YEP
5G-NSA-Low-Band,Verizon,15.2,1460,1460,4,YEP
5G-NSA-Low-Band,Verizon,15.3,1320,1320,4,YEP
5G-NSA-Low-Band,Verizon,15.4,1227,1227,4,YEP
5G-NSA-Low-Band,Verizon,15.5,1161,1161,4,YEP
5G-NSA-Low-Band,Verizon,15.6,1040,1041,4,YEP
5G-NSA-Low-Band,Verizon,15.7,961,962,4,YEP
5G-NSA-Low-Band,Verizon,15.8,829,829,4,YEP
5G-NSA-Low-Band,Verizon,15.9,733,733,4,YEP
5G-NSA-Low-Band,Verizon,16,646,647,4,YEP
5G-NSA-Low-Band,Verizon,16.1,548,548,4,YEP
5G-NSA-Low-Band,Verizon,16.2,426,426,4,YEP
5G-NSA-Low-Band,Verizon,16.3,337,336,4,YEP
5G-NSA-Low-Band,Verizon,16.4,1533,1532,4,YEP
5G-NSA-Low-Band,Verizon,16.5,1404,1403,4,YEP
5G-NSA-Low-Band,Verizon,16.6,1318,1318,4,YEP
5G-NSA-Low-Band,Verizon,16.7,1234,1233,4,YEP
5G-NSA-Low-Band,Verizon,16.8,1100,1099,4,YEP
5G-NSA-Low-Band,Verizon,16.9,1035,1034,4,YEP
5G-NSA-Low-Band,Verizon,17,925,925,4,YEP
5G-NSA-Low-Band,Verizon,17.1,807,807,4,YEP
5G-NSA-Low-Band,Verizon,17.2,724,724,4,YEP
5G-NSA-Low-Band,Verizon,17.3,618,618,4,YEP
5G-NSA-Low-Band,Verizon,17.4,522,522,4,YEP
5G-NSA-Low-Band,Verizon,17.5,413,414,4,YEP
5G-NSA-Low-Band,Verizon,17.6,314,315,4,YEP
5G-NSA-Low-Band,Verizon,17.7,1510,1511,4,YEP
5G-NSA-Low-Band,Verizon,17.8,262,262,5,YEP
5G-NSA-Low-Band,Verizon,17.9,1152,1153,4,YEP
5G-NSA-Low-Band,Verizon,18,1200,1201,4,YEP
5G-NSA-Low-Band,Verizon,18.1,1097,1098,4,YEP
5G-NSA-Low-Band,Verizon,18.2,1015,1015,4,YEP
5G-NSA-Low-Band,Verizon,18.3,260,260,5,YEP
5G-NSA-Low-Band,Verizon,18.4,1425,1425,4,YEP
5G-NSA-Low-Band,Verizon,18.5,715,715,4,YEP
5G-NSA-Low-Band,Verizon,18.6,600,600,4,YEP
5G-NSA-Low-Band,Verizon,18.7,502,502,4,YEP
5G-NSA-Low-Band,Verizon,18.8,380,380,4,YEP
5G-NSA-Low-Band,Verizon,18.9,298,297,4,YEP
5G-NSA-Low-Band,Verizon,19,1494,1493,4,YEP
5G-NSA-Low-Band,Verizon,19.1,1366,1365,4,YEP
5G-NSA-Low-Band,Verizon,19.2,1280,1279,4,YEP
5G-NSA-Low-Band,Verizon,19.3,1195,1195,4,YEP
5G-NSA-Low-Band,Verizon,19.4,1082,1082,4,YEP
5G-NSA-Low-Band,Verizon,19.5,963,963,4,YEP
5G-NSA-Low-Band,Verizon,19.6,900,900,4,YEP
5G-NSA-Low-Band,Verizon,19.7,760,760,4,YEP
5G-NSA-Low-Band,Verizon,19.8,692,692,4,YEP
5G-NSA-Low-Band,Verizon,19.9,568,568,4,YEP
5G-NSA-Low-Band,Verizon,20,477,477,4,YEP
5G-NSA-Low-Band,Verizon,20.1,403,403,4,YEP
5G-NSA-Low-Band,Verizon,20.2,1559,1560,4,YEP
5G-NSA-Low-Band,Verizon,20.3,1447,1447,4,YEP
5G-NSA-Low-Band,Verizon,20.4,1383,1383,4,YEP
5G-NSA-Low-Band,Verizon,20.5,1234,1235,4,YEP
5G-NSA-Low-Band,Verizon,20.6,1187,1187,4,YEP
5G-NSA-Low-Band,Verizon,20.7,1048,1048,4,YEP
5G-NSA-Low-Band,Verizon,20.8,936,935,4,YEP
5G-NSA-Low-Band,Verizon,20.9,873,873,4,YEP
5G-NSA-Low-Band,Verizon,21,751,751,4,YEP
5G-NSA-Low-Band,Verizon,21.1,660,660,4,YEP
5G-NSA-Low-Band,Verizon,21.2,568,568,4,YEP
5G-NSA-Low-Band,Verizon,21.3,438,439,4,YEP
5G-NSA-Low-Band,Verizon,21.4,380,381,4,YEP
5G-NSA-Low-Band,Verizon,21.5,1538,1539,4,YEP
5G-NSA-Low-Band,Verizon,21.6,1441,1442,4,YEP
5G-NSA-Low-Band,Verizon,21.7,1354,1354,4,YEP
5G-NSA-Low-Band,Verizon,21.8,1217,1217,4,YEP
5G-NSA-Low-Band,Verizon,21.9,1160,1160,4,YEP
5G-NSA-Low-Band,Verizon,22,1018,1018,4,YEP
5G-NSA-Low-Band,Verizon,22.1,945,945,4,YEP
5G-NSA-Low-Band,Verizon,22.2,837,836,4,YEP
5G-NSA-Low-Band,Verizon,22.3,760,760,4,YEP
5G-NSA-Low-Band,Verizon,22.4,626,626,4,YEP
5G-NSA-Low-Band,Verizon,22.5,554,554,4,YEP
5G-NSA-Low-Band,Verizon,22.6,460,460,4,YEP
5G-NSA-Low-Band,Verizon,22.7,1600,1600,4,YEP
5G-NSA-Low-Band,Verizon,22.8,1531,1531,4,YEP
5G-NSA-Low-Band,Verizon,22.9,1419,1419,4,YEP
5G-NSA-Low-Band,Verizon,23,1295,1296,4,YEP
5G-NSA-Low-Band,Verizon,23.1,1213,1214,4,YEP
5G-NSA-Low-Band,Verizon,23.2,1120,1120,4,YEP
5G-NSA-Low-Band,Verizon,23.3,1031,1031,4,YEP
5G-NSA-Low-Band,Verizon,23.4,928,929,4,YEP
