enabled_radio_type,carrier,interval,RTT1,RTT2,active_radio_type,KeepOrDrop
5G-NSA-mmWave,Verizon,0,96,95,5,YEP
5G-NSA-mmWave,Verizon,0.1,70,70,5,YEP
5G-NSA-mmWave,Verizon,0.2,120,120,5,YEP
5G-NSA-mmWave,Verizon,0.3,100,100,5,YEP
5G-NSA-mmWave,Verizon,0.4,57,58,5,YEP
5G-NSA-mmWave,Verizon,0.5,84,84,5,YEP
5G-NSA-mmWave,Verizon,0.6,117,117,5,YEP
5G-NSA-mmWave,Verizon,0.7,105,106,5,YEP
5G-NSA-mmWave,Verizon,0.8,54,53,5,YEP
5G-NSA-mmWave,Verizon,0.9,93,94,5,YEP
5G-NSA-mmWave,Verizon,1,118,117,5,YEP
5G-NSA-mmWave,Verizon,1.1,90,90,5,YEP
5G-NSA-mmWave,Verizon,1.2,65,65,5,YEP
5G-NSA-mmWave,Verizon,1.3,93,93,5,YEP
5G-NSA-mmWave,Verizon,1.4,112,112,5,YEP
5G-NSA-mmWave,Verizon,1.5,91,92,5,YEP
5G-NSA-mmWave,Verizon,1.6,88,87,5,YEP
5G-NSA-mmWave,Verizon,1.7,140,139,5,YEP
5G-NSA-mmWave,Verizon,1.8,117,117,5,YEP
5G-NSA-mmWave,Verizon,1.9,100,100,5,YEP
5G-NSA-mmWave,Verizon,2,57,57,5,BAD
5G-NSA-mmWave,Verizon,2.1,86,86,5,YEP
5G-NSA-mmWave,Verizon,2.2,115,114,5,YEP
5G-NSA-mmWave,Verizon,2.3,100,100,5,YEP
5G-NSA-mmWave,Verizon,2.4,91,92,5,YEP
5G-NSA-mmWave,Verizon,2.5,132,132,5,YEP
5G-NSA-mmWave,Verizon,2.6,127,127,5,YEP
5G-NSA-mmWave,Verizon,2.7,92,93,5,YEP
5G-NSA-mmWave,Verizon,2.8,82,82,5,YEP
5G-NSA-mmWave,Verizon,2.9,140,140,5,YEP
5G-NSA-mmWave,Verizon,3,118,118,5,YEP
5G-NSA-mmWave,Verizon,3.1,100,100,5,YEP
5G-NSA-mmWave,Verizon,3.2,74,75,5,YEP
5G-NSA-mmWave,Verizon,3.3,67,66,5,YEP
5G-NSA-mmWave,Verizon,3.4,112,112,5,BAD
5G-NSA-mmWave,Verizon,3.5,103,103,5,YEP
5G-NSA-mmWave,Verizon,3.6,80,80,5,YEP
5G-NSA-mmWave,Verizon,3.7,143,144,5,YEP
5G-NSA-mmWave,Verizon,3.8,114,114,5,YEP
5G-NSA-mmWave,Verizon,3.9,106,106,5,YEP
5G-NSA-mmWave,Verizon,4,78,78,5,YEP
5G-NSA-mmWave,Verizon,4.1,138,138,5,YEP
5G-NSA-mmWave,Verizon,4.2,97,96,5,YEP
5G-NSA-mmWave,Verizon,4.3,130,131,5,YEP
5G-NSA-mmWave,Verizon,4.4,68,67,5,YEP
5G-NSA-mmWave,Verizon,4.5,59,60,5,YEP
5G-NSA-mmWave,Verizon,4.6,127,127,5,YEP
5G-NSA-mmWave,Verizon,4.7,78,78,5,YEP
5G-NSA-mmWave,Verizon,4.8,98,97,5,YEP
5G-NSA-mmWave,Verizon,4.9,65,66,5,BAD
5G-NSA-mmWave,Verizon,5,119,119,5,YEP
5G-NSA-mmWave,Verizon,5.1,77,77,5,YEP
5G-NSA-mmWave,Verizon,5.2,101,101,5,YEP
5G-NSA-mmWave,Verizon,5.3,62,62,5,YEP
5G-NSA-mmWave,Verizon,5.4,116,117,5,BAD
5G-NSA-mmWave,Verizon,5.5,101,102,5,YEP
5G-NSA-mmWave,Verizon,5.6,79,78,5,YEP
5G-NSA-mmWave,Verizon,5.7,72,72,5,YEP
5G-NSA-mmWave,Verizon,5.8,107,107,5,YEP
5G-NSA-mmWave,Verizon,5.9,101,102,5,YEP
5G-NSA-mmWave,Verizon,6,84,83,5,YEP
5G-NSA-mmWave,Verizon,6.1,136,137,5,YEP
5G-NSA-mmWave,Verizon,6.2,118,119,5,BAD
5G-NSA-mmWave,Verizon,6.3,94,94,5,YEP
5G-NSA-mmWave,Verizon,6.4,85,86,5,YEP
5G-NSA-mmWave,Verizon,6.5,137,137,5,YEP
5G-NSA-mmWave,Verizon,6.6,123,122,5,YEP
5G-NSA-mmWave,Verizon,6.7,67,67,5,BAD
5G-NSA-mmWave,Verizon,6.8,112,111,5,BAD
5G-NSA-mmWave,Verizon,6.9,70,70,5,YEP
5G-NSA-mmWave,Verizon,7,90,89,5,YEP
5G-NSA-mmWave,Verizon,7.1,120,119,5,YEP
5G-NSA-mmWave,Verizon,7.2,82,82,5,YEP
5G-NSA-mmWave,Verizon,7.3,149,150,5,YEP
5G-NSA-mmWave,Verizon,7.4,109,108,5,YEP
5G-NSA-mmWave,Verizon,7.5,96,97,5,YEP
5G-NSA-mmWave,Verizon,7.6,82,83,5,YEP
5G-NSA-mmWave,Verizon,7.7,57,56,5,YEP
5G-NSA-mmWave,Verizon,7.8,129,128,5,YEP
5G-NSA-mmWave,Verizon,7.9,96,95,5,YEP
5G-NSA-mmWave,Verizon,8,83,83,5,YEP
5G-NSA-mmWave,Verizon,8.1,139,139,5,YEP
5G-NSA-mmWave,Verizon,8.2,118,119,5,YEP
5G-NSA-mmWave,Verizon,8.3,101,101,5,YEP
5G-NSA-mmWave,Verizon,8.4,76,76,5,YEP
5G-NSA-mmWave,Verizon,8.5,140,140,5,YEP
5G-NSA-mmWave,Verizon,8.6,125,124,5,YEP
5G-NSA-mmWave,Verizon,8.7,100,101,5,YEP
5G-NSA-mmWave,Verizon,8.8,77,77,5,YEP
5G-NSA-mmWave,Verizon,8.9,65,65,5,YEP
5G-NSA-mmWave,Verizon,9,112,112,5,YEP
5G-NSA-mmWave,Verizon,9.1,103,103,5,YEP
5G-NSA-mmWave,Verizon,9.2,76,75,5,YEP
5G-NSA-mmWave,Verizon,9.3,68,68,5,YEP
5G-NSA-mmWave,Verizon,9.4,110,110,5,YEP
5G-NSA-mmWave,Verizon,9.5,95,96,5,YEP
5G-NSA-mmWave,Verizon,9.6,91,91,5,YEP
5G-NSA-mmWave,Verizon,9.7,144,144,5,YEP
5G-NSA-mmWave,Verizon,9.8,109,109,5,YEP
5G-NSA-mmWave,Verizon,9.9,106,107,5,YEP
5G-NSA-mmWave,Verizon,10,74,74,5,YEP
5G-NSA-mmWave,Verizon,10.1,75,75,5,YEP
5G-NSA-mmWave,Verizon,10.2,903,903,4,YEP
5G-NSA-mmWave,Verizon,10.3,124,125,5,YEP
5G-NSA-mmWave,Verizon,10.4,904,903,4,YEP
5G-NSA-mmWave,Verizon,10.5,95,96,5,YEP
5G-NSA-mmWave,Verizon,10.6,561,560,4,YEP
5G-NSA-mmWave,Verizon,10.7,87,87,5,YEP
5G-NSA-mmWave,Verizon,10.8,1469,1469,4,YEP
5G-NSA-mmWave,Verizon,10.9,92,92,5,YEP
5G-NSA-mmWave,Verizon,11,1027,1027,4,YEP
5G-NSA-mmWave,Verizon,11.1,71,70,5,YEP
5G-NSA-mmWave,Verizon,11.2,666,667,4,YEP
5G-NSA-mmWave,Verizon,11.3,108,107,5,YEP
5G-NSA-mmWave,Verizon,11.4,1535,1535,4,YEP
5G-NSA-mmWave,Verizon,11.5,1300,1300,4,YEP
5G-NSA-mmWave,Verizon,11.6,1200,1200,4,YEP
5G-NSA-mmWave,Verizon,11.7,1120,1120,4,YEP
5G-NSA-mmWave,Verizon,11.8,120,120,5,BAD
5G-NSA-mmWave,Verizon,11.9,488,488,4,YEP
5G-NSA-mmWave,Verizon,12,791,792,4,YEP
5G-NSA-mmWave,Verizon,12.1,706,707,4,YEP
5G-NSA-mmWave,Verizon,12.2,576,577,4,YEP
5G-NSA-mmWave,Verizon,12.3,515,516,4,YEP
5G-NSA-mmWave,Verizon,12.4,406,406,4,YEP
5G-NSA-mmWave,Verizon,12.5,1567,1567,4,YEP
5G-NSA-mmWave,Verizon,12.6,1476,1476,4,YEP
5G-NSA-mmWave,Verizon,12.7,1391,1391,4,YEP
5G-NSA-mmWave,Verizon,12.8,1300,1300,4,YEP
5G-NSA-mmWave,Verizon,12.9,1161,1161,4,YEP
5G-NSA-mmWave,Verizon,13,1056,1055,4,YEP
5G-NSA-mmWave,Verizon,13.1,999,998,4,YEP
5G-NSA-mmWave,Verizon,13.2,873,872,4,YEP
5G-NSA-mmWave,Verizon,13.3,791,791,4,YEP
5G-NSA-mmWave,Verizon,13.4,688,688,4,YEP
5G-NSA-mmWave,Verizon,13.5,561,561,4,YEP
5G-NSA-mmWave,Verizon,13.6,491,491,4,YEP
5G-NSA-mmWave,Verizon,13.7,382,382,4,YEP
5G-NSA-mmWave,Verizon,13.8,1564,1565,4,YEP
5G-NSA-mmWave,Verizon,13.9,1466,1467,4,YEP
5G-NSA-mmWave,Verizon,14,1365,1366,4,YEP
5G-NSA-mmWave,Verizon,14.1,1240,1241,4,YEP
5G-NSA-mmWave,Verizon,14.2,1171,1171,4,YEP
5G-NSA-mmWave,Verizon,14.3,1050,1049,4,YEP
5G-NSA-mmWave,Verizon,14.4,970,971,4,YEP
5G-NSA-mmWave,Verizon,14.5,844,844,4,YEP
5G-NSA-mmWave,Verizon,14.6,769,769,4,YEP
5G-NSA-mmWave,Verizon,14.7,653,652,4,YEP
5G-NSA-mmWave,Verizon,14.8,564,564,4,YEP
5G-NSA-mmWave,Verizon,14.9,455,456,4,YEP
5G-NSA-mmWave,Verizon,15,369,369,4,YEP
5G-NSA-mmWave,Verizon,15.1,1563,1562,4,YEP
5G-NSA-mmWave,Verizon,15.2,1417,1416,4,YEP
5G-NSA-mmWave,Verizon,15.3,1350,1351,4,YEP
5G-NSA-mmWave,Verizon,15.4,1239,1240,4,YEP
5G-NSA-mmWave,Verizon,15.5,1120,1120,4,YEP
5G-NSA-mmWave,Verizon,15.6,1060,1060,4,YEP
5G-NSA-mmWave,Verizon,15.7,920,919,4,YEP
5G-NSA-mmWave,Verizon,15.8,844,843,4,YEP
5G-NSA-mmWave,Verizon,15.9,744,745,4,YEP
5G-NSA-mmWave,Verizon,16,640,641,4,YEP
5G-NSA-mmWave,Verizon,16.1,550,550,4,YEP
5G-NSA-mmWave,Verizon,16.2,441,440,4,YEP
5G-NSA-mmWave,Verizon,16.3,1624,1623,4,YEP
5G-NSA-mmWave,Verizon,16.4,1515,1515,4,YEP
5G-NSA-mmWave,Verizon,16.5,1411,1411,4,YEP
5G-NSA-mmWave,Verizon,16.6,1328,1329,4,YEP
5G-NSA-mmWave,Verizon,16.7,1213,1214,4,YEP
5G-NSA-mmWave,Verizon,16.8,1117,1118,4,YEP
5G-NSA-mmWave,Verizon,16.9,1028,1028,4,YEP
5G-NSA-mmWave,Verizon,17,905,905,4,YEP
5G-NSA-mmWave,Verizon,17.1,835,834,4,YEP
5G-NSA-mmWave,Verizon,17.2,687,686,4,YEP
5G-NSA-mmWave,Verizon,17.3,644,644,4,YEP
5G-NSA-mmWave,Verizon,17.4,529,529,4,YEP
5G-NSA-mmWave,Verizon,17.5,410,410,4,YEP
5G-NSA-mmWave,Verizon,17.6,296,296,4,YEP
5G-NSA-mmWave,Verizon,17.7,1521,1522,4,YEP
5G-NSA-mmWave,Verizon,17.8,1399,1399,4,YEP
5G-NSA-mmWave,Verizon,17.9,1312,1312,4,YEP
5G-NSA-mmWave,Verizon,18,1200,1200,4,YEP
5G-NSA-mmWave,Verizon,18.1,1104,1103,4,YEP
5G-NSA-mmWave,Verizon,18.2,977,976,4,YEP
5G-NSA-mmWave,Verizon,18.3,899,898,4,YEP
5G-NSA-mmWave,Verizon,18.4,808,808,4,YEP
5G-NSA-mmWave,Verizon,18.5,700,700,4,YEP
5G-NSA-mmWave,Verizon,18.6,606,606,4,YEP
5G-NSA-mmWave,Verizon,18.7,483,483,4,YEP
5G-NSA-mmWave,Verizon,18.8,412,412,4,YEP
5G-NSA-mmWave,Verizon,18.9,1591,1591,4,YEP
5G-NSA-mmWave,Verizon,19,1499,1500,4,YEP
5G-NSA-mmWave,Verizon,19.1,1369,1370,4,YEP
5G-NSA-mmWave,Verizon,19.2,79,80,5,BAD
5G-NSA-mmWave,Verizon,19.3,1090,1090,4,YEP
5G-NSA-mmWave,Verizon,19.4,1059,1060,4,YEP
5G-NSA-mmWave,Verizon,19.5,1000,1000,4,YEP
5G-NSA-mmWave,Verizon,19.6,874,874,4,YEP
5G-NSA-mmWave,Verizon,19.7,786,786,4,YEP
5G-NSA-mmWave,Verizon,19.8,680,680,4,YEP
5G-NSA-mmWave,Verizon,19.9,567,566,4,YEP
5G-NSA-mmWave,Verizon,0,53,53,4,YEP
5G-NSA-mmWave,Verizon,0.1,61,61,4,YEP
5G-NSA-mmWave,Verizon,0.2,79,79,4,YEP
5G-NSA-mmWave,Verizon,0.3,77,77,4,YEP
5G-NSA-mmWave,Verizon,0.4,63,63,4,YEP
5G-NSA-mmWave,Verizon,0.5,91,90,5,YEP
5G-NSA-mmWave,Verizon,0.6,64,64,5,YEP
5G-NSA-mmWave,Verizon,0.7,113,113,5,YEP
5G-NSA-mmWave,Verizon,0.8,74,75,5,YEP
5G-NSA-mmWave,Verizon,0.9,67,67,5,YEP
5G-NSA-mmWave,Verizon,1,117,117,5,YEP
5G-NSA-mmWave,Verizon,1.1,97,97,5,YEP
5G-NSA-mmWave,Verizon,1.2,80,79,5,YEP
5G-NSA-mmWave,Verizon,1.3,138,138,5,YEP
5G-NSA-mmWave,Verizon,1.4,120,120,5,YEP
5G-NSA-mmWave,Verizon,1.5,97,96,5,YEP
5G-NSA-mmWave,Verizon,1.6,57,57,5,YEP
5G-NSA-mmWave,Verizon,1.7,72,73,5,YEP
5G-NSA-mmWave,Verizon,1.8,140,140,5,YEP
5G-NSA-mmWave,Verizon,1.9,92,92,5,YEP
5G-NSA-mmWave,Verizon,2,60,59,5,YEP
5G-NSA-mmWave,Verizon,2.1,81,82,5,YEP
5G-NSA-mmWave,Verizon,2.2,119,119,5,YEP
5G-NSA-mmWave,Verizon,2.3,102,102,5,YEP
