enabled_radio_type,carrier,interval,timestamp,RTT1,RTT2,active_radio_type,KeepOrDrop
5G-NSA-Low-Band,T-Mobile,0,1621909091864,58,59,5,YEP
5G-NSA-Low-Band,T-Mobile,0.1,1621909092023,70,70,5,YEP
5G-NSA-Low-Band,T-Mobile,0.2,1621909092293,60,60,5,YEP
5G-NSA-Low-Band,T-Mobile,0.3,1621909092653,76,76,5,YEP
5G-NSA-Low-Band,T-Mobile,0.4,1621909093129,85,84,5,YEP
5G-NSA-Low-Band,T-Mobile,0.5,1621909093713,369,370,5,YEP
5G-NSA-Low-Band,T-Mobile,0.6,1621909094683,368,367,5,YEP
5G-NSA-Low-Band,T-Mobile,0.7,1621909095750,231,232,5,YEP
5G-NSA-Low-Band,T-Mobile,0.8,1621909106782,100,101,5,OUT
5G-NSA-Low-Band,T-Mobile,0.9,1621909107783,369,368,5,YEP
5G-NSA-Low-Band,T-Mobile,1,1621909109152,262,261,5,YEP
5G-NSA-Low-Band,T-Mobile,1.1,1621909110513,200,200,5,YEP
5G-NSA-Low-Band,T-Mobile,1.2,1621909111913,70,70,5,YEP
5G-NSA-Low-Band,T-Mobile,1.3,1621909113283,309,309,5,YEP
5G-NSA-Low-Band,T-Mobile,1.4,1621909114993,208,208,5,YEP
5G-NSA-Low-Band,T-Mobile,1.5,1621909116701,92,92,5,YEP
5G-NSA-Low-Band,T-Mobile,1.6,1621909118393,327,327,5,YEP
5G-NSA-Low-Band,T-Mobile,1.7,1621909120420,193,193,5,YEP
5G-NSA-Low-Band,T-Mobile,1.8,1621909122413,149,150,5,YEP
5G-NSA-Low-Band,T-Mobile,1.9,1621909124463,331,331,5,YEP
5G-NSA-Low-Band,T-Mobile,2,1621909126794,239,239,5,YEP
5G-NSA-Low-Band,T-Mobile,2.1,1621909129133,139,140,5,YEP
5G-NSA-Low-Band,T-Mobile,2.2,1621909131473,350,350,5,YEP
5G-NSA-Low-Band,T-Mobile,2.3,1621909134123,270,270,5,YEP
5G-NSA-Low-Band,T-Mobile,2.4,1621909136793,159,160,5,YEP
5G-NSA-Low-Band,T-Mobile,2.5,1621909139453,381,381,5,YEP
5G-NSA-Low-Band,T-Mobile,2.6,1621909142434,278,279,5,YEP
5G-NSA-Low-Band,T-Mobile,2.7,1621909145413,189,189,5,YEP
5G-NSA-Low-Band,T-Mobile,2.8,1621909148402,390,391,5,YEP
5G-NSA-Low-Band,T-Mobile,2.9,1621909151693,289,290,5,YEP
5G-NSA-Low-Band,T-Mobile,3,1621909154983,209,210,5,YEP
5G-NSA-Low-Band,T-Mobile,3.1,1621909158293,99,100,5,YEP
5G-NSA-Low-Band,T-Mobile,3.2,1621909161593,319,320,5,YEP
5G-NSA-Low-Band,T-Mobile,3.3,1621909165213,217,217,5,YEP
5G-NSA-Low-Band,T-Mobile,3.4,1621909168830,115,115,5,YEP
5G-NSA-Low-Band,T-Mobile,3.5,1621909172446,337,337,5,YEP
5G-NSA-Low-Band,T-Mobile,3.6,1621909176383,251,250,5,YEP
5G-NSA-Low-Band,T-Mobile,3.7,1621909180333,140,140,5,YEP
5G-NSA-Low-Band,T-Mobile,3.8,1621909184273,359,360,5,YEP
5G-NSA-Low-Band,T-Mobile,3.9,1621909188533,265,265,5,YEP
5G-NSA-Low-Band,T-Mobile,4,1621909192798,155,155,5,YEP
5G-NSA-Low-Band,T-Mobile,4.1,1621909197053,379,380,5,YEP
5G-NSA-Low-Band,T-Mobile,4.2,1621909201633,289,290,5,YEP
5G-NSA-Low-Band,T-Mobile,4.3,1621909206223,177,178,5,YEP
5G-NSA-Low-Band,T-Mobile,4.4,1621909210801,72,72,5,YEP
5G-NSA-Low-Band,T-Mobile,4.5,1621909215374,307,306,5,YEP
5G-NSA-Low-Band,T-Mobile,4.6,1621909220280,200,201,5,YEP
5G-NSA-Low-Band,T-Mobile,4.7,1621909225181,83,82,5,YEP
5G-NSA-Low-Band,T-Mobile,4.8,1621909230063,319,320,5,YEP
5G-NSA-Low-Band,T-Mobile,4.9,1621909235283,230,230,5,YEP
5G-NSA-Low-Band,T-Mobile,5,1621909240513,128,128,5,YEP
5G-NSA-Low-Band,T-Mobile,5.1,1621909245741,313,313,5,YEP
5G-NSA-Low-Band,T-Mobile,5.2,1621909251254,258,259,5,YEP
5G-NSA-Low-Band,T-Mobile,5.3,1621909256813,139,140,5,YEP
5G-NSA-Low-Band,T-Mobile,5.4,1621909262353,366,367,5,YEP
5G-NSA-Low-Band,T-Mobile,5.5,1621909268220,243,243,5,YEP
5G-NSA-Low-Band,T-Mobile,5.6,1621909274063,169,170,5,YEP
5G-NSA-Low-Band,T-Mobile,5.7,1621909279933,369,370,5,YEP
5G-NSA-Low-Band,T-Mobile,5.8,1621909286103,130,130,5,YEP
5G-NSA-Low-Band,T-Mobile,5.9,1621909292133,331,330,5,YEP
5G-NSA-Low-Band,T-Mobile,6,1621909298463,89,90,5,YEP
5G-NSA-Low-Band,T-Mobile,6.1,1621909304653,309,308,5,YEP
5G-NSA-Low-Band,T-Mobile,6.2,1621909311161,195,195,5,YEP
5G-NSA-Low-Band,T-Mobile,6.3,1621909317656,96,97,5,YEP
5G-NSA-Low-Band,T-Mobile,6.4,1621909324153,310,310,5,YEP
