radio_type,carrier,interval,timestamp,RTT1,RTT2,Network,KeepOrDrop
5G-SA-Low-Band,TMobile,8.0,1606649646274,81,82,6,YEP
5G-SA-Low-Band,TMobile,8.1,1606649654456,98,98,6,YEP
5G-SA-Low-Band,TMobile,8.2,1606649662754,120,120,6,YEP
5G-SA-Low-Band,TMobile,8.3,1606649671174,99,100,6,YEP
5G-SA-Low-Band,TMobile,8.4,1606649679674,119,120,6,YEP
5G-SA-Low-Band,TMobile,8.5,1606649688294,100,100,6,YEP
5G-SA-Low-Band,TMobile,8.6,1606649696994,80,80,6,YEP
5G-SA-Low-Band,TMobile,8.7,1606649705774,99,100,6,YEP
5G-SA-Low-Band,TMobile,8.8,1606649714674,80,80,6,YEP
5G-SA-Low-Band,TMobile,8.9,1606649723654,100,100,6,YEP
5G-SA-Low-Band,TMobile,9.0,1606649732754,119,120,6,YEP
5G-SA-Low-Band,TMobile,9.1,1606649741974,100,100,6,YEP
5G-SA-Low-Band,TMobile,9.2,1606649751274,79,80,6,YEP
5G-SA-Low-Band,TMobile,9.3,1606649760654,99,100,6,YEP
5G-SA-Low-Band,TMobile,9.4,1606649770154,78,78,6,YEP
5G-SA-Low-Band,TMobile,9.5,1606649779732,145,145,6,YEP
5G-SA-Low-Band,TMobile,9.6,1606649789477,117,117,6,YEP
5G-SA-Low-Band,TMobile,9.7,1606649799294,140,140,6,YEP
5G-SA-Low-Band,TMobile,9.8,1606649809234,120,120,6,YEP
5G-SA-Low-Band,TMobile,9.9,1606649819254,108,109,6,YEP
5G-SA-Low-Band,TMobile,10.0,1606649829363,441,440,6,YEP
5G-SA-Low-Band,TMobile,10.1,1606649839903,99,99,6,YEP
5G-SA-Low-Band,TMobile,10.2,1606649850202,1252,1252,6,YEP
5G-SA-Low-Band,TMobile,10.3,1606649861754,99,100,6,YEP
5G-SA-Low-Band,TMobile,10.4,1606649872254,964,964,6,YEP
5G-SA-Low-Band,TMobile,10.5,1606649883718,99,100,6,BAD
5G-SA-Low-Band,TMobile,10.6,1606649894418,564,564,6,YEP
5G-SA-Low-Band,TMobile,10.7,1606649905682,140,140,6,YEP
5G-SA-Low-Band,TMobile,10.8,1606649916622,1413,1413,6,YEP
5G-SA-Low-Band,TMobile,10.9,1606649928935,100,100,6,YEP
5G-SA-Low-Band,TMobile,11.0,1606649940035,1004,1004,6,YEP
5G-SA-Low-Band,TMobile,11.1,1606649952139,140,140,6,YEP
5G-SA-Low-Band,TMobile,11.2,1606649963479,603,603,6,YEP
5G-SA-Low-Band,TMobile,11.3,1606649975382,100,100,6,YEP
5G-SA-Low-Band,TMobile,11.4,1606649986882,1533,1533,6,YEP
