start,end,seconds,bytes,bits_per_second,retransmits,omitted,interval,type,rtt,snd_cwnd,timestamp,throughput,protocol,direction,throughput_rolled3
0.0,0.500147,0.500147,2786560,44571846.582689,0,False,0,summary,77.911,0.88064,2021-05-17 23:10:28.500147,44.571846582689005,TCP,downlink,44.571846582689005
0.500147,1.000082,0.499935,27000832,432069557.321822,0,False,1,summary,46.467,3.65328,2021-05-17 23:10:29.000082,432.069557321822,TCP,downlink,238.3207019522555
1.000082,1.500078,0.499996,30539776,488640377.032109,0,False,2,summary,45.261,3.65328,2021-05-17 23:10:29.500078,488.64037703210903,TCP,downlink,321.76059364554
1.500078,2.000087,0.500009,30932992,494918904.162496,0,False,3,summary,46.374,3.65328,2021-05-17 23:10:30.000087,494.91890416249595,TCP,downlink,471.8762795054756
2.000087,2.500099,0.500012,30932992,494915836.292693,0,False,4,summary,44.86,3.65328,2021-05-17 23:10:30.500099,494.91583629269303,TCP,downlink,492.82503916243263
2.500099,3.000148,0.500049,30408704,486491708.648612,0,False,5,summary,45.331,3.65328,2021-05-17 23:10:31.000148,486.491708648612,TCP,downlink,492.1088163679337
3.000148,3.50021,0.500062,29360128,469703815.219564,0,False,6,summary,45.569,3.65328,2021-05-17 23:10:31.500210,469.70381521956404,TCP,downlink,483.70378672028966
3.50021,4.000085,0.499875,31719424,507637623.692504,0,False,7,summary,46.119,3.65328,2021-05-17 23:10:32.000085,507.637623692504,TCP,downlink,487.9443825202266
4.000085,4.50016,0.500075,26214400,419367609.40144,0,False,8,summary,43.968,3.65328,2021-05-17 23:10:32.500160,419.36760940144,TCP,downlink,465.56968277116925
4.50016,5.000146,0.499986,31457280,503330400.38499,0,False,9,summary,46.328,3.65328,2021-05-17 23:10:33.000146,503.33040038498996,TCP,downlink,476.7785444929779
5.000146,5.500146,0.5,29622272,473956352.0,0,False,10,summary,45.078,3.65328,2021-05-17 23:10:33.500146,473.956352,TCP,downlink,465.55145392880985
5.500146,6.000094,0.499948,30277632,484492475.235283,0,False,11,summary,45.965,3.65328,2021-05-17 23:10:34.000094,484.492475235283,TCP,downlink,487.2597425400909
6.000094,6.500157,0.500063,27000832,431958934.845269,0,False,12,summary,63.38,3.65328,2021-05-17 23:10:34.500157,431.958934845269,TCP,downlink,463.46925402685065
6.500157,7.000152,0.499995,30539776,488641309.048997,0,False,13,summary,45.762,3.65328,2021-05-17 23:10:35.000152,488.64130904899696,TCP,downlink,468.36423970984964
7.000152,7.500155,0.500003,30670848,490730760.016067,0,False,14,summary,46.15,3.65328,2021-05-17 23:10:35.500155,490.73076001606705,TCP,downlink,470.443667970111
7.500155,8.000197,0.500042,24903680,398425252.838138,0,False,15,summary,46.844,3.65328,2021-05-17 23:10:36.000197,398.42525283813796,TCP,downlink,459.265773967734
8.000197,8.500086,0.499889,29097984,465671218.992776,0,False,16,summary,45.146,3.65328,2021-05-17 23:10:36.500086,465.671218992776,TCP,downlink,451.60907728232695
8.500086,9.000133,0.500047,31064064,496978339.385409,0,False,17,summary,45.239,3.65328,2021-05-17 23:10:37.000133,496.978339385409,TCP,downlink,453.6916037387743
9.000133,9.500168,0.500035,28049408,448759072.204896,0,False,18,summary,45.501,3.65328,2021-05-17 23:10:37.500168,448.759072204896,TCP,downlink,470.4695435276936
9.500168,10.00017,0.500002,31195136,499120272.007263,0,False,19,summary,44.892,3.65328,2021-05-17 23:10:38.000170,499.120272007263,TCP,downlink,481.619227865856
10.00017,10.500084,0.499914,29360128,469842701.84515,0,False,20,summary,45.83,3.65328,2021-05-17 23:10:38.500084,469.84270184515,TCP,downlink,472.57401535243633
10.500084,11.000168,0.500084,31326208,501135214.118236,0,False,21,summary,45.753,3.65328,2021-05-17 23:10:39.000168,501.135214118236,TCP,downlink,490.03272932354963
11.000168,11.50008,0.499912,29622272,474039760.675999,0,False,22,summary,46.314,3.65328,2021-05-17 23:10:39.500080,474.039760675999,TCP,downlink,481.6725588797951
11.50008,12.000089,0.500009,30015488,480239106.157676,0,False,23,summary,46.12,3.65328,2021-05-17 23:10:40.000089,480.23910615767596,TCP,downlink,485.13802698397035
