start,end,seconds,bytes,bits_per_second,omitted,sender,interval,type,rtt,snd_cwnd,timestamp,throughput,protocol,direction,throughput_rolled3
0.0,1.002702,1.002701997756958,6055776,48315659.19722316,False,False,0,summary,,,2021-01-23 18:13:29.002702,48.315659197223155,TCP,downlink,48.315659197223155
1.002702,2.001399,0.9986969828605652,20085472,160893422.88764495,False,False,1,summary,,,2021-01-23 18:13:30.001399,160.89342288764496,TCP,downlink,104.60454104243405
2.001399,3.003274,1.0018750429153442,46808288,373765477.6890589,False,False,2,summary,,,2021-01-23 18:13:31.003274,373.7654776890589,TCP,downlink,194.32485325797566
3.003274,4.007705,1.0044310092926025,52990688,422055372.7214783,False,False,3,summary,,,2021-01-23 18:13:32.007705,422.0553727214783,TCP,downlink,318.90475776606075
4.007705,5.010624,1.0029189586639404,54408288,433999477.4651076,False,False,4,summary,,,2021-01-23 18:13:33.010624,433.99947746510765,TCP,downlink,409.9401092918817
5.010624,6.002374,0.9917500019073486,55140960,444797256.51788914,False,False,5,summary,,,2021-01-23 18:13:34.002374,444.79725651788914,TCP,downlink,433.6173689014918
6.002374,7.001031,0.9986569881439209,49478592,396361053.5942651,False,False,6,summary,,,2021-01-23 18:13:35.001031,396.3610535942651,TCP,downlink,425.0525958590874
7.001031,8.000409,0.9993780255317688,53430912,427713322.76648307,False,False,7,summary,,,2021-01-23 18:13:36.000409,427.7133227664831,TCP,downlink,422.9572109595458
8.000409,9.002709,1.0023000240325928,54280000,433243529.4702531,False,False,8,summary,,,2021-01-23 18:13:37.002709,433.2435294702531,TCP,downlink,419.10596861033383
9.002709,10.001728,0.9990190267562866,54263808,434536732.90839374,False,False,9,summary,,,2021-01-23 18:13:38.001728,434.53673290839373,TCP,downlink,431.83119504837674
10.001728,11.000036,0.998308002948761,53446400,428295875.35816383,False,False,10,summary,,,2021-01-23 18:13:39.000036,428.2958753581638,TCP,downlink,432.0253792456037
11.000036,12.002847,1.0028109550476074,54088000,431491097.9203032,False,False,11,summary,,,2021-01-23 18:13:40.002847,431.4910979203032,TCP,downlink,431.44123539562037
12.002847,13.000053,0.9972059726715088,54784608,439504852.5690825,False,False,12,summary,,,2021-01-23 18:13:41.000053,439.5048525690825,TCP,downlink,433.0972752825166
13.000053,14.000885,1.000831961631775,53560640,428128933.154163,False,False,13,summary,,,2021-01-23 18:13:42.000885,428.128933154163,TCP,downlink,433.04162788118293
14.000885,15.005154,1.004269003868103,44795360,356839530.6633063,False,False,14,summary,,,2021-01-23 18:13:43.005154,356.8395306633063,TCP,downlink,408.15777212885064
15.005154,16.001575,0.9964209794998169,54290240,435881950.4362712,False,False,15,summary,,,2021-01-23 18:13:44.001575,435.8819504362712,TCP,downlink,406.9501380845802
16.001575,17.000332,0.998757004737854,54663488,437852152.1506437,False,False,16,summary,,,2021-01-23 18:13:45.000332,437.8521521506437,TCP,downlink,410.1912110834071
17.000332,18.009922,1.0095900297164917,54345824,430636772.55419123,False,False,17,summary,,,2021-01-23 18:13:46.009922,430.6367725541912,TCP,downlink,434.79029171370206
18.009922,19.002459,0.9925370216369629,53926656,434657084.41633993,False,False,18,summary,,,2021-01-23 18:13:47.002459,434.65708441633996,TCP,downlink,434.3820030403917
19.002459,20.005954,1.0034949779510498,54250656,432493692.0822046,False,False,19,summary,,,2021-01-23 18:13:48.005954,432.4936920822046,TCP,downlink,432.59584968424525
20.005954,21.003778,0.9978240132331848,54525920,437158611.3533041,False,False,20,summary,,,2021-01-23 18:13:49.003778,437.1586113533041,TCP,downlink,434.7697959506161
21.003778,22.001852,0.9980739951133728,52260992,418894729.2956057,False,False,21,summary,,,2021-01-23 18:13:50.001852,418.8947292956057,TCP,downlink,429.51567757703805
22.001852,23.007593,1.005741000175476,53252032,423584457.5548487,False,False,22,summary,,,2021-01-23 18:13:51.007593,423.58445755484865,TCP,downlink,426.54593273458596
23.007593,24.004223,0.9966300129890442,53361152,428332691.6070836,False,False,23,summary,,,2021-01-23 18:13:52.004223,428.33269160708363,TCP,downlink,423.6039594858459
24.004223,25.000553,0.9963300228118896,54289280,435914034.5628227,False,False,24,summary,,,2021-01-23 18:13:53.000553,435.9140345628227,TCP,downlink,429.27706124158493
25.000553,26.002151,1.0015980005264282,54756704,437354738.8970067,False,False,25,summary,,,2021-01-23 18:13:54.002151,437.3547388970067,TCP,downlink,433.8671550223042
26.002151,27.005361,1.0032099485397339,54411008,433895282.4716328,False,False,26,summary,,,2021-01-23 18:13:55.005361,433.89528247163275,TCP,downlink,435.7213519771539
27.005361,28.003253,0.9978920221328735,53494016,428856147.26661915,False,False,27,summary,,,2021-01-23 18:13:56.003253,428.85614726661913,TCP,downlink,433.3687228784193
28.003253,29.000226,0.9969729781150818,54608384,438193493.2940298,False,False,28,summary,,,2021-01-23 18:13:57.000226,438.1934932940298,TCP,downlink,433.64830767742706
29.000226,30.003206,1.0029799938201904,53877472,429739155.9709128,False,False,29,summary,,,2021-01-23 18:13:58.003206,429.7391559709128,TCP,downlink,432.2629321771871
