start,end,seconds,bytes,bits_per_second,retransmits,omitted,interval,type,rtt,snd_cwnd,timestamp,throughput,protocol,direction,throughput_rolled3
0.0,0.500116,0.500116,115343360,1845065000.0,0,False,0,summary,50.611125,2.219144,2020-12-19 03:15:57.500116,1845.065,TCP,downlink,1845.065
0.500116,1.000614,0.500498,150842560,2411079000.0,0,False,1,summary,151.17075,4.86932,2020-12-19 03:15:58.000614,2411.079,TCP,downlink,2128.072
1.000614,1.500334,0.49972,135214112,2164639000.0,1,False,2,summary,137.914125,5.346104,2020-12-19 03:15:58.500334,2164.639,TCP,downlink,2140.261
1.500334,2.000086,0.499752,137637440,2203292000.0,3,False,3,summary,169.833375,5.342148,2020-12-19 03:15:59.000086,2203.292,TCP,downlink,2259.67
2.000086,2.500173,0.500087,103998048,1663679000.0,2,False,4,summary,172.400625,5.086728,2020-12-19 03:15:59.500173,1663.679,TCP,downlink,2010.5366666666669
2.500173,3.000087,0.499914,164521248,2632793000.0,1,False,5,summary,155.825,5.015864,2020-12-19 03:16:00.000087,2632.793,TCP,downlink,2166.588
3.000087,3.500075,0.499988,118879712,1902121000.0,1,False,6,summary,161.249125,4.852292,2020-12-19 03:16:00.500075,1902.121,TCP,downlink,2066.197666666667
3.500075,4.000076,0.500001,124823616,1997174000.0,2,False,7,summary,147.587625,4.728796,2020-12-19 03:16:01.000076,1997.174,TCP,downlink,2177.3626666666664
4.000076,4.500085,0.500009,118813376,1900980000.0,0,False,8,summary,156.544875,4.938636,2020-12-19 03:16:01.500085,1900.98,TCP,downlink,1933.425
4.500085,5.000086,0.500001,116759616,1868150000.0,2,False,9,summary,154.27875,4.600312,2020-12-19 03:16:02.000086,1868.15,TCP,downlink,1922.101333333333
5.000086,5.500115,0.500029,88641600,1418183000.0,2,False,10,summary,193.14175,3.94912,2020-12-19 03:16:02.500115,1418.183,TCP,downlink,1729.104333333333
5.500115,6.000109,0.499994,137191904,2195097000.0,0,False,11,summary,139.57175,4.354868,2020-12-19 03:16:03.000109,2195.097,TCP,downlink,1827.1433333333334
6.000109,6.500577,0.500468,116329504,1859531000.0,1,False,12,summary,145.79875,4.239972,2020-12-19 03:16:03.500577,1859.531,TCP,downlink,1824.2703333333332
6.500577,7.000111,0.499534,138030336,2210546000.0,0,False,13,summary,138.699375,4.312384,2020-12-19 03:16:04.000111,2210.546,TCP,downlink,2088.3913333333335
7.000111,7.500009,0.499898,123001760,1968430000.0,0,False,14,summary,138.071875,4.378948,2020-12-19 03:16:04.500009,1968.43,TCP,downlink,2012.8356666666666
7.500009,8.000109,0.5001,125241600,2003464000.0,0,False,15,summary,145.29975,4.437256,2020-12-19 03:16:05.000109,2003.464,TCP,downlink,2060.813333333333
8.000109,8.500041,0.499932,110409760,1766797000.0,0,False,16,summary,152.649875,4.49006,2020-12-19 03:16:05.500041,1766.797,TCP,downlink,1912.8969999999997
8.500041,9.000158,0.500117,105152000,1682038000.0,2,False,17,summary,162.16575,4.184244,2020-12-19 03:16:06.000158,1682.038,TCP,downlink,1817.4329999999998
9.000158,9.500383,0.500225,130525152,2087463000.0,0,False,18,summary,133.623875,4.2312,2020-12-19 03:16:06.500383,2087.463,TCP,downlink,1845.4326666666664
9.500383,10.000071,0.499688,130533760,2089845000.0,0,False,19,summary,134.459375,4.273512,2020-12-19 03:16:07.000071,2089.845,TCP,downlink,1953.1153333333325
10.000071,10.500456,0.500385,123203296,1969736000.0,0,False,20,summary,137.66425,4.310664,2020-12-19 03:16:07.500456,1969.736,TCP,downlink,2049.014666666666
10.500456,11.000072,0.499616,121518720,1945794000.0,0,False,21,summary,140.96225,4.342484,2020-12-19 03:16:08.000072,1945.794,TCP,downlink,2001.791666666666
11.000072,11.500135,0.500063,96996608,1551750000.0,2,False,22,summary,171.86875,4.140384,2020-12-19 03:16:08.500135,1551.75,TCP,downlink,1822.4266666666663
11.500135,12.000139,0.500004,133679488,2138855000.0,0,False,23,summary,133.929125,4.17358,2020-12-19 03:16:09.000139,2138.855,TCP,downlink,1878.799666666666
12.000139,12.500124,0.499985,127853152,2045712000.0,14,False,24,summary,132.424875,4.203336,2020-12-19 03:16:09.500124,2045.712,TCP,downlink,1912.1056666666664
12.500124,13.000124,0.5,124188992,1987023872.0,0,False,25,summary,134.53,4.22948,2020-12-19 03:16:10.000124,1987.023872,TCP,downlink,2057.196957333333
13.000124,13.500104,0.49998,123884832,1982236000.0,0,False,26,summary,135.538875,4.250808,2020-12-19 03:16:10.500104,1982.236,TCP,downlink,2004.9906239999993
13.500104,14.000538,0.500434,124647296,1992627000.0,0,False,27,summary,136.3705,4.270072,2020-12-19 03:16:11.000538,1992.627,TCP,downlink,1987.2956239999996
14.000538,14.500121,0.499583,96687904,1548298000.0,0,False,28,summary,177.5565,4.285724,2020-12-19 03:16:11.500121,1548.298,TCP,downlink,1841.0536666666665
14.500121,15.000115,0.499994,116631168,1866121000.0,0,False,29,summary,138.3655,4.297592,2020-12-19 03:16:12.000115,1866.121,TCP,downlink,1802.3486666666665
15.000115,15.500141,0.500026,104352896,1669560000.0,0,False,30,summary,122.229125,4.30688,2020-12-19 03:16:12.500141,1669.56,TCP,downlink,1694.6596666666665
15.500141,16.000122,0.499981,144126336,2306109000.0,0,False,31,summary,140.365375,4.316512,2020-12-19 03:16:13.000122,2306.109,TCP,downlink,1947.2633333333333
16.000122,16.500114,0.499992,123388096,1974241000.0,0,False,32,summary,131.11325,4.324424,2020-12-19 03:16:13.500114,1974.241,TCP,downlink,1983.3033333333333
16.500114,17.000086,0.499972,119029312,1904576000.0,0,False,33,summary,138.164875,4.331304,2020-12-19 03:16:14.000086,1904.576,TCP,downlink,2061.642
17.000086,17.50011,0.500024,90954208,1455197000.0,2,False,34,summary,206.093375,4.119228,2020-12-19 03:16:14.500110,1455.197,TCP,downlink,1778.0046666666665
17.50011,18.000111,0.500001,123712640,1979398000.0,3,False,35,summary,145.91,4.186996,2020-12-19 03:16:15.000111,1979.398,TCP,downlink,1779.7236666666665
18.000111,18.500429,0.500318,95199136,1522218000.0,2,False,36,summary,202.942875,4.047504,2020-12-19 03:16:15.500429,1522.218,TCP,downlink,1652.2709999999997
18.500429,19.000444,0.500015,109002752,1743992000.0,1,False,37,summary,128.6815,3.849188,2020-12-19 03:16:16.000444,1743.992,TCP,downlink,1748.5359999999998
19.000444,19.500076,0.499632,122459776,1960800000.0,0,False,38,summary,112.297625,3.885824,2020-12-19 03:16:16.500076,1960.8,TCP,downlink,1742.3366666666664
19.500076,20.000116,0.50004,125163456,2002455000.0,0,False,39,summary,124.134625,3.91902,2020-12-19 03:16:17.000116,2002.455,TCP,downlink,1902.4156666666665
20.000116,20.500071,0.499955,123016160,1968436000.0,0,False,40,summary,117.98725,3.9517,2020-12-19 03:16:17.500071,1968.436,TCP,downlink,1977.230333333333
20.500071,21.000199,0.500128,107236480,1715344000.0,1,False,41,summary,139.391375,3.824076,2020-12-19 03:16:18.000199,1715.344,TCP,downlink,1895.4116666666662
21.000199,21.500117,0.499918,98394112,1574564000.0,1,False,42,summary,154.66625,3.777464,2020-12-19 03:16:18.500117,1574.564,TCP,downlink,1752.7813333333331
