start,end,seconds,bytes,bits_per_second,retransmits,omitted,interval,type,rtt,snd_cwnd,throughput,protocol,direction,throughput_rolled3,time_since_start,run,month,server location
0.0,0.500128,0.500128,11665408,186598747.234817,0,False,0,tcp1c,78.995,0.730656,186.598747234817,TCP,downlink,186.598747234817,0.0,64388,dec,west2
0.500128,1.000074,0.499946,6291456,100674145.169163,0,False,1,tcp1c,80.362,1.220512,100.674145169163,TCP,downlink,143.63644620199,0.49994600000000006,64388,dec,west2
1.000074,1.500126,0.500052,8257536,132106843.427508,0,False,2,tcp1c,79.341,1.636064,132.10684342750798,TCP,downlink,139.79324527716267,0.999998,64388,dec,west2
1.500126,2.000082,0.499956,12845056,205539027.599477,0,False,3,tcp1c,70.98,2.271776,205.53902759947698,TCP,downlink,146.10667206538267,1.499954,64388,dec,west2
2.000082,2.500122,0.50004,14548992,232765225.493746,0,False,4,tcp1c,84.51,2.99968,232.76522549374602,TCP,downlink,190.137032173577,1.999994,64388,dec,west2
2.500122,3.000115,0.499993,21626880,346034865.066169,0,False,5,tcp1c,79.307,4.015168,346.034865066169,TCP,downlink,261.44637271979735,2.499987,64388,dec,west2
3.000115,3.500109,0.499994,28049408,448796092.068982,0,False,6,tcp1c,78.669,5.374656,448.796092068982,TCP,downlink,342.53206087629906,2.999981,64388,dec,west2
3.500109,4.000119,0.50001,42074112,673172310.270001,0,False,7,tcp1c,82.005,7.27216,673.172310270001,TCP,downlink,489.33442246838405,3.499991,64388,dec,west2
4.000119,4.500093,0.499974,45350912,725652307.960297,0,False,8,tcp1c,83.649,8.663296,725.652307960297,TCP,downlink,615.8735700997601,3.9999650000000004,64388,dec,west2
4.500093,5.000126,0.500033,43122688,689917280.030867,0,False,9,tcp1c,86.103,8.663296,689.917280030867,TCP,downlink,696.2472994203885,4.499998000000001,64388,dec,west2
5.000126,5.500121,0.499995,54132736,866132449.086849,0,False,10,tcp1c,76.261,8.663296,866.132449086849,TCP,downlink,760.5673456926711,4.999993,64388,dec,west2
5.500121,6.00009,0.499969,49938432,799064445.070497,0,False,11,tcp1c,85.156,8.663296,799.0644450704971,TCP,downlink,785.0380580627378,5.499962,64388,dec,west2
6.00009,6.500082,0.499992,52166656,834680028.219391,0,False,12,tcp1c,76.661,8.663296,834.680028219391,TCP,downlink,833.2923074589125,5.999954000000001,64388,dec,west2
6.500082,7.000178,0.500096,49414144,790474402.190268,0,False,13,tcp1c,80.223,8.663296,790.474402190268,TCP,downlink,808.0729584933855,6.500050000000001,64388,dec,west2
7.000178,7.500119,0.499941,65536000,1048700000.0,0,False,14,tcp1c,66.658,8.663296,1048.7,TCP,downlink,891.284810136553,6.9999910000000005,64388,dec,west2
7.500119,8.000071,0.499952,52559872,841038560.725884,0,False,15,tcp1c,63.796,8.663296,841.0385607258839,TCP,downlink,893.4043209720506,7.499943,64388,dec,west2
8.000071,8.500113,0.500042,66191360,1058973000.0,0,False,16,tcp1c,61.455,8.663296,1058.973,TCP,downlink,982.9038535752946,7.999985000000001,64388,dec,west2
8.500113,9.000111,0.499998,63700992,1019220000.0,0,False,17,tcp1c,66.593,8.663296,1019.22,TCP,downlink,973.077186908628,8.499983,64388,dec,west2
9.000111,9.50014,0.500029,65142784,1042224000.0,0,False,18,tcp1c,61.141,8.663296,1042.224,TCP,downlink,1040.1390000000001,9.000012,64388,dec,west2
9.50014,10.000116,0.499976,55312384,885040346.012349,0,False,19,tcp1c,62.491,8.663296,885.040346012349,TCP,downlink,982.1614486707831,9.499988,64388,dec,west2
10.000116,10.500117,0.500001,67371008,1077934000.0,0,False,20,tcp1c,62.243,8.663296,1077.934,TCP,downlink,1001.7327820041164,9.999989000000001,64388,dec,west2
