server_location,latency_min,latency_avg,type,iperf_run_number,distance,throughput_rolled3_avg,throughput_avg,throughput_max,throughput_90tile,throughput_95tile,throughput_median
east,87.5,141.90333333333334,tcp1d,64306,871,461.79341454577803,478.23222052622765,541.7713860229508,535.9807554422713,537.7934153565709,522.5687588925273
east,87.5,141.90333333333334,tcp1d,64307,871,430.939063478192,440.79870826574177,553.793925159872,547.7581901798764,550.7907037857528,493.0155428140115
east,87.5,141.90333333333334,tcp1d,64308,871,295.1700942857427,311.88778865783013,545.0124553917262,537.780101408367,542.2693171327579,363.4985857788037
east,87.5,141.90333333333334,tcp1d,64309,871,485.10724485524224,496.6981977239661,538.0008369371488,534.8437351933945,535.8259291481385,518.0600685585016
east2,43.3,124.83548387096774,tcp1d,64310,962,411.4533270290301,423.27734022696643,491.5128009466746,483.48938515432894,484.5310771751152,469.8179770778919
east2,43.3,124.83548387096774,tcp1d,64312,962,402.0526665182795,417.1578444341897,488.83490936918,482.5018459826505,484.3705251027028,470.7569134030281
east2,43.3,124.83548387096774,tcp1d,64313,962,444.8733581921504,452.67765755647025,481.7637889001665,475.3465562693145,478.7450473619179,469.99845583366397
east2,43.3,124.83548387096774,tcp1d,64314,962,383.4467589880669,393.2941938552113,487.64769802941385,484.4718967662264,485.5870880014438,462.8115366414316
west,90.9,132.22000000000003,tcp1d,64318,1583,226.10977627010612,235.1348090982678,321.70245649300045,318.0474614577517,320.80048730938654,274.94143241859405
west,90.9,132.22000000000003,tcp1d,64319,1583,271.0658565559254,274.71738010255416,318.68895525028705,304.06849941982216,307.8440623199902,272.67855971604695
west,90.9,132.22000000000003,tcp1d,64320,1583,264.79723282627606,272.63164748016584,329.17479512592854,321.3402670724437,322.77134237697317,278.3974296359665
west,90.9,132.22000000000003,tcp1d,64322,1583,216.59771732813607,225.44112335528715,313.88681756549227,286.41757073317603,288.8432223520489,264.58946214237983
west2,58.4,119.10999999999999,tcp1d,64324,1278,237.25653286407248,245.58699786343848,323.8446403133663,296.7436412375203,317.05235552055046,273.8833900980093
