device id,month,server location,iperf type,duration,iperf run number,successful?
HUCKLEBERRY_830,dec,east,tcp1d,30,64306,yes
HUCKLEBERRY_830,dec,east,tcp1d,30,64307,yes
HUCKLEBERRY_830,dec,east,tcp1d,30,64308,yes
HUCKLEBERRY_830,dec,east,tcp1d,30,64309,yes
HUCKLEBERRY_830,dec,east2,tcp1d,30,64310,yes
HUCKLEBERRY_830,dec,east2,tcp1d,30,64312,yes
HUCKLEBERRY_830,dec,east2,tcp1d,30,64313,yes
HUCKLEBERRY_830,dec,east2,tcp1d,30,64314,yes
HUCKLEBERRY_830,dec,west,tcp1d,30,64318,yes
HUCKLEBERRY_830,dec,west,tcp1d,30,64319,yes
HUCKLEBERRY_830,dec,west,tcp1d,30,64320,yes
HUCKLEBERRY_830,dec,west,tcp1d,30,64322,yes
HUCKLEBERRY_830,dec,west2,tcp1d,30,64324,yes
HUCKLEBERRY_830,dec,west2,tcp1d,30,64325,yes
HUCKLEBERRY_830,dec,west2,tcp1d,30,64327,yes
HUCKLEBERRY_830,dec,west2,tcp1d,30,64328,yes
HUCKLEBERRY_830,dec,central,tcp1d,30,64329,yes
HUCKLEBERRY_830,dec,central,tcp1d,30,64330,yes
HUCKLEBERRY_830,dec,central,tcp1d,30,64331,yes
HUCKLEBERRY_830,dec,central,tcp1d,30,64332,yes
HUCKLEBERRY_830,dec,north-central,tcp1d,30,64334,yes
HUCKLEBERRY_830,dec,north-central,tcp1d,30,64340,yes
HUCKLEBERRY_830,dec,north-central,tcp1d,30,64342,yes
HUCKLEBERRY_830,dec,north-central,tcp1d,30,64345,yes
HUCKLEBERRY_830,dec,south-central,tcp1d,30,64346,yes
HUCKLEBERRY_830,dec,south-central,tcp1d,30,64347,yes
HUCKLEBERRY_830,dec,south-central,tcp1d,30,64348,yes
HUCKLEBERRY_830,dec,south-central,tcp1d,30,64349,yes
HUCKLEBERRY_830,dec,west-central,tcp1d,30,64352,yes
HUCKLEBERRY_830,dec,west-central,tcp1d,30,64353,yes
HUCKLEBERRY_830,dec,west-central,tcp1d,30,64354,yes
HUCKLEBERRY_830,dec,west-central,tcp1d,30,64355,yes
HUCKLEBERRY_830,dec,east,tcp1c,30,64356,yes
HUCKLEBERRY_830,dec,east,tcp1c,30,64359,yes
HUCKLEBERRY_830,dec,east,tcp1c,30,64361,yes
HUCKLEBERRY_830,dec,east,tcp1c,30,64362,yes
HUCKLEBERRY_830,dec,east2,tcp1c,30,64363,yes
HUCKLEBERRY_830,dec,east2,tcp1c,30,64364,yes
HUCKLEBERRY_830,dec,east2,tcp1c,30,64365,yes
HUCKLEBERRY_830,dec,east2,tcp1c,30,64366,yes
HUCKLEBERRY_830,dec,west,tcp1c,30,64372,yes
HUCKLEBERRY_830,dec,west,tcp1c,30,64377,yes
HUCKLEBERRY_830,dec,west,tcp1c,30,64381,yes
HUCKLEBERRY_830,dec,west,tcp1c,30,64382,yes
HUCKLEBERRY_830,dec,west2,tcp1c,30,64385,yes
HUCKLEBERRY_830,dec,west2,tcp1c,30,64386,yes
HUCKLEBERRY_830,dec,west2,tcp1c,30,64387,yes
HUCKLEBERRY_830,dec,west2,tcp1c,30,64388,yes
HUCKLEBERRY_830,dec,central,tcp1c,30,64389,yes
HUCKLEBERRY_830,dec,central,tcp1c,30,64390,yes
HUCKLEBERRY_830,dec,central,tcp1c,30,64391,yes
HUCKLEBERRY_830,dec,central,tcp1c,30,64392,yes
HUCKLEBERRY_830,dec,north-central,tcp1c,30,64393,yes
HUCKLEBERRY_830,dec,north-central,tcp1c,30,64397,yes
HUCKLEBERRY_830,dec,north-central,tcp1c,30,64399,yes
HUCKLEBERRY_830,dec,north-central,tcp1c,30,64421,yes
HUCKLEBERRY_830,dec,south-central,tcp1c,30,64406,yes
HUCKLEBERRY_830,dec,south-central,tcp1c,30,64407,yes
HUCKLEBERRY_830,dec,south-central,tcp1c,30,64408,yes
HUCKLEBERRY_830,dec,south-central,tcp1c,30,64413,yes
HUCKLEBERRY_830,dec,west-central,tcp1c,30,64414,yes
HUCKLEBERRY_830,dec,west-central,tcp1c,30,64417,yes
HUCKLEBERRY_830,dec,west-central,tcp1c,30,64418,yes
HUCKLEBERRY_830,dec,south-central,tcp1c,30,64419,yes
,,,,,,
,,,,,,
,,,,,,
HUCKLEBERRY_830,dec,east,tcp1d,30,64473,yes
HUCKLEBERRY_830,dec,east,tcp1d,30,64474,yes
HUCKLEBERRY_830,dec,east2,tcp1d,30,64476,yes
HUCKLEBERRY_830,dec,east2,tcp1d,30,64479,yes
HUCKLEBERRY_830,dec,west,tcp1d,30,64480,yes
HUCKLEBERRY_830,dec,west,tcp1d,30,64481,yes
HUCKLEBERRY_830,dec,central,tcp1d,30,64487,yes
HUCKLEBERRY_830,dec,central,tcp1d,30,64491,yes
HUCKLEBERRY_830,dec,north-central,tcp1d,30,64492,yes
