Probe Number,RTT [ms],Probe Send Time,TTL,Country Name,Country Code,Time Zone
1,24.7,11:40:59,46,United States,US,America/Chicago
2,25.3,11:41:00,46,United States,US,America/Chicago
3,24.8,11:41:01,46,United States,US,America/Chicago
4,25.2,11:41:02,46,United States,US,America/Chicago
5,26.9,11:41:03,46,United States,US,America/Chicago
6,24.8,11:41:04,46,United States,US,America/Chicago
7,99.7,11:41:05,46,United States,US,America/Chicago
8,143.1,11:41:06,46,United States,US,America/Chicago
9,98.9,11:41:07,46,United States,US,America/Chicago
10,138.4,11:41:08,46,United States,US,America/Chicago
11,92.6,11:41:09,46,United States,US,America/Chicago
12,133.5,11:41:10,46,United States,US,America/Chicago
13,100.1,11:41:11,46,United States,US,America/Chicago
14,126.5,11:41:12,46,United States,US,America/Chicago
15,169,11:41:13,46,United States,US,America/Chicago
16,125.1,11:41:14,46,United States,US,America/Chicago
17,165.2,11:41:15,46,United States,US,America/Chicago
18,121.3,11:41:16,46,United States,US,America/Chicago
19,159.4,11:41:17,46,United States,US,America/Chicago
20,111.9,11:41:18,46,United States,US,America/Chicago
21,153.7,11:41:19,46,United States,US,America/Chicago
22,111.9,11:41:20,46,United States,US,America/Chicago
23,144.6,11:41:21,46,United States,US,America/Chicago
24,102.6,11:41:22,46,United States,US,America/Chicago
25,145.9,11:41:23,46,United States,US,America/Chicago
26,100.5,11:41:24,46,United States,US,America/Chicago
27,136.2,11:41:25,46,United States,US,America/Chicago
28,95.8,11:41:26,46,United States,US,America/Chicago
29,137,11:41:27,46,United States,US,America/Chicago
30,89.7,11:41:28,46,United States,US,America/Chicago
