Probe Number,RTT [ms],Probe Send Time,TTL,Country Name,Country Code,Time Zone
1,169,11:30:45,47,United States,US,America/Chicago
2,126.3,11:30:46,47,United States,US,America/Chicago
3,247.4,11:30:47,47,United States,US,America/Chicago
4,122.8,11:30:48,47,United States,US,America/Chicago
5,163.4,11:30:49,47,United States,US,America/Chicago
6,119.3,11:30:50,47,United States,US,America/Chicago
7,158.9,11:30:51,47,United States,US,America/Chicago
8,120.2,11:30:52,47,United States,US,America/Chicago
9,152.3,11:30:53,47,United States,US,America/Chicago
10,112.2,11:30:54,47,United States,US,America/Chicago
11,145.7,11:30:55,47,United States,US,America/Chicago
12,104.2,11:30:56,47,United States,US,America/Chicago
13,143.1,11:30:57,47,United States,US,America/Chicago
14,106.6,11:30:58,47,United States,US,America/Chicago
15,151.3,11:30:59,47,United States,US,America/Chicago
16,255.8,11:31:00,47,United States,US,America/Chicago
17,144.3,11:31:01,47,United States,US,America/Chicago
18,96.5,11:31:02,47,United States,US,America/Chicago
19,139.4,11:31:03,47,United States,US,America/Chicago
20,93.9,11:31:04,47,United States,US,America/Chicago
21,138.2,11:31:05,47,United States,US,America/Chicago
22,87.5,11:31:06,47,United States,US,America/Chicago
23,129.8,11:31:07,47,United States,US,America/Chicago
24,170.1,11:31:08,47,United States,US,America/Chicago
25,128.3,11:31:09,47,United States,US,America/Chicago
26,169.3,11:31:10,47,United States,US,America/Chicago
27,124.8,11:31:11,47,United States,US,America/Chicago
28,162.9,11:31:12,47,United States,US,America/Chicago
29,119.2,11:31:13,47,United States,US,America/Chicago
30,154.4,11:31:14,47,United States,US,America/Chicago
