Probe Number,RTT [ms],Probe Send Time,TTL,Country Name,Country Code,Time Zone
1,146.1,11:35:01,46,United States,US,America/Chicago
2,98.1,11:35:02,46,United States,US,America/Chicago
3,143.3,11:35:03,46,United States,US,America/Chicago
4,101.3,11:35:04,46,United States,US,America/Chicago
5,143.4,11:35:05,46,United States,US,America/Chicago
6,93.9,11:35:06,46,United States,US,America/Chicago
7,136.3,11:35:07,46,United States,US,America/Chicago
8,93.3,11:35:08,46,United States,US,America/Chicago
9,131.3,11:35:09,46,United States,US,America/Chicago
10,168.1,11:35:10,46,United States,US,America/Chicago
11,128.5,11:35:11,46,United States,US,America/Chicago
12,166.9,11:35:12,46,United States,US,America/Chicago
13,119.1,11:35:13,46,United States,US,America/Chicago
14,158.5,11:35:14,46,United States,US,America/Chicago
15,120,11:35:15,46,United States,US,America/Chicago
16,152.3,11:35:16,46,United States,US,America/Chicago
17,116.1,11:35:17,46,United States,US,America/Chicago
18,155.9,11:35:18,46,United States,US,America/Chicago
19,113.7,11:35:19,46,United States,US,America/Chicago
20,152.8,11:35:20,46,United States,US,America/Chicago
21,103.6,11:35:21,46,United States,US,America/Chicago
22,145.2,11:35:22,46,United States,US,America/Chicago
23,106,11:35:23,46,United States,US,America/Chicago
24,138.1,11:35:24,46,United States,US,America/Chicago
25,102.7,11:35:25,46,United States,US,America/Chicago
26,134.7,11:35:26,46,United States,US,America/Chicago
27,97.2,11:35:27,46,United States,US,America/Chicago
28,136.2,11:35:28,46,United States,US,America/Chicago
29,92.1,11:35:29,46,United States,US,America/Chicago
30,131.9,11:35:30,46,United States,US,America/Chicago
31,43.3,11:35:31,46,United States,US,America/Chicago
