Probe Number,RTT [ms],Probe Send Time,TTL,Country Name,Country Code,Time Zone
1,168.5,11:44:30,49,United States,US,America/Chicago
2,122.9,11:44:31,49,United States,US,America/Chicago
3,161.1,11:44:32,49,United States,US,America/Chicago
4,123.8,11:44:33,49,United States,US,America/Chicago
5,163.6,11:44:34,49,United States,US,America/Chicago
6,118.2,11:44:35,49,United States,US,America/Chicago
7,159.7,11:44:36,49,United States,US,America/Chicago
8,121.2,11:44:37,49,United States,US,America/Chicago
9,155.5,11:44:38,49,United States,US,America/Chicago
10,114.5,11:44:39,49,United States,US,America/Chicago
11,151.8,11:44:40,49,United States,US,America/Chicago
12,109.7,11:44:41,49,United States,US,America/Chicago
13,147.5,11:44:42,49,United States,US,America/Chicago
14,105.8,11:44:43,49,United States,US,America/Chicago
15,146.3,11:44:44,49,United States,US,America/Chicago
16,100,11:44:45,49,United States,US,America/Chicago
17,140.5,11:44:46,49,United States,US,America/Chicago
18,93.2,11:44:47,49,United States,US,America/Chicago
19,133.7,11:44:48,49,United States,US,America/Chicago
20,95.6,11:44:49,49,United States,US,America/Chicago
21,134,11:44:50,49,United States,US,America/Chicago
22,93.3,11:44:51,49,United States,US,America/Chicago
23,132.3,11:44:52,49,United States,US,America/Chicago
24,170,11:44:53,49,United States,US,America/Chicago
25,125.7,11:44:54,49,United States,US,America/Chicago
26,165.9,11:44:55,49,United States,US,America/Chicago
27,122.9,11:44:56,49,United States,US,America/Chicago
28,158.9,11:44:57,49,United States,US,America/Chicago
29,117.2,11:44:58,49,United States,US,America/Chicago
30,161.4,11:44:59,49,United States,US,America/Chicago
