Probe Number,RTT [ms],Probe Send Time,TTL,Country Name,Country Code,Time Zone
1,115.1,11:45:59,45,United States,US,America/Denver
2,148,11:46:00,45,United States,US,America/Denver
3,109.3,11:46:01,45,United States,US,America/Denver
4,145.5,11:46:02,45,United States,US,America/Denver
5,103.1,11:46:03,45,United States,US,America/Denver
6,143.9,11:46:04,45,United States,US,America/Denver
7,106.3,11:46:05,45,United States,US,America/Denver
8,139.8,11:46:06,45,United States,US,America/Denver
9,100.8,11:46:07,45,United States,US,America/Denver
10,138.4,11:46:08,45,United States,US,America/Denver
11,97,11:46:09,45,United States,US,America/Denver
12,137.1,11:46:10,45,United States,US,America/Denver
13,92.8,11:46:11,45,United States,US,America/Denver
14,131.9,11:46:12,45,United States,US,America/Denver
15,85.3,11:46:13,45,United States,US,America/Denver
16,126.4,11:46:14,45,United States,US,America/Denver
17,171.5,11:46:15,45,United States,US,America/Denver
18,124.3,11:46:16,45,United States,US,America/Denver
19,163.3,11:46:17,45,United States,US,America/Denver
20,120.8,11:46:18,45,United States,US,America/Denver
21,161.2,11:46:19,45,United States,US,America/Denver
22,119.3,11:46:20,45,United States,US,America/Denver
23,158,11:46:21,45,United States,US,America/Denver
24,110,11:46:22,45,United States,US,America/Denver
25,153.7,11:46:23,45,United States,US,America/Denver
26,111,11:46:24,45,United States,US,America/Denver
27,145.3,11:46:25,45,United States,US,America/Denver
28,108.4,11:46:26,45,United States,US,America/Denver
29,145.7,11:46:27,45,United States,US,America/Denver
30,108.9,11:46:28,45,United States,US,America/Denver
