pageRef,startedDateTime,requestMethod,requestUrl,requestHttpVersion,requestHeaderSize,responseStatus,responseContentSize,responseCacheControl,time,blocked,dns,connect,send,wait,receive,ssl
page_1,2020-12-24T13:34:42.235Z,GET,http://23andme.com/,http/1.1,-1,302,0,"private, max-age=0, no-store, no-cache, must-revalidate, post-check=0, pre-check=0",302.4839999998221,6.837000000363216,229.498,23.540999999999997,0.19599999999999795,39.36100000000002,3.05099999968661,-1
page_1,2020-12-24T13:34:42.538Z,GET,https://www.23andme.com/,h2,-1,200,339593,nosniff,"public, max-age=14400",367.2789999982342,2.1769999995073306,96.262,99.64099999999999,1.436000000000007,144.42499999999998,23.3379999990575,77.584
page_1,2020-12-24T13:34:42.982Z,GET,https://www.23andme.com/optimizelyjs/27075387.js,h2,-1,200,26010,application/javascript,"private, max-age=0, no-cache, no-store, must-revalidate",259.647999999288,2.943000000362517,-1,-1,0.353,252.85,3.501999999571126,-1
page_1,2020-12-24T13:34:42.986Z,GET,https://www.23andme.com/assets/fonts/aad99a1f.woff2,h2,-1,200,18564,font/woff2,18564,"public, max-age=14400",82.5810000023921,2.273000002301531,-1,-1,0.30600000000000005,79.199,0.8029999989958014,-1
page_1,2020-12-24T13:34:42.998Z,GET,https://www.23andme.com/assets/fonts/2cd55546.woff2,h2,-1,200,16560,font/woff2,16560,"public, max-age=14400",90.67100000174833,2.022000000815373,-1,-1,3.7969999999999997,70.282,14.5699999993667,-1
page_1,2020-12-24T13:34:43.003Z,GET,https://www.23andme.com/assets/fonts/627fbb5a.woff2,h2,-1,200,18760,font/woff2,18760,"public, max-age=14400",70.7250000014028,3.127000001787208,-1,-1,0.5139999999999999,66.35600000000001,0.7279999990714714,-1
page_1,2020-12-24T13:34:43.007Z,GET,https://www.23andme.com/assets/fonts/14c73713.woff2,h2,-1,200,18920,font/woff2,18920,"public, max-age=14400",85.9020000025339,3.7410000024603214,-1,-1,0.5329999999999999,81.079,0.5490000003192108,-1
page_1,2020-12-24T13:34:43.009Z,GET,https://www.23andme.com/_next/static/css/fc39a683086b4f5323f0.css,h2,-1,200,11592,text/css,"public, max-age=31536000",63.82999999914318,8.572000001836335,-1,-1,0.537,54.102,0.6189999985508621,-1
page_1,2020-12-24T13:34:43.015Z,GET,https://www.23andme.com/_next/static/css/118a777565fc6797d994.css,h2,-1,200,76176,text/css,"public, max-age=31536000",65.72199999936856,2.9990000001047736,-1,-1,0.19500000000000006,52.946000000000005,9.581999998772517,-1
page_1,2020-12-24T13:34:43.015Z,GET,https://www.23andme.com/_next/static/VMrNZjwmFoS6jDXlTAgCr/pages/_app.js,h2,-1,200,15779,application/javascript,"public, max-age=31536000",97.74400000242167,10.993000000145287,-1,-1,2.814000000000001,83.35,0.5870000022696331,-1
page_1,2020-12-24T13:34:43.019Z,GET,https://www.23andme.com/_next/static/VMrNZjwmFoS6jDXlTAgCr/pages/index.js,h2,-1,200,413,application/javascript,"public, max-age=31536000",97.48300000137533,10.207000000975327,-1,-1,1.064,85.66,0.5520000013348181,-1
page_1,2020-12-24T13:34:43.020Z,GET,https://www.23andme.com/_next/static/runtime/webpack-d1b0e624d0c91617a3e2.js,h2,-1,200,2636,application/javascript,"public, max-age=31536000",71.3709999981802,9.300999999135268,-1,-1,0.9050000000000002,60.534,0.6309999989753123,-1
page_1,2020-12-24T13:34:43.024Z,GET,https://www.23andme.com/_next/static/chunks/framework.bf7c38c85fd9ba2ea850.js,h2,-1,200,129969,application/javascript,"public, max-age=31536000",92.8700000004028,5.683000000915024,-1,-1,0.512,63.355,23.320000000239816,-1
