pageRef,startedDateTime,requestMethod,requestUrl,requestHttpVersion,requestHeaderSize,responseStatus,responseContentSize,time,blocked,dns,connect,send,wait,receive,ssl
page_1,2020-12-26T18:27:55.740Z,GET,http://6pm.com/,http/1.1,-1,307,0,8.879000000888482,7.532999988183379,-1,-1,0,0,1.3460000045597553,-1
page_1,2020-12-26T18:27:55.749Z,GET,https://6pm.com/,h2,-1,301,0,text/html,134,321.0409999883268,1.9929999881330878,71.97,176.04699999999997,0.5080000000000098,66.561,3.9619999879505485,104.83100000000002
page_1,2020-12-26T18:27:56.071Z,GET,https://www.6pm.com/,h2,-1,200,179069,nosniff,36276,"max-age=0, no-cache, no-store",384.05900000361726,4.1960000012535605,13.82,62.06700000000001,0.5099999999999909,294.775,8.69099999545142,41.441
page_1,2020-12-26T18:27:56.501Z,GET,https://www.6pm.com/marty-assets/marty-6pm.app.e48809230770885d3829.css,h2,-1,200,336635,text/css,35405,max-age=30755235,13.314999989233911,2.296999972904101,-1,-1,0.246,0.09899999999999998,10.673000011593103,-1
page_1,2020-12-26T18:27:56.506Z,GET,https://www.6pm.com/marty-assets/marty-6pm.Landing.e611a4a6d764e0a95c7d.css,h2,-1,200,826,text/css,274,max-age=30755900,6.393999996362254,4.513000012433157,-1,-1,0.355,0.0860000000000003,1.4399999927263707,-1
page_1,2020-12-26T18:27:56.526Z,GET,https://www.6pm.com/marty-assets/marty-6pm.Landing.e611a4a6d764e0a95c7d.js,h2,-1,200,6068,application/javascript,2231,max-age=30756258,4.342000000178814,3.3139999996535483,-1,-1,0.1279999999999999,0.10199999999999987,0.7979999936651438,-1
page_1,2020-12-26T18:27:56.540Z,GET,https://www.google-analytics.com/analytics.js,h2,-1,200,47051,text/javascript,18817,"public, max-age=7200",104.47699998621829,1.2529999949038029,0,61.278,0.30700000000000216,22.284,19.354999996721745,48.538
page_1,2020-12-26T18:27:56.543Z,GET,https://images-na.ssl-images-amazon.com/images/G/01/6pm/logos/6pm-Logo-2x._V285053989_.png,h2,-1,200,4702,image/png,4702,"max-age=630720000,public",151.48299999418668,123.25000000734441,-1,-1,12.706999999999999,13.867,1.6590000013820827,-1
page_1,2020-12-26T18:27:56.543Z,GET,https://m.media-amazon.com/images/G/01/6pm/landing/2020/homepage/sunday-steals-m.jpg,h2,-1,200,27369,image/jpeg,27369,"max-age=86400,public",156.4430000144057,123.39699999113567,-1,-1,12.285999999999998,17.554,3.2060000230558217,-1
page_1,2020-12-26T18:27:56.544Z,GET,https://m.media-amazon.com/images/G/01/6pm/promos/201226/header-m.png,h2,-1,200,625919,image/png,625919,"max-age=86400,public",304.0000000037253,123.46399999202043,-1,-1,12.063,21.543,146.93000001716428,-1
page_1,2020-12-26T18:27:56.553Z,GET,https://www.6pm.com/karakoram/js/main.bd1547e.js,h2,-1,200,61603,text/javascript,15169,max-age=1226626,3.388999990420416,1.453000011799857,-1,-1,0.22300000000000003,0.5109999999999999,1.201999984914437,-1
page_1,2020-12-26T18:27:56.563Z,GET,https://www.6pm.com/marty-assets/marty-6pm.vendor.e611a4a6d764e0a95c7d.js,h2,-1,200,1029536,application/javascript,229134,max-age=30755752,242.8840000065975,8.224000022234396,-1,-1,0.18999999999999995,0.43700000000000006,234.03299998608418,-1
page_1,2020-12-26T18:27:56.564Z,GET,https://www.6pm.com/marty-assets/marty-6pm.app.e611a4a6d764e0a95c7d.js,h2,-1,200,1003544,application/javascript,212104,max-age=30756410,245.49500001012348,95.45499999990314,-1,-1,1.681,0.09600000000000009,148.2630000100471,-1
page_1,2020-12-26T18:27:56.626Z,GET,https://s.go-mpulse.net/boomerang/Q9XJS-7ECPU-YHG3G-HBMFB-9Q3DD,h2,-1,200,191256,application/javascript; charset=utf-8,47928,max-age=604800,236.23499998939224,12.398999972799793,17.464,109.63499999999999,23.308999999999997,30.55000000000001,42.87800000747666,66.076
page_1,2020-12-26T18:27:56.650Z,GET,https://ds-aksb-a.akamaihd.net/aksb.min.js,http/1.1,-1,200,13363,application/x-javascript,4826,max-age=43200,175.58100001770072,10.13099999873154,15.663999999999998,113.802,0.36099999999999,33.037000000000006,2.586000016890466,70.887
page_1,2020-12-26T18:27:56.666Z,GET,https://www.6pm.com/marty-assets/icons-sprite-2x.49a51592299045dbe43beea868f3a168.png,h2,-1,200,18591,application/octet-stream,18591,max-age=5850131,43.713999999454245,13.632000015733764,-1,-1,5.147,23.427999999999997,1.5069999790284783,-1
page_1,2020-12-26T18:27:56.691Z,GET,https://m.media-amazon.com/images/G/01/zappos/melody/6pm/Verlag-Light._CB1525671407_.woff2,h2,-1,200,19440,application/font-woff2,19440,"max-age=3600,public",32.227000017883256,1.7020000128205865,-1,-1,9.133999999999999,19.223,2.1680000063497573,-1
page_1,2020-12-26T18:27:56.694Z,GET,https://m.media-amazon.com/images/G/01/zappos/melody/melody-sprite.2020.09.01._TTH_.svg,h2,-1,200,96410,image/svg+xml,27847,"max-age=3600,public",115.86499999975786,15.970999978573992,-1,-1,9.501000000000001,66.117,24.27600001101382,-1
page_1,2020-12-26T18:27:56.697Z,GET,https://m.media-amazon.com/images/G/01/zappos/melody/6pm/Verlag-Book._CB1525671407_.woff2,h2,-1,200,18600,application/font-woff2,18600,"max-age=3600,public",55.73100000037812,16.257999986542387,-1,-1,7.682999999999998,29.191000000000003,2.598999999463558,-1
page_1,2020-12-26T18:27:56.698Z,GET,https://m.media-amazon.com/images/G/01/zappos/melody/6pm/Knockout-30JuniorWelterwt._CB1525671406_.woff2,h2,-1,200,15036,application/font-woff2,15036,"max-age=3600,public",57.10100001306273,20.413000015312804,-1,-1,2.8089999999999993,32.524,1.3549999857787043,-1
page_1,2020-12-26T18:27:56.699Z,GET,https://m.media-amazon.com/images/G/01/zappos/melody/6pm/Verlag-Black._CB1525671406_.woff2,h2,-1,200,18524,application/font-woff2,18524,"max-age=3600,public",65.24399999761954,20.4799999788627,-1,-1,4.42,32.353,7.9910000204108655,-1
page_1,2020-12-26T18:27:56.700Z,GET,https://m.media-amazon.com/images/G/01/zappos/melody/6pm/Verlag-Bold._CB1525671406_.woff2,h2,-1,200,19596,application/font-woff2,19596,"max-age=3600,public",77.40599999669939,20.170000015955416,-1,-1,4.079000000000001,31.72,21.436999988509342,-1
page_1,2020-12-26T18:27:56.700Z,GET,https://m.media-amazon.com/images/G/01/zappos/melody/6pm/VerlagCondensed-Bold._CB1525671408_.woff2,h2,-1,200,20500,application/font-woff2,20500,"max-age=3600,public",78.84800000465475,19.86400000987202,-1,-1,3.811,53.92399999999999,1.2489999935496598,-1
page_1,2020-12-26T18:27:56.845Z,POST,https://www.google-analytics.com/j/collect?v=1&_v=j87&a=1196062095&t=pageview&_s=1&dl=https%3A%2F%2Fwww.6pm.com%2F&ul=en-us&de=UTF-8&dt=Discount%20Shoes%2C%20Clothing%20%26%20Accessories%20%7C%206pm&sd=24-bit&sr=393x851&vp=393x727&je=0&_u=IEBAAEABAAAAAC~&jid=334685254&gjid=771342834&cid=1918790780.1609007277&tid=UA-8814898-13&_gid=1928471217.1609007277&_r=1&_slc=1&z=2064028213,h2,-1,200,4,text/plain,4,"no-cache, no-store, must-revalidate",32.998999988194555,2.8659999768305573,-1,-1,0.7209999999999999,28.419,0.9930000232998282,-1
page_1,2020-12-26T18:27:57.171Z,GET,https://www.6pm.com/track.cgi?ChRodHRwczovL3d3dy42cG0uY29tLxISbWFydHlfbGl2ZV82cG1fc3NsGgt3d3cuNnBtLmNvbSIPL2MvaG9tZXBhZ2UtbmV3KKyBnv8FMIQCOKyBnv8FQKYESK2Bnv8FUKABWIkDYNMGaBiCASQ5NTZhNGU5Yi1kMzY4LWM3OWMtM2M2YS00MDNlZDc1ODIwZTiIAYkDkAHXBZoGJDk1NmE0ZTliLWQzNjgtYzc5Yy0zYzZhLTQwM2VkNzU4MjBlOA==,h2,-1,200,35,image/gif,35,"max-age=0, no-cache, no-store",159.7289999772329,1.277000001790002,-1,-1,0.312,156.806,1.3339999713934958,-1
page_1,2020-12-26T18:27:57.215Z,POST,https://stats.g.doubleclick.net/j/collect?t=dc&aip=1&_r=3&v=1&_v=j87&tid=UA-8814898-13&cid=1918790780.1609007277&jid=334685254&gjid=771342834&_gid=1928471217.1609007277&_u=IEBAAEAAAAAAAC~&z=1546022852,h2,-1,200,2,text/plain,2,"no-cache, no-store, must-revalidate",226.98099998524413,3.498000004785135,30.965999999999998,154.621,5.1089999999999804,32.22400000000002,0.5629999795928597,70.729
page_1,2020-12-26T18:27:57.341Z,GET,https://amazon.6pm.com/mobileapi/v1/getCartItemsCount,http/1.1,-1,200,20,application/json;charset=UTF-8,20,no-cache,292.2309999994468,66.94200001116097,0.026000000000000023,125.47800000000001,1.0509999999999877,97.869,0.8649999799672514,67.127
page_1,2020-12-26T18:27:57.358Z,POST,https://amethyst.zappos.com/api/v1/events?X-Amethyst-Location=https%3A%2F%2Fwww.6pm.com%2F,h2,-1,200,2,application/json;charset=UTF-8,226.74199999892153,22.89099999062158,16.017000000000003,138.477,4.1839999999999975,44.12899999999999,1.0440000041853637,51.67299999999999
page_1,2020-12-26T18:27:57.361Z,POST,https://amethyst.zappos.com/api/v1/events?X-Amethyst-Location=https%3A%2F%2Fwww.6pm.com%2F,h2,-1,200,2,application/json;charset=UTF-8,225.35300001618452,174.8759999968782,-1,-1,3.834000000000003,45.82600000000002,0.817000021925196,-1
page_1,2020-12-26T18:27:57.362Z,POST,https://amethyst.zappos.com/api/v1/events?X-Amethyst-Location=https%3A%2F%2Fwww.6pm.com%2F,h2,-1,200,2,application/json;charset=UTF-8,252.9660000000149,173.31199999134614,-1,-1,3.569000000000017,75.221,0.8640000014565885,-1
