TimestampID,Directory,Carrier,Network Type,websitesRange
20201224-010218,12-24-2020,Verizon,5G,1-2000
20201224-215611,12-24-2020,Verizon,4G,1-2000
20201225-082843,12-25-2020,Verizon,5G,1-2000
20201225-233305,12-25-2020,Verizon,4G,1-2000
20201226-093530,12-26-2020,Verizon,5G,1-2000
20201226-173313,12-26-2020,Verizon,4G,1-2000
20201227-214441,12-27-2020,Verizon,5G,1-2000
20201228-181445,4g-12-28-2020,Verizon,4G,1-1500
20201229-181543,4g-12-29-2020,Verizon,4G,1-76
20201229-183634,4g-12-29-2020,Verizon,4G,76-1009
20201229-231259,4g-12-29-2020,Verizon,4G,1009-1500
20201230-113119,5g-12-30-2020,Verizon,5G,1-1500
20201231-230734,4g-12-31-2020,Verizon,4G,1-1500
20210107-220935,5g-01-07-2021,Verizon,5G,1-336
20210108-124615,5g-01-08-2021,Verizon,5G,461-1454
20210108-185323 ,4g-01-08-2021,Verizon,4G,1-500
20210108-205258,4g-01-08-2021,Verizon,4G,500-1116
20210109-012342,4g-01-09-2021,Verizon,4G,1116-1500
20210109-202810,4g-01-09-2021,Verizon,4G,1-500
20210110-014751,4g-01-10-2021,Verizon,4G,500-1500
20210110-111032,5g-01-10-2021,Verizon,5G,1-611
20210110-175244,5g-01-10-2021,Verizon,5G,611-1500
20210111-000558,5g-01-11-2021,Verizon,5G,1-370
20210111-013015,5g-01-11-2021,Verizon,5G,370-1000
20210111-130042,5g-01-11-2021,Verizon,5G,1000-1500
